,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Richard,Kelly,0.0,,0.0,,1.0,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,
Richard,Rudy,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Richard,Susan,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
Richard,Sean,1.0,,1.0,,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,,
Richard,Dirk,1.0,,1.0,,0.0,,,,,,,,,
Richard,Stacey,0.0,,0.0,,,,,,,,,,,
Richard,Sonja,0.0,,,,,,,,,,,,,
Kelly,Rudy,0.0,,0.0,,1.0,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,
Kelly,Susan,0.0,,0.0,,1.0,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,
Kelly,Sean,0.0,,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,,
Kelly,Dirk,0.0,,0.0,,0.0,,,,,,,,,
Kelly,Stacey,1.0,,1.0,,,,,,,,,,,
Kelly,Sonja,1.0,,,,,,,,,,,,,
Rudy,Susan,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
Rudy,Sean,1.0,,1.0,,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,,
Rudy,Dirk,1.0,,1.0,,0.0,,,,,,,,,
Rudy,Stacey,0.0,,0.0,,,,,,,,,,,
Rudy,Sonja,0.0,,,,,,,,,,,,,
Susan,Sean,1.0,,1.0,,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,,
Susan,Dirk,1.0,,1.0,,0.0,,,,,,,,,
Susan,Stacey,0.0,,0.0,,,,,,,,,,,
Susan,Sonja,0.0,,,,,,,,,,,,,
Sean,Dirk,1.0,,1.0,,1.0,,,,,,,,,
Sean,Stacey,0.0,,0.0,,,,,,,,,,,
Sean,Sonja,0.0,,,,,,,,,,,,,
Dirk,Stacey,0.0,,0.0,,,,,,,,,,,
Dirk,Sonja,0.0,,,,,,,,,,,,,
Stacey,Sonja,1.0,,,,,,,,,,,,,
Colleen,Gervase,,1.0,,0.0,,0.0,1.0,1.0,1.0,1.0,,,,
Colleen,Jenna,,1.0,,1.0,,1.0,0.0,0.0,1.0,,,,,
Colleen,Greg,,0.0,,0.0,,1.0,0.0,1.0,,,,,,
Colleen,Gretchen,,1.0,,1.0,,1.0,1.0,,,,,,,
Colleen,Joel,,1.0,,1.0,,0.0,,,,,,,,
Colleen,Ramona,,1.0,,0.0,,,,,,,,,,
Colleen,B.B.,,0.0,,,,,,,,,,,,
Gervase,Jenna,,1.0,,0.0,,0.0,0.0,0.0,1.0,,,,,
Gervase,Greg,,0.0,,1.0,,0.0,0.0,1.0,,,,,,
Gervase,Gretchen,,1.0,,0.0,,0.0,1.0,,,,,,,
Gervase,Joel,,1.0,,0.0,,1.0,,,,,,,,
Gervase,Ramona,,1.0,,1.0,,,,,,,,,,
Gervase,B.B.,,0.0,,,,,,,,,,,,
Jenna,Greg,,0.0,,0.0,,1.0,0.0,0.0,,,,,,
Jenna,Gretchen,,1.0,,1.0,,1.0,0.0,,,,,,,
Jenna,Joel,,1.0,,1.0,,0.0,,,,,,,,
Jenna,Ramona,,1.0,,0.0,,,,,,,,,,
Jenna,B.B.,,0.0,,,,,,,,,,,,
Greg,Gretchen,,0.0,,0.0,,1.0,0.0,,,,,,,
Greg,Joel,,0.0,,0.0,,0.0,,,,,,,,
Greg,Ramona,,0.0,,1.0,,,,,,,,,,
Greg,B.B.,,1.0,,,,,,,,,,,,
Gretchen,Joel,,1.0,,1.0,,0.0,,,,,,,,
Gretchen,Ramona,,1.0,,0.0,,,,,,,,,,
Gretchen,B.B.,,0.0,,,,,,,,,,,,
Joel,Ramona,,1.0,,0.0,,,,,,,,,,
Joel,B.B.,,0.0,,,,,,,,,,,,
Ramona,B.B.,,0.0,,,,,,,,,,,,
Richard,Colleen,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
Richard,Gervase,,,,,,,0.0,0.0,0.0,0.0,,,,
Richard,Jenna,,,,,,,0.0,1.0,0.0,,,,,
Richard,Greg,,,,,,,0.0,0.0,,,,,,
Richard,Gretchen,,,,,,,0.0,,,,,,,
Kelly,Colleen,,,,,,,0.0,0.0,1.0,0.0,1.0,,,
Kelly,Gervase,,,,,,,0.0,0.0,1.0,0.0,,,,
Kelly,Jenna,,,,,,,0.0,1.0,1.0,,,,,
Kelly,Greg,,,,,,,0.0,0.0,,,,,,
Kelly,Gretchen,,,,,,,0.0,,,,,,,
Rudy,Colleen,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
Rudy,Gervase,,,,,,,0.0,0.0,0.0,0.0,,,,
Rudy,Jenna,,,,,,,0.0,1.0,0.0,,,,,
Rudy,Greg,,,,,,,0.0,0.0,,,,,,
Rudy,Gretchen,,,,,,,0.0,,,,,,,
Susan,Colleen,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
Susan,Gervase,,,,,,,0.0,0.0,0.0,0.0,,,,
Susan,Jenna,,,,,,,0.0,1.0,0.0,,,,,
Susan,Greg,,,,,,,0.0,0.0,,,,,,
Susan,Gretchen,,,,,,,0.0,,,,,,,
Sean,Colleen,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
Sean,Gervase,,,,,,,0.0,0.0,0.0,0.0,,,,
Sean,Jenna,,,,,,,0.0,1.0,0.0,,,,,
Sean,Greg,,,,,,,0.0,0.0,,,,,,
Sean,Gretchen,,,,,,,0.0,,,,,,,
