,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Richard,Kelly,Rudy,Susan,Sean,Colleen,Gervase,Jenna,Greg,Gretchen,Joel,Dirk,Ramona,Stacey,B.B.,Sonja,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Sonja,4-3-1,Stacey,Rudy,Sonja,Sonja,Sonja,-,-,-,-,-,-,Sonja,-,Rudy,-,Rudy,[],False,{},False,{},True,0,False,False,,1,"""The Marooning""","May 31, 2000",Pagong,Pagong,"['Sonja', '4-3-1']",1st Voted OutDay 3,15.51,6.1/20,Sonja,['Pagong'],0.5
1,2,Original Tribes,2,B.B.,6-2,-,-,-,-,-,B.B.,B.B.,B.B.,Ramona,B.B.,B.B.,-,B.B.,-,Ramona,,[],False,{},False,{},True,0,False,False,,2,"""The Generation Gap""","June 7, 2000",PagongThere was an unaired Reward ,Tagi,"['B.B.', '6-2']",2nd Voted OutDay 6,18.10,7.5/25,B.B.,['Tagi'],0.5
2,3,Original Tribes,3,Stacey,5-2,Stacey,Rudy,Stacey,Stacey,Stacey,-,-,-,-,-,-,Stacey,-,Rudy,,,[],False,{},False,{},True,0,False,False,,3,"""Quest for Food""","June 14, 2000",Tagi,Pagong,"['Stacey', '5-2']",3rd Voted OutDay 9,23.25,9.4/29,Stacey,['Pagong'],0.5
3,4,Original Tribes,4,Ramona,4-2-1,-,-,-,-,-,Ramona,Colleen,Ramona,Jenna,Ramona,Ramona,-,Colleen,,,,[],False,{},False,{},True,0,False,False,,4,"""Too Little, Too Late?""","June 21, 2000",Tagi,Tagi,"['Ramona', '4-2-1']",4th Voted OutDay 12,24.20,9.8/33,Ramona,['Tagi'],0.5
4,5,Original Tribes,5,Dirk,4-1-1,Dirk,Dirk,Dirk,Dirk,Rudy,-,-,-,-,-,-,Susan,,,,,[],False,{},False,{},True,0,False,False,,5,"""Pulling Your Own Weight""","June 28, 2000",Pagong,Pagong,"['Dirk', '4-1-1']",5th Voted OutDay 15,23.98,9.6/31,Dirk,['Pagong'],0.5
5,6,Original Tribes,6,Joel,4-2,-,-,-,-,-,Joel,Jenna,Joel,Joel,Joel,Jenna,,,,,,[],False,{},False,{},True,0,False,False,,6,"""Udder Revenge""","July 5, 2000",Pagong,Tagi,"['Joel', '4-2']",6th Voted OutDay 18,24.50,10.6/33,Joel,['Tagi'],0.5
6,7,Merged Tribe,7,Gretchen,4-1-1-1-1-1-1,Gretchen,Gretchen,Gretchen,Gretchen,Colleen,Richard,Susan,Gervase,Jenna,Rudy,,,,,,,[],False,{},False,{},True,1,True,False,,7,"""The Merger""","July 12, 2000",None,Greg,"['Gretchen', '4-1-1-1-1-1-1']",7th Voted OutDay 21,24.50,10.4/34,Gretchen,['Greg'],0.1
7,8,Merged Tribe,8,Greg,6-3,Greg,Greg,Greg,Greg,Greg,Jenna,Jenna,Greg,Jenna,,,,,,,,[],False,{},False,{},True,1,True,False,,8,"""Thy Name Is Duplicity""","July 19, 2000",Greg,Gervase,"['Greg', '6-3']",8th Voted Out1st Jury MemberDay 24,26.15,11.4/35,Greg,['Gervase'],0.1111111111111111
8,9,Merged Tribe,9,Jenna,4-3-1,Jenna,Sean,Jenna,Jenna,Jenna,Richard,Richard,Richard,,,,,,,,,[],False,{},False,{},True,1,True,False,,9,"""Old and New Bonds""","July 26, 2000",Colleen[Jenna],Rudy,"['Jenna', '4-3-1']",9th Voted Out2nd Jury MemberDay 27,27.18,11.9/36,Jenna,['Rudy'],0.125
9,10,Merged Tribe,10,Gervase,5-2,Gervase,Gervase,Gervase,Gervase,Gervase,Sean,Sean,,,,,,,,,,[],False,{},False,{},True,1,True,False,,10,"""Crack in the Alliance""","August 2, 2000",Gervase,Richard,"['Gervase', '5-2']",10th Voted Out3rd Jury MemberDay 30,24.41,11.9/38,Gervase,['Richard'],0.14285714285714285
