,Idx,Episode,Air Date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Immunity_2
0,1,"""Stranded""","January 28, 2001",Ogakor,Ogakor,"['Debb', '7-1']",1st Voted OutDay 3,45.37,21.8/48,['Ogakor']
1,2,"""Suspicion""","February 1, 2001",Ogakor,Kucha,"['Kel', '7-1']",2nd Voted OutDay 6,29.04,11.9/28,['Kucha']
2,3,"""Trust No One""","February 8, 2001",Ogakor,Kucha,"['Maralyn', '5-1-1']",3rd Voted OutDay 9,29.04,12.2/28,['Kucha']
3,4,"""The Killing Fields""","February 15, 2001",Kucha,Kucha,"['Mitchell', '3-3;2-2;Tiebreaker']",4th Voted OutDay 12,28.23,11.7/29,['Kucha']
4,5,"""The Gloves Come Off""","February 22, 2001",Kucha,Ogakor,"['Kimmi', '6-1']",5th Voted OutDay 15,28.78,11.9/28,['Ogakor']
5,6,"""Trial by Fire""","March 1, 2001",Kucha,None,"['Michael', 'No Vote']",EvacuatedDay 17,31.32,13.7/34,[]
6,7,"""The Merge""","March 8, 2001",None,Keith,"['Jeff', '5-5;4-4;Tiebreaker']",6th Voted OutDay 21,28.72,12.1/31,['Keith']
7,8,"""Friends?""","March 14, 2001",Jerri[Amber],Keith,"['Alicia', '5-4']",7th Voted Out1st Jury MemberDay 24,28.46,12.0/33,['Keith']
8,9,"""The First 24 Days""","March 21, 2001",Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
9,10,"""Honeymoon or Not?""","March 29, 2001","Colby,Jerri",Nick,"['Jerri', '6-2']",8th Voted Out2nd Jury MemberDay 27,28.12,11.8/29,['Nick']
10,11,"""Let's Make a Deal""","April 5, 2001",SurvivorAuction,Colby,"['Nick', '4-2-1']",9th Voted Out3rd Jury MemberDay 30,27.71,11.7/32,['Colby']
11,12,"""No Longer Just a Game""","April 12, 2001",Colby,Colby,"['Amber', '4-2']",10th Voted Out4th Jury MemberDay 33,27.55,11.7/34,['Colby']
12,13,"""Enough Is Enough""","April 19, 2001",Tina,Colby,"['Rodger', '3-2']",11th Voted Out5th Jury MemberDay 36,28.41,11.7/32,['Colby']
13,14,"""The Final Four""","April 26, 2001",Colby,Colby,"['Elisabeth', '3-1']",12th Voted Out6th Jury MemberDay 39,26.89,11.2/32,['Colby']
14,15,"""The Most Deserving""","May 3, 2001",None,Colby,"['Keith', '1-0']",13th Voted Out7th Jury MemberDay 41,36.35,15.9/39,['Colby']
15,15,"""The Most Deserving""","May 3, 2001",Jury Vote,Jury Vote,"['Colby', '4-3']",Runner-Up,36.35,15.9/39,[]
16,15,"""The Most Deserving""","May 3, 2001",Jury Vote,Jury Vote,"['Tina', '4-3']",Sole Survivor,36.35,15.9/39,[]
17,16,"""Reunion""","May 3, 2001",,,,,41.26,18.5/41,[]
