,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Tina,Colby,Keith,Elisabeth,Rodger,Amber,Nick,Jerri,Alicia,Jeff,Michael,Kimmi,Mitchell,Maralyn,Kel,Debb,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air Date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Debb,7-1,-,-,-,Debb,Debb,-,Debb,-,Debb,Debb,Debb,Debb,-,-,-,Jeff,[],False,{},False,{},True,0,False,False,,1,"""Stranded""","January 28, 2001",Ogakor,Ogakor,"['Debb', '7-1']",1st Voted OutDay 3,45.37,21.8/48,Debb,['Ogakor'],0.5
1,2,Original Tribes,2,Kel,7-1,Kel,Kel,Kel,-,-,Kel,-,Kel,-,-,-,-,Kel,Kel,Jerri,,[],False,{},False,{},True,0,False,False,,2,"""Suspicion""","February 1, 2001",Ogakor,Kucha,"['Kel', '7-1']",2nd Voted OutDay 6,29.04,11.9/28,Kel,['Kucha'],0.5
2,3,Original Tribes,3,Maralyn,5-1-1,Maralyn,Maralyn,Mitchell,-,-,Maralyn,-,Maralyn,-,-,-,-,Maralyn,Jerri,,,[],False,{},False,{},True,0,False,False,,3,"""Trust No One""","February 8, 2001",Ogakor,Kucha,"['Maralyn', '5-1-1']",3rd Voted OutDay 9,29.04,12.2/28,Maralyn,['Kucha'],0.5
3,4,Original Tribes,4,Mitchell,3-3,Mitchell,Mitchell,Mitchell,-,-,Keith,-,Keith,-,-,-,-,Keith,,,,[],True,"{'Tina': 'Mitchell', 'Colby': 'Mitchell', 'Keith': 'Mitchell', 'Elisabeth': '-', 'Rodger': '-', 'Amber': 'Keith', 'Nick': '-', 'Jerri': 'Keith', 'Alicia': '-', 'Jeff': '-', 'Michael': '-', 'Kimmi': '-', 'Mitchell': 'Keith'}",True,"{'Tina': 'Mitchell', 'Colby': 'Mitchell', 'Keith': 'None', 'Elisabeth': '-', 'Rodger': '-', 'Amber': 'Keith', 'Nick': '-', 'Jerri': 'Keith', 'Alicia': '-', 'Jeff': '-', 'Michael': '-', 'Kimmi': '-', 'Mitchell': 'None'}",True,0,False,False,,4,"""The Killing Fields""","February 15, 2001",Kucha,Kucha,"['Mitchell', '3-3;2-2;Tiebreaker']",4th Voted OutDay 12,28.23,11.7/29,Mitchell,['Kucha'],0.5
4,5,Original Tribes,5,Kimmi,6-1,-,-,-,Kimmi,Kimmi,-,Kimmi,-,Kimmi,Kimmi,Kimmi,Jeff,,,,,[],False,{},False,{},True,0,False,False,,5,"""The Gloves Come Off""","February 22, 2001",Kucha,Ogakor,"['Kimmi', '6-1']",5th Voted OutDay 15,28.78,11.9/28,Kimmi,['Ogakor'],0.5
5,6,Original Tribes,6,Michael,No Vote,-,-,-,-,-,-,-,-,-,-,Evacuated,,,,,,[],False,{},False,{},False,0,False,False,,6,"""Trial by Fire""","March 1, 2001",Kucha,None,"['Michael', 'No Vote']",EvacuatedDay 17,31.32,13.7/34,Michael,[],0.0
6,7,Merged Tribe,7,Jeff,5-5,Jeff,Jeff,Jeff,Colby,Colby,Jeff,Colby,Jeff,Colby,Colby,,,,,,,[],True,"{'Tina': 'Jeff', 'Colby': 'Jeff', 'Keith': 'Jeff', 'Elisabeth': 'Colby', 'Rodger': 'Colby', 'Amber': 'Jeff', 'Nick': 'Colby', 'Jerri': 'Jeff', 'Alicia': 'Colby', 'Jeff': 'Colby'}",True,"{'Tina': 'Jeff', 'Colby': 'None', 'Keith': 'Jeff', 'Elisabeth': 'Colby', 'Rodger': 'Colby', 'Amber': 'Jeff', 'Nick': 'Colby', 'Jerri': 'Jeff', 'Alicia': 'Colby', 'Jeff': 'None'}",True,1,True,False,,7,"""The Merge""","March 8, 2001",None,Keith,"['Jeff', '5-5;4-4;Tiebreaker']",6th Voted OutDay 21,28.72,12.1/31,Jeff,['Keith'],0.1
7,8,Merged Tribe,8,Alicia,5-4,Alicia,Alicia,Alicia,Jerri,Jerri,Alicia,Jerri,Alicia,Jerri,,,,,,,,[],False,{},False,{},True,1,True,False,,8,"""Friends?""","March 14, 2001",Jerri[Amber],Keith,"['Alicia', '5-4']",7th Voted Out1st Jury MemberDay 24,28.46,12.0/33,Alicia,['Keith'],0.1111111111111111
8,9,Merged Tribe,10,Jerri,6-2,Jerri,Jerri,Jerri,Jerri,Jerri,Elisabeth,Jerri,Elisabeth,,,,,,,,,[],False,{},False,{},True,1,True,False,,10,"""Honeymoon or Not?""","March 29, 2001","Colby,Jerri",Nick,"['Jerri', '6-2']",8th Voted Out2nd Jury MemberDay 27,28.12,11.8/29,Jerri,['Nick'],0.125
9,10,Merged Tribe,11,Nick,4-2-1,Nick,Nick,Nick,Amber,Amber,Nick,Keith,,,,,,,,,,[],False,{},False,{},True,1,True,False,,11,"""Let's Make a Deal""","April 5, 2001",SurvivorAuction,Colby,"['Nick', '4-2-1']",9th Voted Out3rd Jury MemberDay 30,27.71,11.7/32,Nick,['Colby'],0.14285714285714285
