,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Ethan,Kim J.,Lex,Tom,Teresa,Kim P.,Frank,Brandon,Kelly,Clarence,Lindsey,Silas,Linda,Carl,Jessie,Diane,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air Date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Diane,6-2,Diane,Diane,Diane,Clarence,-,-,-,-,Diane,Diane,-,-,-,-,Diane,Clarence,[],False,{},False,{},True,0,False,False,,1,"""Question of Trust""","October 11, 2001",Samburu,Samburu,"['Diane', '6-2']",1st Voted OutDay 3,23.84,10.4/23,Diane,['Samburu'],0.5
1,2,Original Tribes,2,Jessie,5-2,Jessie,Jessie,Jessie,Clarence,-,-,-,-,Jessie,Jessie,-,-,-,-,Clarence,,[],False,{},False,{},True,0,False,False,,2,"""Who's Zooming Whom?""","October 18, 2001",Samburu,Samburu,"['Jessie', '5-2']",2nd Voted OutDay 6,19.59,7.9/20,Jessie,['Samburu'],0.5
2,3,Original Tribes,3,Carl,4-4,-,-,-,-,Lindsey,Carl,Lindsey,Carl,-,-,Carl,Carl,Lindsey,Lindsey,,,[],True,"{'Ethan': '-', 'Kim J.': '-', 'Lex': '-', 'Tom': '-', 'Teresa': 'Lindsey', 'Kim P.': 'Carl', 'Frank': 'Lindsey', 'Brandon': 'Carl', 'Kelly': '-', 'Clarence': '-', 'Lindsey': 'Carl', 'Silas': 'Carl', 'Linda': 'Lindsey', 'Carl': 'Lindsey'}",True,"{'Ethan': '-', 'Kim J.': '-', 'Lex': '-', 'Tom': '-', 'Teresa': 'Lindsey', 'Kim P.': 'Carl', 'Frank': 'Lindsey', 'Brandon': 'Carl', 'Kelly': '-', 'Clarence': '-', 'Lindsey': 'None', 'Silas': 'Carl', 'Linda': 'Lindsey', 'Carl': 'None'}",True,0,False,False,,3,"""The Gods Are Angry""","October 25, 2001",Boran,Boran,"['Carl', '4-4;3-3;Tiebreaker']",3rd Voted OutDay 9,20.43,8.0/20,Carl,['Boran'],0.5
3,4,Original Tribes,4,Linda,4-3,-,-,-,-,Silas,Linda,Silas,Linda,-,-,Linda,Linda,Silas,,,,[],False,{},False,{},True,0,False,False,,4,"""The Young and Untrusted""","November 1, 2001",Samburu,Boran,"['Linda', '4-3']",4th Voted OutDay 12,18.73,7.8/18,Linda,['Boran'],0.5
4,5,Switched Tribes,5,Silas,5-1,Silas,Silas,-,-,Silas,-,Silas,-,-,Silas,-,Frank,,,,,[],False,{},False,{},True,1,False,False,,5,"""The Twist""","November 8, 2001",Boran,Samburu,"['Silas', '5-1']",5th Voted OutDay 15,20.55,8.3/20,Silas,['Samburu'],0.5
5,6,Switched Tribes,6,Lindsey,3-3,-,-,Lindsey,Lindsey,-,Tom,-,Tom,Lindsey,-,Tom,,,,,,[],True,"{'Ethan': '-', 'Kim J.': '-', 'Lex': 'Lindsey', 'Tom': 'Lindsey', 'Teresa': '-', 'Kim P.': 'Tom', 'Frank': '-', 'Brandon': 'Tom', 'Kelly': 'Lindsey', 'Clarence': '-', 'Lindsey': 'Tom'}",True,"{'Ethan': '-', 'Kim J.': '-', 'Lex': 'Lindsey', 'Tom': 'None', 'Teresa': '-', 'Kim P.': 'Tom', 'Frank': '-', 'Brandon': 'Tom', 'Kelly': 'Lindsey', 'Clarence': '-', 'Lindsey': 'None'}",True,1,False,False,,6,"""I'd Never Do It to You""","November 15, 2001",Samburu,"BoranUsing a bow and arrow, each tribe has five targets ranging from thirty to seventy feet away. One member from each tribe will attempt to hit a target and set it on fire. The first tribe to light up all their targets in order, from closest to farthest, wins Immunity.","['Lindsey', '3-3;2-2;Tiebreaker']",6th Voted OutDay 18,19.71,8.1/21,Lindsey,"['BoranUsing a bow and arrow, each tribe has five targets ranging from thirty to seventy feet away. One member from each tribe will attempt to hit a target and set it on fire. The first tribe to light up all their targets in order, from closest to farthest, wins Immunity.']",0.0
6,7,Merged Tribe,7,Clarence,8-2,Clarence,Clarence,Clarence,Clarence,Lex,Clarence,Clarence,Clarence,Clarence,Lex,,,,,,,[],False,{},False,{},True,2,True,False,,7,"""Will There Be a Feast Tonight?""","November 22, 2001",None,Teresa,"['Clarence', '8-2']",7th Voted OutDay 21,17.70,6.6/18,Clarence,['Teresa'],0.1
7,8,Merged Tribe,9,Kelly,5-4,Kelly,Kelly,Kelly,Kelly,Lex,Lex,Lex,Kelly,Lex,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Smoking Out the Snake""","December 6, 2001",Ethan[Lex],Ethan,"['Kelly', '5-4']",8th Voted Out1st Jury MemberDay 24,19.28,7.9/21,Kelly,['Ethan'],0.1111111111111111
8,9,Merged Tribe,10,Brandon,6-2,Brandon,Brandon,Frank,Brandon,Brandon,Brandon,Brandon,Frank,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""Dinner, Movie and a Betrayal""","December 13, 2001","Brandon,Frank",Lex,"['Brandon', '6-2']",9th Voted Out2nd Jury MemberDay 27,20.41,8.1/21,Brandon,['Lex'],0.125
9,10,Merged Tribe,11,Frank,6-1,Frank,Frank,Frank,Frank,Frank,Frank,Kim J.,,,,,,,,,,[],False,{},False,{},True,2,True,False,,11,"""We Are Family""","December 20, 2001",SurvivorAuction,Lex,"['Frank', '6-1']",10th Voted Out3rd Jury MemberDay 30,19.60,7.7/22,Frank,['Lex'],0.14285714285714285
