,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Vecepia,Neleh,Kathy,Paschal,Sean,Robert,Tammy,Zoe,John,Rob,Gina,Gabriel,Sarah,Hunter,Patricia,Peter,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Peter,5-2-1,Sarah,-,-,-,Sarah,-,-,-,-,Peter,Peter,-,Peter,Peter,Peter,Patricia,[],False,{},False,{},True,0,False,False,,1,"""Back to the Beach""","February 28, 2002",None,Rotu,"['Peter', '5-2-1']",1st Voted OutDay 3,23.19,9.1/22,Peter,['Rotu'],0.5
1,2,Original Tribes,2,Patricia,4-3,Patricia,-,-,-,Patricia,-,-,-,-,Patricia,Sarah,-,Patricia,Sarah,Sarah,,[],False,{},False,{},True,0,False,False,,2,"""Nacho Momma""","March 7, 2002",Rotu,Rotu,"['Patricia', '4-3']",2nd Voted OutDay 6,23.40,9.4/23,Patricia,['Rotu'],0.5
2,3,Original Tribes,3,Hunter,4-2,Hunter,-,-,-,Hunter,-,-,-,-,Hunter,Sarah,-,Hunter,Sarah,,,[],False,{},False,{},True,0,False,False,,3,"""No Pain, No Gain""","March 13, 2002",Rotu,Rotu,"['Hunter', '4-2']",3rd Voted OutDay 9,20.10,8.9/24,Hunter,['Rotu'],0.5
3,4,Switched Tribes,4,Sarah,4-1,-,Sarah,Sarah,Sarah,-,-,-,-,-,-,Sarah,-,Kathy,,,,[],False,{},False,{},True,1,False,False,,4,"""The Winds Twist""","March 20, 2002",None,Rotu,"['Sarah', '4-1']",4th Voted OutDay 12,N/A,N/A,Sarah,['Rotu'],0.5
4,5,Switched Tribes,5,Gabriel,7-1,Gabriel,-,-,-,Gabriel,Gabriel,Gabriel,Gabriel,Gabriel,Gabriel,-,Rob,,,,,[],False,{},False,{},True,1,False,False,,5,"""The End of Innocence""","March 28, 2002",Maraamu,Maraamu,"['Gabriel', '7-1']",5th Voted OutDay 15,N/A,8.2/22,Gabriel,['Maraamu'],0.5
5,6,Switched Tribes,6,Gina,3-1,-,Gina,Gina,Gina,-,-,-,-,-,-,Kathy,,,,,,[],False,{},False,{},True,1,False,False,,6,"""The Underdogs""","April 4, 2002",Maraamu,Rotu,"['Gina', '3-1']",6th Voted OutDay 18,N/A,N/A,Gina,['Rotu'],0.5
6,7,Merged Tribe,7,Rob,7-2-1,Rob,Rob,Zoe,Rob,John,Rob,Rob,Rob,Rob,John,,,,,,,[],False,{},False,{},True,2,True,False,,7,"""True Lies""","April 11, 2002",None,Kathy,"['Rob', '7-2-1']",7th Voted OutDay 21,N/A,7.7/N/A,Rob,['Kathy'],0.1
7,8,Merged Tribe,8,John,6-3,John,John,John,John,John,Sean,Sean,John,Sean,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Jury's Out""","April 18, 2002",Kathy,Tammy,"['John', '6-3']",8th Voted Out1st Jury MemberDay 24,19.88,8.0/23,John,['Tammy'],0.1111111111111111
8,9,Merged Tribe,10,Zoe,7-1,Zoe,Zoe,Zoe,Zoe,Zoe,Zoe,Zoe,Robert,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""Two Peas in a Pod""","April 25, 2002","Paschal,Sean",Tammy,"['Zoe', '7-1']",9th Voted Out2nd Jury MemberDay 27,19.42,7.8/20,Zoe,['Tammy'],0.125
9,10,Merged Tribe,11,Tammy,5-2,Tammy,Tammy,Tammy,Tammy,Tammy,Vecepia,Vecepia,,,,,,,,,,[],False,{},False,{},True,2,True,False,,11,"""The Princess""","May 2, 2002",Paschal[Neleh],Robert,"['Tammy', '5-2']",10th Voted Out3rd Jury MemberDay 30,19.60,7.8/21,Tammy,['Robert'],0.14285714285714285
10,11,Merged Tribe,12,Robert,5-1,Robert,Robert,Robert,Robert,Robert,Sean,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,12,"""Marquesan Vacation""","May 9, 2002",Kathy,Vecepia,"['Robert', '5-1']",11th Voted Out4th Jury MemberDay 33,20.83,8.1/22,Robert,['Vecepia'],0.16666666666666666
