,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,John Raymond,John,[],40,Slidell,LA,Pastor,Chuay Gahn,,1st Voted OutDay 3,6,16.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,6
1,Tanya Vance,Tanya,[],27,Gray,TN,Social Worker,Chuay Gahn,,2nd Voted OutDay 6,5,15.0,False,False,False,2,False,2,0,0,0,3,2,0,2,0,1,1,0.0,,0,5
2,Jed Hildebrand,Jed,[],25,Dallas,TX,Dental Student,Sook Jai,,3rd Voted OutDay 9,5,14.0,False,False,False,3,False,3,2,0,0,4,3,2,1,0,0,1,0.6666666666666666,,0,5
3,Ghandia Johnson,Ghandia,[],33,Denver,CO,Legal Secretary,Chuay Gahn,,4th Voted OutDay 12,5,13.0,False,False,False,4,False,4,1,0,0,5,4,1,3,0,1,2,0.25,,0,5
4,Stephanie Dill,Stephanie,[],29,Ozark,AR,Firefighter,Sook Jai,,5th Voted OutDay 15,5,12.0,False,False,False,5,False,5,3,0,0,6,5,3,2,0,0,2,0.6,,0,5
5,Robb Zbacnik,Robb,[],23,Scottsdale,AZ,Bartender,Sook Jai,,6th Voted OutDay 18,5,11.0,False,False,False,6,False,6,3,0,0,7,6,3,3,0,0,3,0.5,,0,5
6,Shii Ann Huang,Shii Ann,[],28,New York City,NY,Executive Recruiter,Sook Jai,,7th Voted OutDay 21,10,10.0,False,False,False,7,False,7,3,0,0,8,7,3,4,0,3,1,0.42857142857142855,,0,10
7,Erin Collins,Erin,[],26,Austin,TX,Real Estate Agent,Sook Jai,,8th Voted Out1st Jury MemberDay 24,3,9.0,False,False,False,8,False,8,3,0,0,9,8,3,5,0,4,1,0.375,,0,3
8,Ken Stafford,Ken,[],29,Brooklyn,NY,Police Officer,Sook Jai,Chuay Jai,9th Voted Out2nd Jury MemberDay 27,6,8.0,False,False,False,9,True,8,3,1,0,10,9,3,6,0,5,1,0.3333333333333333,0.0,0,6
9,Penny Ramsey,Penny,[],27,Plano,TX,Pharmaceutical Saleswoman,Sook Jai,Chuay Jai,10th Voted Out3rd Jury MemberDay 30,5,7.0,False,False,False,10,True,8,3,2,0,11,10,3,7,0,5,2,0.3,0.0,0,5
10,Jake Billingsley,Jake,[],60,McKinney,TX,Land Broker,Sook Jai,Chuay Jai,11th Voted Out4th Jury MemberDay 33,7,6.0,False,False,False,11,True,8,3,3,0,12,11,3,8,0,5,3,0.2727272727272727,0.0,0,7
11,"Ted Rogers, Jr.",Ted,[],37,Durham,NC,Software Developer,Chuay Gahn,Chuay Jai,12th Voted Out5th Jury MemberDay 36,7,5.0,False,False,False,12,True,8,5,4,1,13,12,5,7,0,6,1,0.8333333333333334,1.25,0,7
12,Helen Glover,Helen,[],47,Middletown,RI,Navy Swim Instructor,Chuay Gahn,Chuay Jai,13th Voted Out6th Jury MemberDay 37,5,4.0,False,False,False,13,True,8,5,5,1,14,13,5,8,0,6,2,0.8461538461538461,1.2,0,5
13,Jan Gentry,Jan,[],53,Tampa,FL,Teacher,Chuay Gahn,Chuay Jai,14th Voted Out7th Jury MemberDay 38,5,3.0,False,False,False,14,True,8,5,6,0,15,14,5,8,1,7,1,0.35714285714285715,0.0,0,5
14,Clay Jordan,Clay,[],46,Monroe,LA,Restaurant Owner,Chuay Gahn,Chuay Jai,Runner-Up,3,2.0,False,False,True,15,True,8,5,6,1,16,14,5,8,1,7,1,0.8571428571428571,1.1666666666666667,3,3
15,Brian Heidik,Brian,[],34,Quartz Hill,CA,Used Car Salesman,Chuay Gahn,Chuay Jai,Sole Survivor,0,1.0,False,True,True,15,True,8,5,6,3,16,14,5,9,0,9,0,1.0,1.5,4,0
