,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Immunity_2
0,1,"""Boys vs Girls""","February 13, 2003",None,Jaburu,"['Ryan', '4-3-1']",1st Voted OutDay 3,23.30,9.1/24,['Jaburu']
1,2,"""Storms""","February 20, 2003",Jaburu,Tambaqui,"['Janet', '5-1-1-1']",2nd Voted OutDay 6,20.30,7.7/19,['Tambaqui']
2,3,"""Girl Power""","February 27, 2003",Jaburu,Jaburu,"['Daniel', '6-1']",3rd Voted OutDay 9,22.40,8.4.22,['Jaburu']
3,4,"""Trapped""","March 6, 2003",Tambaqui,Tambaqui,"['JoAnna', '4-2-1']",4th Voted OutDay 12,23.30,9.3/23,['Tambaqui']
4,5,"""Pick-Up Sticks""","March 13, 2003",None,Jaburu,"['Jeanne', '4-2']",5th Voted OutDay 15,21.10,8.1/21,['Jaburu']
5,6,"""More than Meats the Eye""","March 19, 2003",Tambaqui,Tambaqui,"['Shawna', '4-2']",6th Voted OutDay 18,16.40,6.1/14,['Tambaqui']
6,7,"""Girls Gone Wilder""","March 26, 2003",None,Deena,"['Roger', '7-3']",7th Voted OutDay 21,16.70,6.3/16,['Deena']
7,8,"""Sleeping with the Enemy""","April 3, 2003",Dave[Deena],Jenna,"['Dave', '8-1']",8th Voted Out1st Jury MemberDay 24,19.80,7.3/19,['Jenna']
8,9,"""The Chain""","April 10, 2003",Alex[Jenna],Matthew,"['Deena', '6-2']",9th Voted Out2nd Jury MemberDay 27,19.10,7.1/20,['Matthew']
9,10,"""The First 27 Days""","April 17, 2003",Recap Episode,Recap Episode,Recap Episode,Recap Episode,???,???,['Recap Episode']
10,11,"""Q and A""","April 24, 2003",SurvivorAuction,Rob,"['Alex', '4-3']",10th Voted Out3rd Jury MemberDay 30,18.09,6.5/19,['Rob']
11,12,"""Sour Grapes""","May 1, 2003",Matthew[All],Jenna(Heidi),"['Christy', '4-2']",11th Voted Out4th Jury MemberDay 33,17.70,6.5/19,['Jenna']
12,13,"""The Amazon Heats Up""","May 8, 2003",Matthew[Rob],Matthew,"['Heidi', '3-2']",12th Voted Out5th Jury MemberDay 36,19.00,7.0/20,['Matthew']
13,14,"""And Then There Were Four""","May 11, 2003",None,Jenna,"['Butch', '3-1']",13th Voted Out6th Jury MemberDay 37,22.3,8.9/22,['Jenna']
14,14,"""And Then There Were Four""","May 11, 2003",None,Jenna,"['Rob', '1-0']",14th Voted Out7th Jury MemberDay 38,22.3,8.9/22,['Jenna']
15,14,"""And Then There Were Four""","May 11, 2003",Jury Vote,Jury Vote,"['Matthew', '6-1']",Runner-Up,22.3,8.9/22,[]
16,14,"""And Then There Were Four""","May 11, 2003",Jury Vote,Jury Vote,"['Jenna', '6-1']",Sole Survivor,22.3,8.9/22,[]
17,15,"""Reunion""","May 11, 2003",,,,,17.60,8.2/21,[]
