,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Jenna,Matthew,Rob,Butch,Heidi,Christy,Alex,Deena,Dave,Roger,Shawna,Jeanne,JoAnna,Daniel,Janet,Ryan,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Ryan,4-3-1,-,Roger,Ryan,Ryan,-,-,Ryan,-,Daniel,Ryan,-,-,-,Roger,-,Roger,[],False,{},False,{},True,0,False,False,,1,"""Boys vs Girls""","February 13, 2003",None,Jaburu,"['Ryan', '4-3-1']",1st Voted OutDay 3,23.30,9.1/24,Ryan,['Jaburu'],0.5
1,2,Original Tribes,2,Janet,5-1-1-1,Janet,-,-,-,Janet,Jenna,-,Janet,-,-,Janet,Janet,Christy,-,Jeanne,,[],False,{},False,{},True,0,False,False,,2,"""Storms""","February 20, 2003",Jaburu,Tambaqui,"['Janet', '5-1-1-1']",2nd Voted OutDay 6,20.30,7.7/19,Janet,['Tambaqui'],0.5
2,3,Original Tribes,3,Daniel,6-1,-,Daniel,Daniel,Daniel,-,-,Daniel,-,Daniel,Daniel,-,-,-,Roger,,,[],False,{},False,{},True,0,False,False,,3,"""Girl Power""","February 27, 2003",Jaburu,Jaburu,"['Daniel', '6-1']",3rd Voted OutDay 9,22.40,8.4.22,Daniel,['Jaburu'],0.5
3,4,Original Tribes,4,JoAnna,4-2-1,JoAnna,-,-,-,JoAnna,JoAnna,-,JoAnna,-,-,Christy,Shawna,Shawna,,,,[],False,{},False,{},True,0,False,False,,4,"""Trapped""","March 6, 2003",Tambaqui,Tambaqui,"['JoAnna', '4-2-1']",4th Voted OutDay 12,23.30,9.3/23,JoAnna,['Tambaqui'],0.5
4,5,Switched Tribes,5,Jeanne,4-2,-,-,-,Jeanne,Jeanne,Butch,-,-,Jeanne,Jeanne,-,Butch,,,,,[],False,{},False,{},True,1,False,False,,5,"""Pick-Up Sticks""","March 13, 2003",None,Jaburu,"['Jeanne', '4-2']",5th Voted OutDay 15,21.10,8.1/21,Jeanne,['Jaburu'],0.5
5,6,Switched Tribes,6,Shawna,4-2,Shawna,Shawna,Shawna,-,-,-,Matthew,Shawna,-,-,Matthew,,,,,,[],False,{},False,{},True,1,False,False,,6,"""More than Meats the Eye""","March 19, 2003",Tambaqui,Tambaqui,"['Shawna', '4-2']",6th Voted OutDay 18,16.40,6.1/14,Shawna,['Tambaqui'],0.5
6,7,Merged Tribe,7,Roger,7-3,Roger,Roger,Roger,Christy,Roger,Roger,Roger,Roger,Christy,Christy,,,,,,,[],False,{},False,{},True,2,True,False,,7,"""Girls Gone Wilder""","March 26, 2003",None,Deena,"['Roger', '7-3']",7th Voted OutDay 21,16.70,6.3/16,Roger,['Deena'],0.1
7,8,Merged Tribe,8,Dave,8-1,Dave,Dave,Dave,Dave,Dave,Dave,Dave,Dave,Matthew,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Sleeping with the Enemy""","April 3, 2003",Dave[Deena],Jenna,"['Dave', '8-1']",8th Voted Out1st Jury MemberDay 24,19.80,7.3/19,Dave,['Jenna'],0.1111111111111111
8,9,Merged Tribe,9,Deena,6-2,Deena,Deena,Deena,Deena,Deena,Alex,Deena,Alex,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""The Chain""","April 10, 2003",Alex[Jenna],Matthew,"['Deena', '6-2']",9th Voted Out2nd Jury MemberDay 27,19.10,7.1/20,Deena,['Matthew'],0.125
9,10,Merged Tribe,11,Alex,4-3,Matthew,Alex,Alex,Alex,Matthew,Alex,Matthew,,,,,,,,,,[],False,{},False,{},True,2,True,False,,11,"""Q and A""","April 24, 2003",SurvivorAuction,Rob,"['Alex', '4-3']",10th Voted Out3rd Jury MemberDay 30,18.09,6.5/19,Alex,['Rob'],0.14285714285714285
