,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Outcast Twist,Tribe Affiliation Post-Outcast,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Nicole Delma,Nicole,[],24,Hermosa Beach,CA,Massage Therapist,Morgan,The Outcasts,,,1st Voted OutDay 3,7,16.0,False
1,Ryan Shoulders,Ryan S.,[],23,Clarksville,TN,Produce Clerk,Morgan,The Outcasts,,,2nd Voted OutDay 6,6,15.0,False
2,Michelle Tesauro,Michelle,[],22,Washington,D.,Student,Drake,The Outcasts,,,5th Voted OutDay 15,6,14.0,False
3,Trish Dunn,Trish,[],42,Annapolis,MD,Sales Executive,Drake,The Outcasts,,,6th Voted OutDay 18,4,13.0,False
4,Shawn Cohen,Shawn,[],28,Los Angeles,CA,Advertising Salesman,Drake,Drake,,,7th Voted OutDay 19,5,12.0,False
5,Osten Taylor,Osten,[],27,Boston,MA,Equity Trade Manager,Morgan,Morgan,,,QuitDay 19,2,11.0,False
6,Andrew Savage,Andrew,[],39,Chicago,IL,Attorney,Morgan,Morgan,Morgan,Balboa,8th Voted OutDay 21,6,10.0,False
7,Ryan Opray,Ryan O.,[],30,Los Gatos,CA,Electrician,Morgan,Morgan,Morgan,Balboa,9th Voted Out1st Jury MemberDay 24,8,9.0,False
8,Rupert Boneham,Rupert,[],39,Indianapolis,IN,Troubled Teens Mentor,Drake,Drake,Drake,Balboa,10th Voted Out2nd Jury MemberDay 27,7,8.0,False
9,Tijuana Bradley,Tijuana,[],26,St. Louis,MO,Pharmaceutical Saleswoman,Morgan,Morgan,Morgan,Balboa,11th Voted Out3rd Jury MemberDay 30,5,7.0,False
10,Christa Hastie,Christa,[],24,Los Angeles,CA,Computer Programmer,Drake,Drake,Drake,Balboa,12th Voted Out4th Jury MemberDay 33,7,6.0,False
11,Burton Roberts,Burton,[],31,San Francisco,CA,Marketing Executive,Drake,The Outcasts,Drake,Balboa,"['4th Voted OutDay 12', '13th Voted Out5th Jury MemberDay 36']",10,5.0,False
12,Darrah Johnson,Darrah,[],22,Liberty,MS,Mortician,Morgan,Morgan,Morgan,Balboa,14th Voted Out6th Jury MemberDay 37,6,4.0,False
13,Jon Dalton,Jon,[],29,Los Angeles,CA,Art Consultant,Drake,Drake,Drake,Balboa,15th Voted Out7th Jury MemberDay 38,7,3.0,False
14,Lillian Morris,Lillian,[],51,Loveland,OH,Scoutmaster,Morgan,The Outcasts,Morgan,Balboa,"['3rd Voted OutDay 9', 'Runner-Up']",10,2.0,False
15,Sandra Diaz-Twine,Sandra,[],28,Fort Lewis,WA,Office Assistant,Drake,Drake,Drake,Balboa,Sole Survivor,0,1.0,False
