,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Outcast Twist,Tribe Affiliation Post-Outcast,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Nicole Delma,Nicole,[],24,Hermosa Beach,CA,Massage Therapist,Morgan,The Outcasts,,,1st Voted OutDay 3,7,16.0,False,False,False,1,False,0,0,1,0,4,3,0,3,0,0,1,0.0,,0,7
1,Ryan Shoulders,Ryan S.,[],23,Clarksville,TN,Produce Clerk,Morgan,The Outcasts,,,2nd Voted OutDay 6,6,15.0,False,False,False,2,False,0,0,1,0,5,4,0,2,2,1,1,0.0,,0,6
2,Michelle Tesauro,Michelle,[],22,Washington,D.,Student,Drake,The Outcasts,,,5th Voted OutDay 15,6,14.0,False,False,False,5,False,0,0,1,0,8,7,3,2,2,0,2,0.5,,0,6
3,Trish Dunn,Trish,[],42,Annapolis,MD,Sales Executive,Drake,The Outcasts,,,6th Voted OutDay 18,4,13.0,False,False,False,6,False,0,0,1,0,9,8,3,5,0,2,1,0.42857142857142855,,0,4
4,Shawn Cohen,Shawn,[],28,Los Angeles,CA,Advertising Salesman,Drake,Drake,,,7th Voted OutDay 19,5,12.0,False,False,False,7,False,0,0,0,0,8,7,3,4,0,3,1,0.42857142857142855,,0,5
5,Osten Taylor,Osten,[],27,Boston,MA,Equity Trade Manager,Morgan,Morgan,,,QuitDay 19,2,11.0,False,False,False,8,False,0,0,0,0,8,7,4,3,0,3,0,0.42857142857142855,,0,2
6,Andrew Savage,Andrew,[],39,Chicago,IL,Attorney,Morgan,Morgan,Morgan,Balboa,8th Voted OutDay 21,6,10.0,False,False,False,11,True,0,0,2,0,12,10,6,4,0,3,1,0.3,0.0,0,6
7,Ryan Opray,Ryan O.,[],30,Los Gatos,CA,Electrician,Morgan,Morgan,Morgan,Balboa,9th Voted Out1st Jury MemberDay 24,8,9.0,False,False,False,12,True,0,0,3,0,13,11,6,5,0,3,2,0.2727272727272727,0.0,0,8
8,Rupert Boneham,Rupert,[],39,Indianapolis,IN,Troubled Teens Mentor,Drake,Drake,Drake,Balboa,10th Voted Out2nd Jury MemberDay 27,7,8.0,False,False,False,13,True,0,0,4,1,14,12,5,6,1,5,1,0.5833333333333334,1.3333333333333333,0,7
9,Tijuana Bradley,Tijuana,[],26,St. Louis,MO,Pharmaceutical Saleswoman,Morgan,Morgan,Morgan,Balboa,11th Voted Out3rd Jury MemberDay 30,5,7.0,False,False,False,14,True,0,0,5,0,15,13,6,7,0,5,2,0.23076923076923078,0.0,0,5
10,Christa Hastie,Christa,[],24,Los Angeles,CA,Computer Programmer,Drake,Drake,Drake,Balboa,12th Voted Out4th Jury MemberDay 33,7,6.0,False,False,False,15,True,0,0,6,0,16,14,5,9,0,7,2,0.21428571428571427,0.0,0,7
11,Burton Roberts,Burton,[],31,San Francisco,CA,Marketing Executive,Drake,The Outcasts,Drake,Balboa,"['4th Voted OutDay 12', '13th Voted Out5th Jury MemberDay 36']",10,5.0,False,False,False,"[4, 9, 16]",True,0,0,6,2,13,12,3,7,2,5,2,0.7666666666666666,0.9333333333333332,0,10
12,Darrah Johnson,Darrah,[],22,Liberty,MS,Mortician,Morgan,Morgan,Morgan,Balboa,14th Voted Out6th Jury MemberDay 37,6,4.0,False,False,False,17,True,0,0,6,3,18,16,6,10,0,7,3,0.6428571428571429,0.6,0,6
13,Jon Dalton,Jon,[],29,Los Angeles,CA,Art Consultant,Drake,Drake,Drake,Balboa,15th Voted Out7th Jury MemberDay 38,7,3.0,False,False,False,18,True,0,0,7,0,19,17,5,11,1,9,2,0.2,0.0,0,7
14,Lillian Morris,Lillian,[],51,Loveland,OH,Scoutmaster,Morgan,The Outcasts,Morgan,Balboa,"['3rd Voted OutDay 9', 'Runner-Up']",10,2.0,False,False,True,"[3, 10, 19]",True,0,0,7,2,15,13,0,11,2,9,2,0.06666666666666665,0.11111111111111109,1,10
15,Sandra Diaz-Twine,Sandra,[],28,Fort Lewis,WA,Office Assistant,Drake,Drake,Drake,Balboa,Sole Survivor,0,1.0,False,True,True,19,True,0,0,7,0,20,17,5,11,1,9,2,0.2,0.0,6,0
