,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Sandra,Lillian,Jon,Darrah,Burton,Christa,Tijuana,Rupert,Ryan O.,Andrew,Osten,Shawn,Trish,Michelle,Ryan S.,Nicole,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Nicole,7-1,-,Nicole,-,Nicole,-,-,Nicole,-,Nicole,Nicole,Nicole,-,-,-,Nicole,Ryan S.,[],False,{},False,{},True,0,False,False,,1,"""Beg, Barter, Steal""","September 18, 2003",None,Drake,"['Nicole', '7-1']",1st Voted OutDay 3,21.50,8.4/23,Nicole,['Drake'],0.5
1,2,Original Tribes,2,Ryan S.,5-2,-,Osten,-,Ryan S.,-,-,Ryan S.,-,Ryan S.,Ryan S.,Ryan S.,-,-,-,Osten,,[],False,{},False,{},True,0,False,False,,2,"""To Quit or Not to Quit""","September 25, 2003",Drake,Drake,"['Ryan S.', '5-2']",2nd Voted OutDay 6,19.86,7.5/21,Ryan S.,['Drake'],0.5
2,3,Original Tribes,3,Lillian,5-1,-,Darrah,-,Lillian,-,-,Lillian,-,Lillian,Lillian,Lillian,-,-,-,,,[],False,{},False,{},True,0,False,False,,3,"""United We Stand, Divided We...?""","October 2, 2003",Drake,Drake,"['Lillian', '5-1']",3rd Voted OutDay 9,19.68,7.5/21,Lillian,['Drake'],0.5
3,4,Original Tribes,4,Burton,5-2,Burton,,Burton,-,Christa,Burton,-,Kidnapped,-,-,-,Burton,Burton,Christa,,,[],False,{},False,{},True,0,False,False,,4,"""Pick a Castaway... Any Castaway""","October 9, 2003",Drake,"['Morgan', '[Rupert]']","['Burton', '5-2']",4th Voted OutDay 12,19.40,7.4/20,Burton,"['Morgan', '']",0.5
4,5,Original Tribes,5,Michelle,6-1,Michelle,,Michelle,-,,Michelle,-,Michelle,-,-,-,Michelle,Michelle,Shawn,,,[],False,{},False,{},True,0,False,False,,5,"""Everyone's Hero""","October 16, 2003",Morgan,Morgan,"['Michelle', '6-1']",5th Voted OutDay 15,19.35,7.4/20,Michelle,['Morgan'],0.5
5,6,Original Tribes,6,Trish,4-2,Trish,,Rupert,-,,Trish,-,Trish,-,-,-,Trish,Rupert,,,,[],False,{},False,{},True,0,False,False,,6,"""Me and My Snake""","October 23, 2003",Drake,Morgan,"['Trish', '4-2']",6th Voted OutDay 18,20.19,7.5/20,Trish,['Morgan'],0.5
6,7,Outcasts Twist,7,Shawn,4-1,Shawn,,Shawn,-,,Shawn,-,Shawn,-,-,-,Jon,,,,,[],False,{},False,{},True,1,False,False,,7,"""What the...? (Part 1)""","October 30, 2003",None,The Outcasts,"['Shawn', '4-1']",7th Voted OutDay 19,20.70,7.7/21,Shawn,['The Outcasts'],0.3333333333333333
7,8,Outcasts Twist,7,Osten,No Vote,-,,-,-,,-,-,-,-,-,,,,,,,['Osten'],False,{},False,{},False,1,False,False,,7,"""What the...? (Part 1)""","October 30, 2003",None,The Outcasts,"['Osten', 'No Vote']",QuitDay 19,20.70,7.7/21,Osten,['The Outcasts'],0.3333333333333333
8,9,Outcasts Twist,8,Burton,3-3-2-2-1-1,-,Ryan S.Trish,-,-,MichelleNicole,-,-,-,-,-,,,BurtonLillian,BurtonNicole,BurtonLillian,LillianRyan S.,[],False,{},False,{},True,1,False,False,,13,"""Mutiny""","December 11, 2003",Burton[Jon],Darrah,"['Burton', '3-2']",13th Voted Out5th Jury MemberDay 36,22.41,8.3/22,Burton,['Darrah'],0.25
9,10,Outcasts Twist,8,Lillian,3-3-2-2-1-1,-,Ryan S.Trish,-,-,MichelleNicole,-,-,-,-,-,,,BurtonLillian,BurtonNicole,BurtonLillian,LillianRyan S.,[],False,{},False,{},True,1,False,False,,14,"""Flames and Endurance""","December 14, 2003",Jury Vote,Jury Vote,"['Lillian', '6-1']",Runner-Up,25.23,9.7/22,Lillian,[],0.0
