Voter,Tribal_1,Tribal_2,Tribal_3,Tribal_4,Tribal_5,Tribal_6,Tribal_7,Tribal_8,Tribal_9,Tribal_10,Tribal_11,Tribal_12,Tribal_13,Tribal_14,Tribal_15,Tribal_16,Tribal_17,Tribal_18,Final Tribal,Final Tribal
Tribal #:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19
Tribe Status:,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Outcasts Twist,Outcasts Twist,Outcasts Twist,Outcasts Twist,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe
Episode #:,1,2,3,4,5,6,7,7,8,8,8,9,10,11,12,13,14,14,14,14
Voted out:,Nicole,Ryan S.,Lillian,Burton,Michelle,Trish,Shawn,Osten,Burton,Lillian,Andrew,Ryan O.,Rupert,Tijuana,Christa,Burton,Darrah,Jon,Lillian,Sandra
Vote:,7-1,5-2,5-1,5-2,6-1,4-2,4-1,No Vote,3-3-2-2-1-1,3-3-2-2-1-1,6-4,8-1,5-2-1,5-2,4-2,3-2,3-1,1-0,6-1,6-1
Sandra,-,-,-,Burton,Michelle,Trish,Shawn,-,-,-,Andrew,Ryan O.,Jon,Tijuana,Lillian,Burton,Darrah,None,Jury Vote,Jury Vote
Lillian,Nicole,Osten,Darrah,,,,,,Ryan S.Trish,Ryan S.Trish,Andrew,Ryan O.,Rupert,Tijuana,Christa,Burton,Darrah,Jon,Jury Vote,Jury Vote
Jon,-,-,-,Burton,Michelle,Rupert,Shawn,-,-,-,Andrew,Ryan O.,Rupert,Tijuana,Christa,Lillian,Darrah,None,,Sandra
Darrah,Nicole,Ryan S.,Lillian,-,-,-,-,-,-,-,Jon,Ryan O.,Rupert,Burton,Christa,Burton,Lillian,,,Sandra
Burton,-,-,-,Christa,,,,,MichelleNicole,MichelleNicole,Andrew,Ryan O.,Rupert,Tijuana,Christa,Lillian,,,,Sandra
Christa,-,-,-,Burton,Michelle,Trish,Shawn,-,-,-,Andrew,Ryan O.,Darrah,Tijuana,Lillian,,,,,Sandra
Tijuana,Nicole,Ryan S.,Lillian,-,-,-,-,-,-,-,Jon,Ryan O.,Rupert,Burton,,,,,Lillian,
Rupert,-,-,-,Kidnapped,Michelle,Trish,Shawn,-,-,-,Andrew,Ryan O.,Darrah,,,,,,,Sandra
Ryan O.,Nicole,Ryan S.,Lillian,-,-,-,-,-,-,-,Jon,Christa,,,,,,,,Sandra
Andrew,Nicole,Ryan S.,Lillian,-,-,-,-,-,-,-,Jon,,,,,,,,,
Osten,Nicole,Ryan S.,Lillian,-,-,-,-,Quit,,,,,,,,,,,,
Shawn,-,-,-,Burton,Michelle,Trish,Jon,,,,,,,,,,,,,
Trish,-,-,-,Burton,Michelle,Rupert,,,BurtonLillian,BurtonLillian,Eliminated,,,,,,,,,
Michelle,-,-,-,Christa,Shawn,,,,BurtonNicole,BurtonNicole,Eliminated,,,,,,,,,
Ryan S.,Nicole,Osten,,,,,,,BurtonLillian,BurtonLillian,Eliminated,,,,,,,,,
Nicole,Ryan S.,,,,,,,,LillianRyan S.,LillianRyan S.,Eliminated,,,,,,,,,
