,Sandra,Lillian,Jon,Darrah,Burton,Christa,Tijuana,Rupert,Ryan O.,Andrew,Osten,Shawn,Trish,Michelle,Ryan S.,Nicole
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
4,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False
5,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False
6,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False
7,True,False,True,True,False,True,True,True,True,True,True,True,False,False,False,False
8,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False
9,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
10,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True
11,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
12,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
13,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
14,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
15,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
16,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
17,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
18,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
