,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Absorbed Tribe,Tribe Affiliation Shuffled Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Tina Wesson,Tina,['The Australian Outback'],42,Knoxville,TN,,Saboga,,,,1st Voted OutDay 3,4,18.0,True
1,Rudy Boesch,Rudy,['Borneo'],75,Virginia Beach,VA,,Saboga,,,,2nd Voted OutDay 6,3,17.0,True
2,Jenna Morasca,Jenna M.,['The Amazon'],22,Bridgeville,PA,,Mogo Mogo,,,,QuitDay 9,0,16.0,True
3,Rob Cesternino,Rob C.,['The Amazon'],25,Plainview,NY,,Chapera,,,,3rd Voted OutDay 12,5,15.0,True
4,Richard Hatch,Richard,['Borneo'],42,Middletown,RI,,Mogo Mogo,Mogo Mogo,,,4th Voted OutDay 15,6,14.0,True
5,Susan Hawk,Susan,['Borneo'],42,Las Vegas,NV,,Chapera,Chapera,,,QuitDay 17,0,13.0,True
6,Colby Donaldson,Colby,['The Australian Outback'],29,Los Angeles,CA,,Mogo Mogo,Mogo Mogo,,,5th Voted OutDay 19,4,12.0,True
7,Ethan Zohn,Ethan,['Africa'],29,New York City,NY,,Saboga,Mogo Mogo,,,6th Voted OutDay 21,6,11.0,True
8,Jerri Manthey,Jerri,['The Australian Outback'],33,Los Angeles,CA,,Saboga,Mogo Mogo,Chapera,,7th Voted OutDay 24,7,10.0,True
9,Lex van den Berghe,Lex,['Africa'],40,Santa Cruz,CA,,Mogo Mogo,Mogo Mogo,Chapera,Chaboga Mogo,8th Voted Out1st Jury MemberDay 27,7,9.0,True
10,Kathy Vavrick-O'Brien,Kathy,['Marquesas'],48,Burlington,VT,,Mogo Mogo,Mogo Mogo,Chapera,Chaboga Mogo,9th Voted Out2nd Jury MemberDay 28,6,8.0,True
11,Alicia Calaway,Alicia,['The Australian Outback'],35,New York City,NY,,Chapera,Chapera,Mogo Mogo,Chaboga Mogo,10th Voted Out3rd Jury MemberDay 30,7,7.0,True
12,Shii Ann Huang,Shii Ann,['Thailand'],29,New York City,NY,,Mogo Mogo,Mogo Mogo,Chapera,Chaboga Mogo,11th Voted Out4th Jury MemberDay 33,5,6.0,True
13,Tom Buchanan,Tom,['Africa'],48,Rich Valley,VA,,Chapera,Chapera,Mogo Mogo,Chaboga Mogo,12th Voted Out5th Jury MemberDay 36,4,5.0,True
14,Rupert Boneham,Rupert,['Pearl Islands'],39,Indianapolis,IN,,Saboga,Chapera,Mogo Mogo,Chaboga Mogo,13th Voted Out6th Jury MemberDay 37,4,4.0,True
15,Jenna Lewis,Jenna L.,['Borneo'],26,Burbank,CA,,Saboga,Chapera,Mogo Mogo,Chaboga Mogo,14th Voted Out7th Jury MemberDay 38,4,3.0,True
16,Rob Mariano,Rob M.,['Marquesas'],27,Canton,MA,,Chapera,Chapera,Mogo Mogo,Chaboga Mogo,Runner-Up,1,2.0,True
17,Amber Brkich,Amber,['The Australian Outback'],25,Beaver,PA,,Chapera,Chapera,Chapera,Chaboga Mogo,Sole Survivor,6,1.0,True
