,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Amber,Rob M.,Jenna L.,Rupert,Tom,Shii Ann,Alicia,Kathy,Lex,Jerri,Ethan,Colby,Susan,Richard,Rob C.,Jenna M.,Rudy,Tina,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribe,1,Tina,4-2,-,-,Tina,Tina,-,-,-,-,-,Tina,Jenna L.,-,-,-,-,-,Tina,Jenna L.,[],False,{},False,{},True,0,False,False,,1,"""They're Back!""","February 1, 2004",None,"['Chapera', 'Mogo Mogo']","['Tina', '4-2']",1st Voted OutDay 3,33.27,14.9/37,Tina,"['Chapera', 'Mogo Mogo']",0.6666666666666666
1,2,Original Tribe,2,Rudy,3-2,-,-,Rudy,Ethan,-,-,-,-,-,Rudy,Rudy,-,-,-,-,-,Ethan,,[],False,{},False,{},True,0,False,False,,2,"""Panicked, Desperate, Thirsty as Hell""","February 5, 2004",Saboga,"['Chapera', 'Mogo Mogo']","['Rudy', '3-2']",2nd Voted OutDay 6,23.07,8.9/22,Rudy,"['Chapera', 'Mogo Mogo']",0.6666666666666666
2,3,Original Tribe,3,Jenna M.,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,['Jenna M.'],False,{},False,{},False,0,False,False,,3,"""Shark Attack""","February 12, 2004","['Chapera', 'Mogo Mogo']",None,"['Jenna M.', 'No Vote']",QuitDay 9,22.35,8.0/20,Jenna M.,[],0.0
3,4,Original Tribe,4,Rob C.,5-1,Rob C.,Rob C.,-,-,Rob C.,-,Rob C.,-,-,-,-,-,Rob C.,-,Alicia,,,,[],False,{},False,{},True,0,False,False,,4,"""Wipe Out!""","February 19, 2004","['Chapera', 'Saboga']","['Saboga', 'Mogo Mogo']","['Rob C.', '5-1']",3rd Voted OutDay 12,22.80,8.7/22,Rob C.,"['Saboga', 'Mogo Mogo']",0.6666666666666666
4,5,Absorbed Tribes,5,Richard,6-1,-,-,-,-,-,Richard,-,Richard,Richard,Richard,Richard,Richard,-,Colby,,,,,[],False,{},False,{},True,1,False,False,,5,"""I've Been Bamboozled!""","February 26, 2004","['Mogo Mogo', 'Chapera']",Chapera,"['Richard', '6-1']",4th Voted OutDay 15,22.19,8.6/23,Richard,['Chapera'],0.5
5,6,Absorbed Tribes,6,Susan,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,['Susan'],False,{},False,{},False,1,False,False,,6,"""Outraged""","March 4, 2004",Mogo Mogo,None,"['Susan', 'No Vote']",QuitDay 17,23.22,8.7/23,Susan,[],0.0
6,7,Absorbed Tribes,7,Colby,3-2,-,-,-,-,-,Colby,-,Kidnapped,Colby,Colby,Jerri,Jerri,,,,,,,[],False,{},False,{},True,1,False,False,,7,"""Sorry... I Blew It""","March 11, 2004","['Chapera', '[Kathy]']","['Chapera', '[Kathy]']","['Colby', '3-2']",5th Voted OutDay 19,22.63,8.7/23,Colby,"['Chapera', '']",0.5
7,8,Absorbed Tribes,8,Ethan,4-1,-,-,-,-,-,Ethan,-,Ethan,Ethan,Ethan,Jerri,,,,,,,,[],False,{},False,{},True,1,False,False,,8,"""Pick a Tribemate""","March 17, 2004",Chapera,Chapera,"['Ethan', '4-1']",6th Voted OutDay 21,21.89,8.5/22,Ethan,['Chapera'],0.5
8,9,SwitchedTribes,10,Jerri,4-1,Jerri,-,-,-,-,Jerri,-,Jerri,Jerri,Amber,,,,,,,,,[],False,{},False,{},True,2,False,False,,10,"""Mad Scramble and Broken Hearts""","April 1, 2004",None,Mogo Mogo,"['Jerri', '4-1']",7th Voted OutDay 24,21.70,8.3/23,Jerri,['Mogo Mogo'],0.5
9,10,Merged Tribe,11,Lex,7-2,Lex,Lex,Lex,Lex,Lex,Lex,Lex,Amber,Amber,,,,,,,,,,[],False,{},False,{},True,3,True,False,,11,"""Anger, Tears and Chaos""","April 8, 2004","Rupert[Amber,Jenna L.]","['Kathy', 'Rob M.']","['Lex', '7-2']",8th Voted Out1st Jury MemberDay 27,20.76,7.9/24,Lex,"['Kathy', 'Rob M.']",0.2222222222222222
10,11,Merged Tribe,12,Kathy,6-2,Kathy,Kathy,Kathy,Kathy,Kathy,Amber,Kathy,Amber,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,12,"""A Thoughtful Gesture or a Deceptive Plan""","April 15, 2004","Alicia,Amber,Rob M.,Shii Ann",Rob M.,"['Kathy', '6-2']",9th Voted Out2nd Jury MemberDay 28,20.78,7.5/21,Kathy,['Rob M.'],0.125
11,12,Merged Tribe,13,Alicia,6-1,Alicia,Alicia,Alicia,Alicia,Alicia,Alicia,Rupert,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,13,"""Stupid People, Stupid, Stupid People""","April 22, 2004",Rupert,Shii Ann,"['Alicia', '6-1']",10th Voted Out3rd Jury MemberDay 30,20.99,7.6/22,Alicia,['Shii Ann'],0.14285714285714285
12,13,Merged Tribe,14,Shii Ann,5-1,Shii Ann,Shii Ann,Shii Ann,Shii Ann,Shii Ann,Amber,,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,14,"""A Chapera Surprise""","April 29, 2004",Tom[Rob M.],Tom,"['Shii Ann', '5-1']",11th Voted Out4th Jury MemberDay 33,20.78,7.5/21,Shii Ann,['Tom'],0.16666666666666666
13,14,Merged Tribe,15,Tom,4-1,Tom,Tom,Tom,Tom,Jenna L.,,,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,15,"""The Instigator""","May 6, 2004",Rob M.[Amber],Rob M.,"['Tom', '4-1']",12th Voted Out5th Jury MemberDay 36,19.21,7.2/20,Tom,['Rob M.'],0.2
14,15,Merged Tribe,16,Rupert,3-1,Rupert,Rupert,Rupert,Rob M.,,,,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,16,"""The Sole Surviving All-Star""","May 9, 2004",None,Amber,"['Rupert', '3-1']",13th Voted Out6th Jury MemberDay 37,24.8,8.2/23,Rupert,['Amber'],0.25
15,16,Merged Tribe,16,Jenna L.,1-0,None,Jenna L.,None,,,,,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,16,"""The Sole Surviving All-Star""","May 9, 2004",None,Rob M.,"['Jenna L.', '1-0']",14th Voted Out7th Jury MemberDay 38,24.8,8.2/23,Jenna L.,['Rob M.'],0.3333333333333333
16,17,Merged Tribe,16,Amber,4-3,Jury Vote,Jury Vote,Rob M.,Rob M.,Amber,Amber,Amber,Rob M.,Amber,,,,,,,,,,[],False,{},False,{},True,3,True,True,"['Rob M.', 'Amber']",16,"""The Sole Surviving All-Star""","May 9, 2004",Jury Vote,Jury Vote,"['Amber', '4-3']",Sole Survivor,24.8,8.2/23,Amber,[],
