,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Chris,Twila,Scout,Eliza,Julie,Ami,Leann,Chad,Lea,Rory,John K.,Lisa,Travis,Brady,Mia,John P.,Dolly,Brook,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Brook,5-3-1,Brook,-,-,-,-,-,-,Brook,Brook,Brook,Chris,-,Brook,Rory,-,Chris,-,Chris,[],False,{},False,{},True,0,False,False,,1,"""They Came at Us with Spears!""","September 16, 2004",Yasur,Yasur,"['Brook', '5-3-1']",1st Voted OutDay 3,20.06,7.8/22,Brook,['Yasur'],0.5
1,2,Original Tribes,2,Dolly,5-4,-,Dolly,Dolly,Dolly,Leann,Dolly,Dolly,-,-,-,-,Leann,-,-,Leann,-,Leann,,[],False,{},False,{},True,0,False,False,,2,"""Burly Girls, Bowheads, Young Studs, and the Old Bunch""","September 23, 2004",Yasur,Lopevi,"['Dolly', '5-4']",2nd Voted OutDay 6,19.14,7.5/22,Dolly,['Lopevi'],0.5
2,3,Original Tribes,3,John P.,5-3,John P.,-,-,-,-,-,-,John P.,John P.,John P.,Rory,-,John P.,Rory,-,Rory,,,[],False,{},False,{},True,0,False,False,,3,"""Double Tribal, Double Trouble""","September 30, 2004",Lopevi,John K.,"['John P.', '5-3']",3rd Voted OutDay 7,19.91,7.5/21,John P.,['John K.'],0.125
3,4,Original Tribes,3,Mia,5-3,-,Mia,Mia,Twila,Twila,Mia,Mia,-,-,-,-,Mia,-,-,Twila,,,,[],False,{},False,{},True,0,False,False,,3,"""Double Tribal, Double Trouble""","September 30, 2004",Lopevi,[Ami],"['Mia', '5-3']",4th Voted OutDay 7,19.91,7.5/21,Mia,[''],0.0
4,5,Original Tribes,4,Brady,6-1,Brady,-,-,-,-,-,-,Brady,Brady,Brady,Brady,-,Brady,Rory,,,,,[],False,{},False,{},True,0,False,False,,4,"""Now That's a Reward!""","October 7, 2004",Yasur,Yasur,"['Brady', '6-1']",5th Voted OutDay 10,19.46,7.3/21,Brady,['Yasur'],0.5
5,6,Switched Tribes,5,Travis,6-1,-,-,Travis,Travis,-,Travis,Travis,-,-,Travis,-,Travis,Rory,,,,,,[],False,{},False,{},True,1,False,False,,5,"""Earthquakes and Shake-Ups!""","October 14, 2004",Lopevi,Lopevi,"['Travis', '6-1']",6th Voted OutDay 12,19.16,7.0/19,Travis,['Lopevi'],0.5
6,7,Switched Tribes,6,Lisa,4-2,-,-,Rory,Lisa,-,Lisa,Lisa,-,-,Lisa,-,Rory,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Hog Tied""","October 21, 2004",Lopevi,Lopevi,"['Lisa', '4-2']",7th Voted OutDay 15,19.22,7.3/20,Lisa,['Lopevi'],0.5
7,8,Switched Tribes,7,John K.,5-1,John K.,John K.,-,-,John K.,-,-,John K.,John K.,-,Chad,,,,,,,,[],False,{},False,{},True,1,False,False,,7,"""Anger, Threats, Tears... and Coffee""","October 28, 2004",Yasur,Yasur,"['John K.', '5-1']",8th Voted OutDay 18,20.24,7.6/20,John K.,['Yasur'],0.5
8,9,Merged Tribe,8,Rory,6-4,Ami,Rory,Rory,Rory,Rory,Rory,Rory,Ami,Ami,Ami,,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Now the Battle Really Begins""","November 4, 2004",Lopevi,Lea,"['Rory', '6-4']",9th Voted OutDay 21,20.70,7.6/20,Rory,['Lea'],0.1
9,10,Merged Tribe,9,Lea,7-1-1,Lea,Lea,Lea,Lea,Lea,Lea,Lea,Julie,Eliza,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Gender Wars... It's Getting Ugly""","November 11, 2004",Leann[Julie],Ami,"['Lea', '7-1-1']",10th Voted Out1st Jury MemberDay 24,20.14,7.4/N/A,Lea,['Ami'],0.1111111111111111
10,11,Merged Tribe,10,Chad,6-2,Eliza,Chad,Chad,Chad,Chad,Chad,Chad,Eliza,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""Culture Shock and Violent Storms""","November 18, 2004","Ami, Chad,Chris, Eliza",Twila,"['Chad', '6-2']",11th Voted Out2nd Jury MemberDay 27,20.70,7.7/N/A,Chad,['Twila'],0.125
11,12,Merged Tribe,11,Leann,4-3,Leann,Leann,Leann,Leann,Eliza,Eliza,Eliza,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,11,"""Surprise and... Surprise Again!""","November 25, 2004",Eliza,Ami,"['Leann', '4-3']",12th Voted Out3rd Jury MemberDay 30,19.72,7.2/19,Leann,['Ami'],0.14285714285714285
12,13,Merged Tribe,12,Ami,4-2,Ami,Ami,Ami,Ami,Scout,Scout,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,12,"""Now Who's in Charge Here?!""","December 2, 2004","['Ami', 'Chris', 'Eliza']",Chris,"['Ami', '4-2']",13th Voted Out4th Jury MemberDay 33,20.3,7.6/21,Ami,['Chris'],0.16666666666666666
13,14,Merged Tribe,13,Julie,3-2,Julie,Julie,Julie,Twila,Twila,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,13,"""Eruption of Volcanic Magnitude""","December 9, 2004",Julie[Chris],Eliza,"['Julie', '3-2']",14th Voted Out5th Jury MemberDay 36,19.72,7.5/16,Julie,['Eliza'],0.2
14,15,Merged Tribe,14,Eliza,3-1,Eliza,Eliza,Eliza,Twila,,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,14,"""Spirits and the Final Four""","December 12, 2004",None,Chris,"['Eliza', '3-1']",15th Voted Out6th Jury MemberDay 37,19.71,7.5/16,Eliza,['Chris'],0.25
15,16,Merged Tribe,14,Scout,1-0,Scout,None,None,,,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,14,"""Spirits and the Final Four""","December 12, 2004",None,Chris,"['Scout', '1-0']",16th Voted Out7th Jury MemberDay 38,19.71,7.5/16,Scout,['Chris'],0.3333333333333333
16,17,Merged Tribe,14,Chris,5-2,Jury Vote,Jury Vote,Twila,Chris,Chris,Twila,Chris,Chris,Chris,,,,,,,,,,[],False,{},False,{},True,2,True,True,"['Twila', 'Chris']",14,"""Spirits and the Final Four""","December 12, 2004",Jury Vote,Jury Vote,"['Chris', '5-2']",Sole Survivor,19.71,7.5/16,Chris,[],
