Voter,Tribal_1,Tribal_2,Tribal_3,Tribal_4,Tribal_5,Tribal_6,Tribal_7,Tribal_8,Tribal_9,Tribal_10,Tribal_11,Tribal_12,Tribal_13,Tribal_14,Tribal_15,Tribal_16,Final Tribal,Final Tribal
Tribal #:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,17
Tribe Status:,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Switched Tribes,Switched Tribes,Switched Tribes,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe
Episode #:,1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,14,14,14
Voted out:,Brook,Dolly,John P.,Mia,Brady,Travis,Lisa,John K.,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,Scout,Twila,Chris
Vote:,5-3-1,5-4,5-3,5-3,6-1,6-1,4-2,5-1,6-4,7-1-1,6-2,4-3,4-2,3-2,3-1,1-0,5-2,5-2
Chris,Brook,-,John P.,-,Brady,-,-,John K.,Ami,Lea,Eliza,Leann,Ami,Julie,Eliza,Scout,Jury Vote,Jury Vote
Twila,-,Dolly,-,Mia,-,-,-,John K.,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,None,Jury Vote,Jury Vote
Scout,-,Dolly,-,Mia,-,Travis,Rory,-,Rory,Lea,Chad,Leann,Ami,Julie,Eliza,None,Twila,
Eliza,-,Dolly,-,Twila,-,Travis,Lisa,-,Rory,Lea,Chad,Leann,Ami,Twila,Twila,,,Chris
Julie,-,Leann,-,Twila,-,-,-,John K.,Rory,Lea,Chad,Eliza,Scout,Twila,,,,Chris
Ami,-,Dolly,-,Mia,-,Travis,Lisa,-,Rory,Lea,Chad,Eliza,Scout,,,,Twila,
Leann,-,Dolly,-,Mia,-,Travis,Lisa,-,Rory,Lea,Chad,Eliza,,,,,,Chris
Chad,Brook,-,John P.,-,Brady,-,-,John K.,Ami,Julie,Eliza,,,,,,,Chris
Lea,Brook,-,John P.,-,Brady,-,-,John K.,Ami,Eliza,,,,,,,,Chris
Rory,Brook,-,John P.,-,Brady,Travis,Lisa,-,Ami,,,,,,,,,
John K.,Chris,-,Rory,-,Brady,-,-,Chad,,,,,,,,,,
Lisa,-,Leann,-,Mia,-,Travis,Rory,,,,,,,,,,,
Travis,Brook,-,John P.,-,Brady,Rory,,,,,,,,,,,,
Brady,Rory,-,Rory,-,Rory,,,,,,,,,,,,,
Mia,-,Leann,-,Twila,,,,,,,,,,,,,,
John P.,Chris,-,Rory,,,,,,,,,,,,,,,
Dolly,-,Leann,,,,,,,,,,,,,,,,
Brook,Chris,,,,,,,,,,,,,,,,,
