,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Absorbed Tribe,Finish,VotesAgainst,Place,Returnee
0,Jonathan Libby,Jonathan,[],23,Dallas,TX,Sales &amp; Marketing Associate,,,EliminatedDay 2,0,20.0,False
1,Wanda Shirk,Wanda,[],55,Ulysses,PA,English Teacher,,,EliminatedDay 2,0,19.0,False
2,Jolanda Jones,Jolanda,[],38,Houston,TX,Lawyer,Ulong,,1st Voted OutDay 3,6,18.0,False
3,Ashlee Ashby,Ashlee,[],22,Easley,SC,Student,Ulong,,2nd Voted OutDay 6,6,17.0,False
4,Jeff Wilson,Jeff,[],21,Ventura,CA,Personal Trainer,Ulong,,3rd Voted OutDay 8,5,16.0,False
5,Kim Mullen,Kim,[],25,Huber Heights,OH,Graduate Student,Ulong,,4th Voted OutDay 11,8,15.0,False
6,Willard Smith,Willard,[],56,Bellevue,WA,Lawyer,Koror,,5th Voted OutDay 12,8,14.0,False
7,Angie Jakusz,Angie,[],24,New Orleans,LA,Bartender,Ulong,,6th Voted OutDay 12,8,13.0,False
8,James Miller,James,[],33,Mobile,AL,Steelworker,Ulong,,7th Voted OutDay 15,7,12.0,False
9,Ibrehem Rahman,Ibrehem,[],27,Birmingham,AL,Model,Ulong,,8th Voted OutDay 18,4,11.0,False
10,Bobby Jon Drinkard,Bobby Jon,[],27,Los Angeles,CA,Waiter,Ulong,,EliminatedDay 21,2,10.0,False
11,Coby Archa,Coby,[],32,Athens,TX,Hairdresser,Koror,Koror,9th Voted Out1st Jury MemberDay 24,7,9.0,False
12,Janu Tornell,Janu,[],39,Las Vegas,NV,Vegas Showgirl,Koror,Koror,Quit2nd Jury MemberDay 27,1,8.0,False
13,Stephenie LaGrossa,Stephenie,[],24,Tom's River,NJ,Pharmaceutical Sales Representative,Ulong,Koror,10th Voted Out3rd Jury MemberDay 30,8,7.0,False
14,Gregg Carey,Gregg,[],27,Chicago,IL,Business Consultant,Koror,Koror,11th Voted Out4th Jury MemberDay 33,4,6.0,False
15,Caryn Groedel,Caryn,[],46,Solon,OH,Civil Rights Lawyer,Koror,Koror,12th Voted Out5th Jury MemberDay 36,7,5.0,False
16,Jenn Lyon,Jenn,[],32,Encino,CA,Nanny,Koror,Koror,13th Voted Out6th Jury MemberDay 37,3,4.0,False
17,Ian Rosenberger,Ian,[],23,Ambridge,PA,Dolphin Trainer,Koror,Koror,14th Voted Out7th Jury MemberDay 38,5,3.0,False
18,Katie Gallagher,Katie,[],29,Merced,CA,Advertising Executive,Koror,Koror,Runner-Up,1,2.0,False
19,Tom Westman,Tom,[],40,Sayville,NY,Firefighter,Koror,Koror,Sole Survivor,0,1.0,False
