,Idx,Episode,Air date,Reward,Immunity,Eliminated(vote),Finish,Viewers(in millions),Ratings/Share(18-49),Immunity_2
0,1,"""This Has Never Happened Before!""","February 17, 2005",None,"['Ian', 'Jolanda']","['JonathanWanda', 'No Vote']",EliminatedDay 2,23.66,9.1/23,"['Ian', 'Jolanda']"
1,1,"""This Has Never Happened Before!""","February 17, 2005",Koror,Koror,"['Jolanda', '6-3']",1st Voted OutDay 3,23.66,9.1/23,['Koror']
2,2,"""Love Is in the Air, Rats Are Everywhere""","February 24, 2005",Ulong,Koror,"['Ashlee', '6-1-1']",2nd Voted OutDay 6,21.64,7.9/20,['Koror']
3,3,"""Dangerous Creatures and Horrible Setbacks""","March 3, 2005",Ulong,Koror,"['Jeff', '4-2-1']",3rd Voted OutDay 8,21.80,8.5/N/A,['Koror']
4,4,"""Sumo at Sea""","March 10, 2005",Koror,Koror,"['Kim', '5-1']",4th Voted OutDay 11,21.80,8.1/22,['Koror']
5,5,"""The Best and Worst Reward Ever""","March 16, 2005",Koror,,"['Willard', '8-1']",5th Voted OutDay 12,18.42,6.9/19,[]
6,5,"""The Best and Worst Reward Ever""","March 16, 2005",Koror,[Ibrehem],"['Angie', '2-2-1;3-0']",6th Voted OutDay 12,18.42,6.9/19,['']
7,6,"""Jellyfish 'n Chips""","March 23, 2005",Ulong,Koror,"['James', '2-2;2-0']",7th Voted OutDay 15,19.15,7.3/19,['Koror']
8,7,"""The Great White Shark Hunter""","March 31, 2005",Koror,Koror,"['Ibrehem', '2-1']",8th Voted OutDay 18,20.89,7.7/21,['Koror']
9,8,"""Neanderthal Man""","April 7, 2005",Koror,Koror,"['Bobby Jon', 'No Vote']",EliminatedDay 21,19.75,7.0/20,['Koror']
10,9,"""I Will Not Give Up""","April 14, 2005",None,Tom,"['Coby', '7-1-1']",9th Voted Out1st Jury MemberDay 24,20.0,7.4/23,['Tom']
11,10,"""Exile Island""","April 21, 2005","Caryn,Gregg,Janu, Tom",Tom,"['Janu', 'No Vote']",Quit2nd Jury MemberDay 27,18.66,6.8/20,['Tom']
12,11,"""I'll Show You How Threatening I Am""","April 28, 2005",SurvivorAuction,Ian,"['Stephenie', '6-1']",10th Voted Out3rd Jury MemberDay 30,21.21,7.8/20,['Ian']
13,12,"""We'll Make You Pay""","May 5, 2005","Gregg[Jenn,Katie]",Ian,"['Gregg', '4-2']",11th Voted Out4th Jury MemberDay 33,20.07,7.1/21,['Ian']
14,13,"""It Could All Backfire""","May 12, 2005",Ian[Tom],Tom,"['Caryn', '4-1']",12th Voted Out5th Jury MemberDay 36,19.3,7.1/21,['Tom']
15,14,"""The Ultimate Shock""","May 15, 2005",None,Tom,"['Jenn', '2-2;1-1;Tiebreaker']",13th Voted Out6th Jury MemberDay 37,20.80,7.8/18,['Tom']
16,14,"""The Ultimate Shock""","May 15, 2005",None,Tom,"['Ian', '1-0']",14th Voted Out7th Jury MemberDay 38,20.80,7.8/18,['Tom']
17,14,"""The Ultimate Shock""","May 15, 2005",Jury Vote,Jury Vote,"['Katie', '6-1']",Runner-Up,20.80,7.8/18,[]
18,14,"""The Ultimate Shock""","May 15, 2005",Jury Vote,Jury Vote,"['Tom', '6-1']",Sole Survivor,20.80,7.8/18,[]
19,15,"""Reunion""","May 15, 2005",,,,,16.72,6.5/16,[]
