,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Absorbed Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Jonathan Libby,Jonathan,[],23,Dallas,TX,Sales &amp; Marketing Associate,,,EliminatedDay 2,0,20.0,False,False,False,1,False,0,0,0,0,1,0,0,0,0,0,0,,,0,0
1,Wanda Shirk,Wanda,[],55,Ulysses,PA,English Teacher,,,EliminatedDay 2,0,19.0,False,False,False,2,False,0,0,0,0,1,0,0,0,0,0,0,,,0,0
2,Jolanda Jones,Jolanda,[],38,Houston,TX,Lawyer,Ulong,,1st Voted OutDay 3,6,18.0,False,False,False,3,False,1,0,0,0,4,1,0,1,0,0,1,0.0,,0,6
3,Ashlee Ashby,Ashlee,[],22,Easley,SC,Student,Ulong,,2nd Voted OutDay 6,6,17.0,False,False,False,4,False,2,0,0,0,5,2,0,2,0,1,1,0.0,,0,6
4,Jeff Wilson,Jeff,[],21,Ventura,CA,Personal Trainer,Ulong,,3rd Voted OutDay 8,5,16.0,False,False,False,5,False,3,0,0,0,6,3,0,3,0,2,1,0.0,,0,5
5,Kim Mullen,Kim,[],25,Huber Heights,OH,Graduate Student,Ulong,,4th Voted OutDay 11,8,15.0,False,False,False,6,False,4,0,0,0,7,4,0,4,0,3,1,0.0,,0,8
6,Willard Smith,Willard,[],56,Bellevue,WA,Lawyer,Koror,,5th Voted OutDay 12,8,14.0,False,False,False,7,False,4,4,0,0,8,5,4,1,0,0,1,1.0,,0,8
7,Angie Jakusz,Angie,[],24,New Orleans,LA,Bartender,Ulong,,6th Voted OutDay 12,8,13.0,False,False,False,8,False,4,0,0,0,9,6,1,5,0,4,1,0.0,,0,5
8,James Miller,James,[],33,Mobile,AL,Steelworker,Ulong,,7th Voted OutDay 15,7,12.0,False,False,False,9,False,5,0,0,0,10,7,1,6,0,4,2,0.0,,0,5
9,Ibrehem Rahman,Ibrehem,[],27,Birmingham,AL,Model,Ulong,,8th Voted OutDay 18,4,11.0,False,False,False,10,False,6,0,0,0,11,8,1,7,0,3,4,0.0,,0,4
10,Bobby Jon Drinkard,Bobby Jon,[],27,Los Angeles,CA,Waiter,Ulong,,EliminatedDay 21,2,10.0,False,False,False,11,False,6,0,0,0,11,8,1,7,0,5,2,0.0,,0,2
11,Coby Archa,Coby,[],32,Athens,TX,Hairdresser,Koror,Koror,9th Voted Out1st Jury MemberDay 24,7,9.0,False,False,False,12,True,7,7,1,0,13,9,7,2,0,1,1,0.875,0.0,0,7
12,Janu Tornell,Janu,[],39,Las Vegas,NV,Vegas Showgirl,Koror,Koror,Quit2nd Jury MemberDay 27,1,8.0,False,False,False,13,True,7,7,1,0,13,9,7,2,0,1,1,0.875,0.0,0,1
13,Stephenie LaGrossa,Stephenie,[],24,Tom's River,NJ,Pharmaceutical Sales Representative,Ulong,Koror,10th Voted Out3rd Jury MemberDay 30,8,7.0,False,False,False,14,True,7,0,3,0,15,10,1,9,0,6,3,0.0,0.0,0,8
14,Gregg Carey,Gregg,[],27,Chicago,IL,Business Consultant,Koror,Koror,11th Voted Out4th Jury MemberDay 33,4,6.0,False,False,False,15,True,7,7,4,0,16,11,7,4,0,3,1,0.6363636363636364,0.0,0,4
15,Caryn Groedel,Caryn,[],46,Solon,OH,Civil Rights Lawyer,Koror,Koror,12th Voted Out5th Jury MemberDay 36,7,5.0,False,False,False,16,True,7,7,5,0,17,12,7,5,0,4,1,0.5833333333333334,0.0,0,7
16,Jenn Lyon,Jenn,[],32,Encino,CA,Nanny,Koror,Koror,13th Voted Out6th Jury MemberDay 37,3,4.0,False,False,False,17,True,7,7,6,0,18,13,7,6,0,4,2,0.5384615384615384,0.0,0,2
17,Ian Rosenberger,Ian,[],23,Ambridge,PA,Dolphin Trainer,Koror,Koror,14th Voted Out7th Jury MemberDay 38,5,3.0,False,False,False,18,True,7,7,7,2,19,14,7,6,1,6,0,1.2857142857142858,1.5714285714285714,0,4
18,Katie Gallagher,Katie,[],29,Merced,CA,Advertising Executive,Koror,Koror,Runner-Up,1,2.0,False,False,True,19,True,7,7,7,0,20,14,7,6,1,6,0,0.5,0.0,1,1
19,Tom Westman,Tom,[],40,Sayville,NY,Firefighter,Koror,Koror,Sole Survivor,0,1.0,False,True,True,19,True,7,7,7,5,20,14,7,7,0,6,1,2.142857142857143,3.2857142857142856,6,0
