,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Tom,Katie,Ian,Jenn,Caryn,Gregg,Stephenie,Janu,Coby,Bobby Jon,Ibrehem,James,Angie,Willard,Kim,Jeff,Ashlee,Jolanda,Jonathan,Wanda,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(vote),Finish,Viewers(in millions),Ratings/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Tribe Selection,1,Jonathan,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,"['Jonathan', 'Wanda']",False,{},False,{},False,0,False,False,,,,,,,,,,,,[],0.0
1,2,Tribe Selection,1,Wanda,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,"['Jonathan', 'Wanda']",False,{},False,{},False,0,False,False,,,,,,,,,,,,[],0.0
2,3,Original Tribes,1,Jolanda,6-3,-,-,-,-,-,-,Jolanda,-,-,Angie,Angie,Jolanda,Jolanda,-,Jolanda,Jolanda,Jolanda,Angie,,,[],False,{},False,{},True,1,False,False,,1,"""This Has Never Happened Before!""","February 17, 2005",Koror,Koror,"['Jolanda', '6-3']",1st Voted OutDay 3,23.66,9.1/23,Jolanda,['Koror'],0.5
3,4,Original Tribes,2,Ashlee,6-1-1,-,-,-,-,-,-,Ashlee,-,-,Ashlee,Kim,Ashlee,Ashlee,-,Ashlee,Ashlee,Jeff,,,,[],False,{},False,{},True,1,False,False,,2,"""Love Is in the Air, Rats Are Everywhere""","February 24, 2005",Ulong,Koror,"['Ashlee', '6-1-1']",2nd Voted OutDay 6,21.64,7.9/20,Ashlee,['Koror'],0.5
4,5,Original Tribes,3,Jeff,4-2-1,-,-,-,-,-,-,Jeff,-,-,Kim,Jeff,Kim,Jeff,-,Jeff,James,,,,,[],False,{},False,{},True,1,False,False,,3,"""Dangerous Creatures and Horrible Setbacks""","March 3, 2005",Ulong,Koror,"['Jeff', '4-2-1']",3rd Voted OutDay 8,21.80,8.5/N/A,Jeff,['Koror'],0.5
5,6,Original Tribes,4,Kim,5-1,-,-,-,-,-,-,Kim,-,-,Kim,Kim,Kim,Kim,-,James,,,,,,[],False,{},False,{},True,1,False,False,,4,"""Sumo at Sea""","March 10, 2005",Koror,Koror,"['Kim', '5-1']",4th Voted OutDay 11,21.80,8.1/22,Kim,['Koror'],0.5
6,7,Original Tribes,5,Willard,8-1,Willard,Willard,Willard,Willard,Willard,Willard,-,Willard,Willard,-,-,-,-,Katie,,,,,,,[],False,{},False,{},True,1,False,False,,5,"""The Best and Worst Reward Ever""","March 16, 2005",Koror,,"['Willard', '8-1']",5th Voted OutDay 12,18.42,6.9/19,Willard,[],0.0
7,8,Original Tribes,5,Angie,2-2-1,-,-,-,-,-,-,Bobby Jon,-,-,Angie,James,Angie,Bobby Jon,,,,,,,,[],True,"{'Tom': '-', 'Katie': '-', 'Ian': '-', 'Jenn': '-', 'Caryn': '-', 'Gregg': '-', 'Stephenie': 'Bobby Jon', 'Janu': '-', 'Coby': '-', 'Bobby Jon': 'Angie', 'Ibrehem': 'James', 'James': 'Angie', 'Angie': 'Bobby Jon'}",False,{},True,1,False,False,,5,"""The Best and Worst Reward Ever""","March 16, 2005",Koror,[Ibrehem],"['Angie', '2-2-1;3-0']",6th Voted OutDay 12,18.42,6.9/19,Angie,[''],0.0
8,9,Original Tribes,6,James,2-2,-,-,-,-,-,-,Ibrehem,-,-,James,James,Ibrehem,,,,,,,,,[],True,"{'Tom': '-', 'Katie': '-', 'Ian': '-', 'Jenn': '-', 'Caryn': '-', 'Gregg': '-', 'Stephenie': 'Ibrehem', 'Janu': '-', 'Coby': '-', 'Bobby Jon': 'James', 'Ibrehem': 'James', 'James': 'Ibrehem'}",False,{},True,1,False,False,,6,"""Jellyfish 'n Chips""","March 23, 2005",Ulong,Koror,"['James', '2-2;2-0']",7th Voted OutDay 15,19.15,7.3/19,James,['Koror'],0.5
9,10,Original Tribes,7,Ibrehem,2-1,-,-,-,-,-,-,Ibrehem,-,-,Ibrehem,Stephenie,,,,,,,,,,[],False,{},False,{},True,1,False,False,,7,"""The Great White Shark Hunter""","March 31, 2005",Koror,Koror,"['Ibrehem', '2-1']",8th Voted OutDay 18,20.89,7.7/21,Ibrehem,['Koror'],0.5
10,11,Original Tribes,8,Bobby Jon,No Vote,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,['Bobby Jon'],False,{},False,{},False,1,False,False,,8,"""Neanderthal Man""","April 7, 2005",Koror,Koror,"['Bobby Jon', 'No Vote']",EliminatedDay 21,19.75,7.0/20,Bobby Jon,['Koror'],0.5
11,12,Tribe Absorption,9,Coby,7-1-1,Coby,Coby,Coby,Coby,Coby,Coby,Coby,Stephenie,Janu,,,,,,,,,,,,[],False,{},False,{},True,2,False,False,,9,"""I Will Not Give Up""","April 14, 2005",None,Tom,"['Coby', '7-1-1']",9th Voted Out1st Jury MemberDay 24,20.0,7.4/23,Coby,['Tom'],0.1111111111111111
12,13,Tribe Absorption,10,Janu,No Vote,-,-,-,-,-,-,-,,,,,,,,,,,,,,['Janu'],False,{},False,{},False,2,False,False,,10,"""Exile Island""","April 21, 2005","Caryn,Gregg,Janu, Tom",Tom,"['Janu', 'No Vote']",Quit2nd Jury MemberDay 27,18.66,6.8/20,Janu,['Tom'],0.14285714285714285
13,14,Tribe Absorption,11,Stephenie,6-1,Stephenie,Stephenie,Stephenie,Stephenie,Stephenie,Stephenie,Caryn,,,,,,,,,,,,,,[],False,{},False,{},True,2,False,False,,11,"""I'll Show You How Threatening I Am""","April 28, 2005",SurvivorAuction,Ian,"['Stephenie', '6-1']",10th Voted Out3rd Jury MemberDay 30,21.21,7.8/20,Stephenie,['Ian'],0.14285714285714285
14,15,Tribe Absorption,12,Gregg,4-2,Gregg,Gregg,Gregg,Caryn,Gregg,Caryn,,,,,,,,,,,,,,,[],False,{},False,{},True,2,False,False,,12,"""We'll Make You Pay""","May 5, 2005","Gregg[Jenn,Katie]",Ian,"['Gregg', '4-2']",11th Voted Out4th Jury MemberDay 33,20.07,7.1/21,Gregg,['Ian'],0.16666666666666666
15,16,Tribe Absorption,13,Caryn,4-1,Caryn,Caryn,Caryn,Caryn,Ian,,,,,,,,,,,,,,,,[],False,{},False,{},True,2,False,False,,13,"""It Could All Backfire""","May 12, 2005",Ian[Tom],Tom,"['Caryn', '4-1']",12th Voted Out5th Jury MemberDay 36,19.3,7.1/21,Caryn,['Tom'],0.2
16,17,Tribe Absorption,14,Jenn,2-2,Ian,Jenn,Jenn,Ian,,,,,,,,,,,,,,,,,[],True,"{'Tom': 'Ian', 'Katie': 'Jenn', 'Ian': 'Jenn', 'Jenn': 'Ian'}",True,"{'Tom': 'Ian', 'Katie': 'Jenn', 'Ian': 'None', 'Jenn': 'None'}",True,2,False,False,,14,"""The Ultimate Shock""","May 15, 2005",None,Tom,"['Jenn', '2-2;1-1;Tiebreaker']",13th Voted Out6th Jury MemberDay 37,20.80,7.8/18,Jenn,['Tom'],0.25
17,18,Tribe Absorption,14,Ian,1-0,Ian,None,None,,,,,,,,,,,,,,,,,,[],False,{},False,{},True,2,False,False,,14,"""The Ultimate Shock""","May 15, 2005",None,Tom,"['Ian', '1-0']",14th Voted Out7th Jury MemberDay 38,20.80,7.8/18,Ian,['Tom'],0.3333333333333333
18,19,Tribe Absorption,14,Tom,6-1,Jury Vote,Jury Vote,Tom,Tom,Tom,Tom,Tom,Tom,Katie,,,,,,,,,,,,[],False,{},False,{},True,2,False,True,"['Katie', 'Tom']",14,"""The Ultimate Shock""","May 15, 2005",Jury Vote,Jury Vote,"['Tom', '6-1']",Sole Survivor,20.80,7.8/18,Tom,[],
