,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Danni,Stephenie,Rafe,Lydia,Cindy,Judd,Gary,Jamie,Bobby Jon,Brandon,Amy,Brian,Margaret,Blake,Brooke,Brianna,Morgan,Jim,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Jim,8-1,Jim,-,-,-,Jim,Jim,-,-,Jim,Jim,-,-,Jim,Jim,Jim,-,-,Margaret,[],False,{},False,{},True,0,False,False,,1,"""Big Trek, Big Trouble, Big Surprise""","September 15, 2005",Nakúm,Yaxhá,"['Jim', '8-1']",1st Voted OutDay 3,18.41,6.6/19,Jim,['Yaxhá'],0.5
1,2,Original Tribes,2,Morgan,8-1,-,Morgan,Morgan,Morgan,-,-,Morgan,Morgan,-,-,Morgan,Morgan,-,-,-,Morgan,Lydia,,[],False,{},False,{},True,0,False,False,,2,"""Man Down""","September 22, 2005",Nakúm,Nakúm,"['Morgan', '8-1']",2nd Voted OutDay 6,16.98,6.1/17,Morgan,['Nakúm'],0.5
2,3,Original Tribes,3,Brianna,7-1,-,Brianna,Brianna,Brianna,-,-,Brianna,Brianna,-,-,Brianna,Brianna,-,-,-,Lydia,,,[],False,{},False,{},True,0,False,False,,3,"""The Brave May Not Live Long, but the Cautious Don't Live at All""","September 29, 2005",Nakúm,Nakúm,"['Brianna', '7-1']",3rd Voted OutDay 8,17.29,5.7/16,Brianna,['Nakúm'],0.5
3,4,Switched Tribes,4,Brooke,5-3,-,Brooke,Brooke,Brooke,Lydia,Brooke,-,Brooke,-,-,-,-,Lydia,-,Lydia,,,,[],False,{},False,{},True,1,False,False,,4,"""To Betray or Not to Betray""","October 6, 2005",None,Yaxhá,"['Brooke', '5-3']",4th Voted OutDay 11,17.92,6.3/17,Brooke,['Yaxhá'],0.5
4,5,Switched Tribes,5,Blake,5-2,Blake,-,-,-,-,-,Blake,-,Blake,Brian,Blake,Blake,-,Brian,,,,,[],False,{},False,{},True,1,False,False,,5,"""Crocs, Cowboys and City Slickers""","October 13, 2005",Yaxhá,Nakúm,"['Blake', '5-2']",5th Voted OutDay 14,17.85,6.5/18,Blake,['Nakúm'],0.5
5,6,Switched Tribes,6,Margaret,6-1,-,Margaret,Margaret,Margaret,Margaret,Margaret,-,Margaret,-,-,-,-,Judd,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Big Ball, Big Mouth, Big Trouble""","October 20, 2005",Nakúm,Rafe,"['Margaret', '6-1']",6th Voted OutDay 15,17.78,6.1/17,Margaret,['Rafe'],0.14285714285714285
6,7,Switched Tribes,6,Brian,5-1,Brian,-,-,-,-,-,Brian,-,Brian,Brian,Brian,Bobby Jon,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Big Ball, Big Mouth, Big Trouble""","October 20, 2005",Nakúm,[Gary],"['Brian', '5-1']",7th Voted OutDay 15,17.78,6.1/17,Brian,[''],0.0
7,8,Switched Tribes,7,Amy,4-1,Amy,-,-,-,-,-,Amy,-,Amy,Amy,Bobby Jon,,,,,,,,[],False,{},False,{},True,1,False,False,,7,"""Surprise Enemy Visit""","October 27, 2005",Yaxhá,Nakúm,"['Amy', '4-1']",8th Voted OutDay 18,17.38,6.2/17,Amy,['Nakúm'],0.5
8,9,Merged Tribe,8,Brandon,6-4,Jamie,Brandon,Brandon,Brandon,Brandon,Brandon,Jamie,Brandon,Jamie,Jamie,,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""The Hidden Immunity Idol""","November 3, 2005",None,Gary,"['Brandon', '6-4']",9th Voted OutDay 21,18.28,6.6/17,Brandon,['Gary'],0.1
9,10,Merged Tribe,9,Bobby Jon,6-2-1,Stephenie,Bobby Jon,Bobby Jon,Bobby Jon,Bobby Jon,Bobby Jon,Cindy,Bobby Jon,Stephenie,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Secrets and Lies and an Idol Surprise""","November 10, 2005","Judd[Bobby Jon,Stephenie]",Jamie,"['Bobby Jon', '6-2-1']",10th Voted Out1st Jury MemberDay 24,18.98,6.9/19,Bobby Jon,['Jamie'],0.1111111111111111
