,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Aras,Danielle,Terry,Cirie,Shane,Courtney,Bruce,Sally,Austin,Nick,Dan,Bobby,Ruth Marie,Misty,Melinda,Tina,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,OriginalTribes,1,Tina,3-1,-,-,-,Tina,-,-,-,-,-,-,-,-,Tina,-,Tina,Cirie,[],False,{},False,{},True,0,False,False,,1,"""The First Exile""","February 2, 2006","['La Mina', 'Viveros', 'Casaya']","['Bayoneta', 'La Mina', 'Viveros']",Misty,"['Tina', '3-1']",1st Voted OutDay 3,19.20,7.0/18,Tina,"['Bayoneta', 'La Mina', 'Viveros']",0.75
1,2,Switched Tribes,2,Melinda,5-2,Melinda,Melinda,-,Shane,Melinda,Melinda,Exiled,-,-,-,-,Melinda,-,-,Shane,,[],False,{},False,{},True,1,False,False,,2,"""Breakdown""","February 9, 2006",La Mina,La Mina,Bruce,"['Melinda', '5-2']",2nd Voted OutDay 6,18.75,6.6/17,Melinda,['La Mina'],0.5
2,3,Switched Tribes,3,Misty,5-2,-,-,Misty,-,-,-,-,Ruth Marie,Misty,Misty,Misty,-,Misty,Ruth Marie,,,[],False,{},False,{},True,1,False,False,,3,"""Crazy Fights, Snake Dinners""","February 16, 2006",La Mina,Casaya,Bruce,"['Misty', '5-2']",3rd Voted OutDay 8,16.98,6.3/16,Misty,['Casaya'],0.5
3,4,Switched Tribes,4,Ruth Marie,4-2,-,-,Ruth Marie,-,-,-,-,Ruth Marie,Ruth Marie,Ruth Marie,Sally,-,Sally,,,,[],False,{},False,{},True,1,False,False,,4,"""Starvation and Lunacy""","February 23, 2006",Casaya,Casaya,Terry,"['Ruth Marie', '4-2']",4th Voted OutDay 11,14.85,5.5/14,Ruth Marie,['Casaya'],0.5
4,5,Switched Tribes,5,Bobby,3-2-1-1,Bruce,Bobby,-,Bobby,Aras,Bobby,Courtney,-,-,-,-,Bruce,,,,,[],False,{},False,{},True,1,False,False,,5,"""For Cod's Sake""","March 2, 2006",Casaya,La Mina,Terry,"['Bobby', '3-2-1-1']",5th Voted OutDay 14,16.08,5.5/14,Bobby,['La Mina'],0.5
5,6,Switched Tribes,6,Dan,3-1,-,-,Dan,-,-,-,-,Exiled,Dan,Dan,Austin,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Salvation and Desertion""","March 9, 2006",Casaya,Casaya,Sally,"['Dan', '3-1']",6th Voted OutDay 15,15.33,5.4/N/A,Dan,['Casaya'],0.5
6,7,Merged Tribe,8,Nick,6-4,Nick,Nick,Shane,Nick,Nick,Nick,Nick,Shane,Shane,Shane,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""An Emerging Plan""","March 30, 2006",None,Terry,None,"['Nick', '6-4']",7th Voted OutDay 18,16.25,5.8/17,Nick,['Terry'],0.1
7,8,Merged Tribe,9,Austin,6-3,Austin,Austin,Aras,Austin,Austin,Austin,Austin,Aras,Aras,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""The Power of the Idol""","April 6, 2006","Aras,Bruce,Sally",Terry,"Austin,Danielle","['Austin', '6-3']",8th Voted Out1st Jury MemberDay 21,16.36,5.6/17,Austin,['Terry'],0.1111111111111111
8,9,Merged Tribe,10,Sally,6-2,Sally,Sally,Aras,Sally,Sally,Sally,Sally,Aras,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""Fight for Your Life or Eat""","April 13, 2006","Bruce,Courtney,Sally, Terry",Terry,Aras,"['Sally', '6-2']",9th Voted Out2nd Jury MemberDay 24,15.07,5.2/17,Sally,['Terry'],0.125
9,10,Merged Tribe,11,Bruce,No Vote,-,-,-,-,-,-,Evacuated,,,,,,,,,,[],False,{},False,{},False,2,True,False,,11,"""Medical Emergency""","April 20, 2006","Cirie[Aras,Danielle]",None,Terry,"['Bruce', 'No Vote']",Evacuated3rd Jury MemberDay 25,16.26,5.5/18,Bruce,[],0.0
10,11,Merged Tribe,12,Courtney,3-2-1,Courtney,Courtney,Aras,Courtney,Danielle,Aras,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,12,"""Perilous Scramble""","April 27, 2006","Courtney,Danielle,Terry",Terry,Aras,"['Courtney', '3-2-1']",10th Voted Out4th Jury MemberDay 30,17.09,5.9/18,Courtney,['Terry'],0.16666666666666666
11,12,Merged Tribe,13,Shane,3-1-1,Shane,Shane,Aras,Shane,Danielle,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,13,"""Bamboozled""","May 4, 2006",Terry[Shane],Terry,Danielle,"['Shane', '3-1-1']",11th Voted Out5th Jury MemberDay 33,17.04,5.9/18,Shane,['Terry'],0.2
