,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Shuffled Tribe,Tribe Affiliation Post-Mutiny,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Sekou Bunch,Sekou,[],45,Los Angeles,CA,Jazz Musician,Manihiki,,,,1st Voted OutDay 3,3,20.0,False
1,Billy Garcia,Billy,[],36,New York City,NY,Heavy Metal Musician,Aitutaki,,,,2nd Voted OutDay 6,4,19.0,False
2,Cecilia Mansilla,Cecilia,[],29,Oakland,CA,Risk Consultant,Aitutaki,Aitutaki,,,3rd Voted OutDay 8,5,18.0,False
3,J.P. Calderon,J.P.,[],30,Long Beach,CA,Professional Volleyball Player,Aitutaki,Rarotonga,,,4th Voted OutDay 11,7,17.0,False
4,Stephannie Favor,Stephannie,[],35,Columbia,SC,Nursing Student,Manihiki,Rarotonga,,,5th Voted OutDay 14,9,16.0,False
5,Cao Boi Bui,Cao Boi,[],42,Christiansburg,VA,Nail Salon Manager,Puka Puka,Aitutaki,,,6th Voted OutDay 15,6,15.0,False
6,Cristina Coria,Cristina,[],35,Los Angeles,CA,Police Officer,Aitutaki,Rarotonga,,,7th Voted OutDay 15,5,14.0,False
7,Jessica Smith,Jessica,[],27,Chico,CA,Roller Girl,Rarotonga,Aitutaki,,,8th Voted OutDay 18,6,13.0,False
8,Brad Virata,Brad,[],29,Santa Monica,CA,Fashion Director,Puka Puka,Rarotonga,Rarotonga,,9th Voted Out1st Jury MemberDay 21,7,12.0,False
9,Rebecca Borman,Rebecca,[],34,Laurelton,NY,Makeup Artist,Manihiki,Rarotonga,Rarotonga,,10th Voted Out2nd Jury MemberDay 24,6,11.0,False
10,Jenny Guzon-Bae,Jenny,[],36,Lake Forest,IL,Real Estate Agent,Puka Puka,Rarotonga,Rarotonga,,11th Voted Out3rd Jury MemberDay 24,6,10.0,False
11,Nate Gonzalez,Nate,[],25,Playa del Rey,CA,Shoe Salesman,Manihiki,Rarotonga,Rarotonga,Aitutonga,12th Voted Out4th Jury MemberDay 27,5,9.0,False
12,Candice Woodcock,Candice,[],23,Washington,D.,Pre-Med Student,Rarotonga,Aitutaki,Rarotonga,Aitutonga,13th Voted Out5th Jury MemberDay 30,6,8.0,False
13,Jonathan Penner,Jonathan,[],44,Los Angeles,CA,Writer,Rarotonga,Aitutaki,Rarotonga,Aitutonga,14th Voted Out6th Jury MemberDay 33,15,7.0,False
14,Parvati Shallow,Parvati,[],23,West Hollywood,CA,Boxer,Rarotonga,Rarotonga,Rarotonga,Aitutonga,15th Voted Out7th Jury MemberDay 36,4,6.0,False
15,Adam Gentry,Adam,[],27,San Diego,CA,Copier Sales Executive,Rarotonga,Rarotonga,Rarotonga,Aitutonga,16th Voted Out8th Jury MemberDay 37,5,5.0,False
16,Sundra Oakley,Sundra,[],31,Los Angeles,CA,Actress,Manihiki,Aitutaki,Aitutaki,Aitutonga,17th Voted Out9th Jury MemberDay 38,6,4.0,False
17,Becky Lee,Becky,[],28,Washington,D.,Attorney,Puka Puka,Aitutaki,Aitutaki,Aitutonga,SecondRunner-Up,5,3.0,False
18,Ozzy Lusth,Ozzy,[],24,Venice,CA,Waiter,Aitutaki,Aitutaki,Aitutaki,Aitutonga,Runner-Up,1,2.0,False
19,Yul Kwon,Yul,[],31,San Mateo,CA,Management Consultant,Puka Puka,Aitutaki,Aitutaki,Aitutonga,Sole Survivor,5,1.0,False
