,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Immunity_2
0,1,"""I Can Forgive Her but I Don't Have to Because She Screwed with My Chickens""","September 14, 2006","['Puka Puka', 'Aitutaki', 'Rarotonga']","['Puka Puka', 'Aitutaki', 'Rarotonga']",Jonathan,"['Sekou', '3-2']",1st Voted OutDay 3,18.00,6.5/20,"['Puka Puka', 'Aitutaki', 'Rarotonga']"
1,2,"""Dire Strengths and Dead Weight""","September 21, 2006","['Puka Puka', 'Rarotonga', '']","['Puka Puka', 'Rarotonga', 'Manihiki']",Yul,"['Billy', '4-1']",2nd Voted OutDay 6,17.43,6.5/18,"['Puka Puka', 'Rarotonga', 'Manihiki']"
2,3,"""Flirting and Frustration""","September 28, 2006",None,Rarotonga,Candice,"['Cecilia', '5-3']",3rd Voted OutDay 8,16.85,5.9/16,['Rarotonga']
3,4,"""Ruling the Roost""","October 5, 2006",Aitutaki,Aitutaki,Adam,"['J.P.', '7-2']",4th Voted OutDay 11,15.83,5.6/16,['Aitutaki']
4,5,"""Don't Cry Over Spilled Octopus""","October 12, 2006",Rarotonga,Aitutaki,Jonathan,"['Stephannie', '7-1']",5th Voted OutDay 14,15.84,5.5/15,['Aitutaki']
5,6,"""Plan Voodoo""","October 19, 2006",Aitutaki,,None,"['Cao Boi', '6-1-1']",6th Voted OutDay 15,15.02,5.3/14,[]
6,6,"""Plan Voodoo""","October 19, 2006",[Nate],[Nate],None,"['Cristina', '4-2']",7th Voted OutDay 15,15.02,5.3/14,['']
7,7,"""A Closer Look""","October 26, 2006",Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
8,8,"""Why Aren't You Swimming?!""","November 2, 2006",Aitutaki,Rarotonga,Adam,"['Jessica', '6-1']",8th Voted OutDay 18,15.30,5.4/14,['Rarotonga']
9,9,"""Mutiny""","November 9, 2006",Aitutaki,Aitutaki,Candice,"['Brad', '7-1']",9th Voted Out1st Jury MemberDay 21,14.39,4.8/13,['Aitutaki']
10,10,"""People That You Like Want to See You Suffer""","November 16, 2006",Aitutaki,Aitutaki,Candice,"['Rebecca', '6-1']",10th Voted Out2nd Jury MemberDay 24,15.35,5.3/14,['Aitutaki']
11,10,"""People That You Like Want to See You Suffer""","November 16, 2006",Aitutaki,Aitutaki,Candice,"['Jenny', '4-2']",11th Voted Out3rd Jury MemberDay 24,15.35,5.3/14,['Aitutaki']
12,11,"""Why Would You Trust Me?""","November 23, 2006",None,Ozzy,None,"['Nate', '5-4']",12th Voted Out4th Jury MemberDay 27,12.67,4.3/13,['Ozzy']
13,12,"""You're a Rat...""","November 30, 2006",SurvivorAuction,Adam,Candice,"['Candice', '5-3']",13th Voted Out5th Jury MemberDay 30,15.63,5.4/14,['Adam']
14,13,"""Arranging a Hit""","December 7, 2006","Parvati[Adam,Sundra]",Ozzy,Jonathan,"['Jonathan', '6-1']",14th Voted Out6th Jury MemberDay 33,15.72,5.3/15,['Ozzy']
15,14,"""I Have the Advantage... for Once""","December 14, 2006","['Ozzy', 'Parvati', 'Yul']",Ozzy,Adam,"['Parvati', '4-2']",15th Voted Out7th Jury MemberDay 36,14.55,5.0/14,['Ozzy']
16,15,"""This Tribe Will Self-Destruct in 5, 4, 3...""","December 17, 2006",None,Ozzy,None,"['Adam', '4-1']",16th Voted Out8th Jury MemberDay 37,16.42,5.7/14,['Ozzy']
17,15,"""This Tribe Will Self-Destruct in 5, 4, 3...""","December 17, 2006",None,Ozzy,None,"['Sundra', '2-2;Tiebreaker']",17th Voted Out9th Jury MemberDay 38,16.42,5.7/14,['Ozzy']
18,15,"""This Tribe Will Self-Destruct in 5, 4, 3...""","December 17, 2006",Jury Vote,Jury Vote,Jury Vote,"['Becky', '5-4-0']",Second Runner-Up,16.42,5.7/14,[]
19,15,"""This Tribe Will Self-Destruct in 5, 4, 3...""","December 17, 2006",Jury Vote,Jury Vote,Jury Vote,"['Ozzy', '5-4-0']",Runner-Up,16.42,5.7/14,[]
20,15,"""This Tribe Will Self-Destruct in 5, 4, 3...""","December 17, 2006",Jury Vote,Jury Vote,Jury Vote,"['Yul', '5-4-0']",Sole Survivor,16.42,5.7/14,[]
21,16,"""Reunion""","December 17, 2006",,,,,,13.53,5.1/13,[]
