,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Shuffled Tribe,Tribe Affiliation Post-Mutiny,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Sekou Bunch,Sekou,[],45,Los Angeles,CA,Jazz Musician,Manihiki,,,,1st Voted OutDay 3,3,20.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,3
1,Billy Garcia,Billy,[],36,New York City,NY,Heavy Metal Musician,Aitutaki,,,,2nd Voted OutDay 6,4,19.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.16666666666666663,,0,4
2,Cecilia Mansilla,Cecilia,[],29,Oakland,CA,Risk Consultant,Aitutaki,Aitutaki,,,3rd Voted OutDay 8,5,18.0,False,False,False,3,False,3,1,0,0,4,3,1,2,0,1,1,0.11111111111111109,,0,5
3,J.P. Calderon,J.P.,[],30,Long Beach,CA,Professional Volleyball Player,Aitutaki,Rarotonga,,,4th Voted OutDay 11,7,17.0,False,False,False,4,False,4,2,0,0,5,4,2,2,0,1,1,0.3333333333333333,,0,7
4,Stephannie Favor,Stephannie,[],35,Columbia,SC,Nursing Student,Manihiki,Rarotonga,,,5th Voted OutDay 14,9,16.0,False,False,False,5,False,5,2,0,0,6,5,2,3,0,2,1,0.26666666666666666,,0,9
5,Cao Boi Bui,Cao Boi,[],42,Christiansburg,VA,Nail Salon Manager,Puka Puka,Aitutaki,,,6th Voted OutDay 15,6,15.0,False,False,False,6,False,5,4,0,0,7,6,4,2,0,1,1,0.5333333333333333,,0,6
6,Cristina Coria,Cristina,[],35,Los Angeles,CA,Police Officer,Aitutaki,Rarotonga,,,7th Voted OutDay 15,5,14.0,False,False,False,7,False,5,2,0,0,8,7,3,4,0,3,1,0.26666666666666666,,0,5
7,Jessica Smith,Jessica,[],27,Chico,CA,Roller Girl,Rarotonga,Aitutaki,,,8th Voted OutDay 18,6,13.0,False,False,False,8,False,6,4,0,0,9,8,5,3,0,1,2,0.4444444444444444,,0,6
8,Brad Virata,Brad,[],29,Santa Monica,CA,Fashion Director,Puka Puka,Rarotonga,Rarotonga,,9th Voted Out1st Jury MemberDay 21,7,12.0,False,False,False,9,False,7,4,0,0,10,9,5,4,0,2,2,0.38095238095238093,,0,7
9,Rebecca Borman,Rebecca,[],34,Laurelton,NY,Makeup Artist,Manihiki,Rarotonga,Rarotonga,,10th Voted Out2nd Jury MemberDay 24,6,11.0,False,False,False,10,False,8,3,0,0,11,10,4,6,0,5,1,0.29166666666666663,,0,6
10,Jenny Guzon-Bae,Jenny,[],36,Lake Forest,IL,Real Estate Agent,Puka Puka,Rarotonga,Rarotonga,,11th Voted Out3rd Jury MemberDay 24,6,10.0,False,False,False,11,False,9,4,0,0,12,11,5,6,0,5,1,0.2962962962962963,,0,6
11,Nate Gonzalez,Nate,[],25,Playa del Rey,CA,Shoe Salesman,Manihiki,Rarotonga,Rarotonga,Aitutonga,12th Voted Out4th Jury MemberDay 27,5,9.0,False,False,False,12,True,9,3,1,0,13,12,4,7,1,3,4,0.2333333333333333,0.0,0,5
12,Candice Woodcock,Candice,[],23,Washington,D.,Pre-Med Student,Rarotonga,Aitutaki,Rarotonga,Aitutonga,13th Voted Out5th Jury MemberDay 30,6,8.0,False,False,False,13,True,9,4,2,0,14,13,5,7,1,5,2,0.2424242424242424,0.0,0,6
13,Jonathan Penner,Jonathan,[],44,Los Angeles,CA,Writer,Rarotonga,Aitutaki,Rarotonga,Aitutonga,14th Voted Out6th Jury MemberDay 33,15,7.0,False,False,False,14,True,9,4,3,0,15,14,5,9,0,8,1,0.2222222222222222,0.0,0,15
14,Parvati Shallow,Parvati,[],23,West Hollywood,CA,Boxer,Rarotonga,Rarotonga,Rarotonga,Aitutonga,15th Voted Out7th Jury MemberDay 36,4,6.0,False,False,False,15,True,9,4,4,0,16,15,5,10,0,7,3,0.20512820512820512,0.0,0,4
15,Adam Gentry,Adam,[],27,San Diego,CA,Copier Sales Executive,Rarotonga,Rarotonga,Rarotonga,Aitutonga,16th Voted Out8th Jury MemberDay 37,5,5.0,False,False,False,16,True,9,4,5,1,17,16,5,11,0,7,4,0.6904761904761905,1.4,0,5
16,Sundra Oakley,Sundra,[],31,Los Angeles,CA,Actress,Manihiki,Aitutaki,Aitutaki,Aitutonga,17th Voted Out9th Jury MemberDay 38,6,4.0,False,False,False,17,True,9,6,6,0,18,17,7,10,0,8,2,0.3555555555555555,0.0,0,6
17,Becky Lee,Becky,[],28,Washington,D.,Attorney,Puka Puka,Aitutaki,Aitutaki,Aitutonga,SecondRunner-Up,5,3.0,False,False,True,18,True,9,7,6,0,19,17,8,9,0,9,0,0.3777777777777777,0.0,0,5
18,Ozzy Lusth,Ozzy,[],24,Venice,CA,Waiter,Aitutaki,Aitutaki,Aitutaki,Aitutonga,Runner-Up,1,2.0,False,False,True,18,True,9,6,6,5,19,17,7,10,0,8,2,2.088888888888889,4.333333333333333,4,1
19,Yul Kwon,Yul,[],31,San Mateo,CA,Management Consultant,Puka Puka,Aitutaki,Aitutaki,Aitutonga,Sole Survivor,5,1.0,False,True,True,18,True,9,7,6,0,19,17,8,9,0,9,0,0.3777777777777777,0.0,5,5
