,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Yul,Ozzy,Becky,Sundra,Adam,Parvati,Jonathan,Candice,Nate,Jenny,Rebecca,Brad,Jessica,Cristina,Cao Boi,Stephannie,J.P.,Cecilia,Billy,Sekou,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Sekou,3-2,-,-,-,Sekou,-,-,-,-,Sundra,-,Sekou,-,-,-,-,Sekou,-,-,-,Sundra,[],False,{},False,{},True,0,False,False,,1,"""I Can Forgive Her but I Don't Have to Because She Screwed with My Chickens""","September 14, 2006","['Puka Puka', 'Aitutaki', 'Rarotonga']","['Puka Puka', 'Aitutaki', 'Rarotonga']",Jonathan,"['Sekou', '3-2']",1st Voted OutDay 3,18.00,6.5/20,Sekou,"['Puka Puka', 'Aitutaki', 'Rarotonga']",0.75
1,2,Original Tribes,2,Billy,4-1,-,Billy,-,-,-,-,-,-,-,-,-,-,-,Billy,-,-,Billy,Billy,Ozzy,,[],False,{},False,{},True,0,False,False,,2,"""Dire Strengths and Dead Weight""","September 21, 2006","['Puka Puka', 'Rarotonga', '']","['Puka Puka', 'Rarotonga', 'Manihiki']",Yul,"['Billy', '4-1']",2nd Voted OutDay 6,17.43,6.5/18,Billy,"['Puka Puka', 'Rarotonga', 'Manihiki']",0.75
2,3,Switched Tribes,3,Cecilia,5-3,Cecilia,Becky,Cecilia,Becky,-,-,Cecilia,Exiled,-,-,-,-,Cecilia,-,Cecilia,-,-,Becky,,,[],False,{},False,{},True,1,False,False,,3,"""Flirting and Frustration""","September 28, 2006",None,Rarotonga,Candice,"['Cecilia', '5-3']",3rd Voted OutDay 8,16.85,5.9/16,Cecilia,['Rarotonga'],0.5
3,4,Switched Tribes,4,J.P.,7-2,-,-,-,-,J.P.,J.P.,-,-,Stephannie,J.P.,J.P.,J.P.,-,J.P.,-,J.P.,Stephannie,,,,[],False,{},False,{},True,1,False,False,,4,"""Ruling the Roost""","October 5, 2006",Aitutaki,Aitutaki,Adam,"['J.P.', '7-2']",4th Voted OutDay 11,15.83,5.6/16,J.P.,['Aitutaki'],0.5
4,5,Switched Tribes,5,Stephannie,7-1,-,-,-,-,Stephannie,Stephannie,-,-,Stephannie,Stephannie,Stephannie,Stephannie,-,Stephannie,-,Cristina,,,,,[],False,{},False,{},True,1,False,False,,5,"""Don't Cry Over Spilled Octopus""","October 12, 2006",Rarotonga,Aitutaki,Jonathan,"['Stephannie', '7-1']",5th Voted OutDay 14,15.84,5.5/15,Stephannie,['Aitutaki'],0.5
5,6,Switched Tribes,6,Cao Boi,6-1-1,Cao Boi,Cao Boi,Cao Boi,Cao Boi,-,-,Cao Boi,Cao Boi,-,-,-,-,Jonathan,-,Candice,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Plan Voodoo""","October 19, 2006",Aitutaki,,None,"['Cao Boi', '6-1-1']",6th Voted OutDay 15,15.02,5.3/14,Cao Boi,[],0.0
6,7,Switched Tribes,6,Cristina,4-2,-,-,-,-,Cristina,Cristina,-,-,Kidnapped,Cristina,Cristina,Jenny,-,Jenny,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Plan Voodoo""","October 19, 2006",[Nate],[Nate],None,"['Cristina', '4-2']",7th Voted OutDay 15,15.02,5.3/14,Cristina,[''],0.0
7,8,Switched Tribes,8,Jessica,6-1,Jessica,Jessica,Jessica,Jessica,-,-,Jessica,Jessica,-,-,-,-,Jonathan,,,,,,,,[],False,{},False,{},True,1,False,False,,8,"""Why Aren't You Swimming?!""","November 2, 2006",Aitutaki,Rarotonga,Adam,"['Jessica', '6-1']",8th Voted OutDay 18,15.30,5.4/14,Jessica,['Rarotonga'],0.5
8,9,Post-Mutiny Tribes,9,Brad,7-1,-,-,-,-,Brad,Brad,Brad,Brad,Brad,Brad,Brad,Jonathan,,,,,,,,,[],False,{},False,{},True,2,False,False,,9,"""Mutiny""","November 9, 2006",Aitutaki,Aitutaki,Candice,"['Brad', '7-1']",9th Voted Out1st Jury MemberDay 21,14.39,4.8/13,Brad,['Aitutaki'],0.5
9,10,Post-Mutiny Tribes,10,Rebecca,6-1,-,-,-,-,Rebecca,Rebecca,Rebecca,Rebecca,Rebecca,Rebecca,Jonathan,,,,,,,,,,[],False,{},False,{},True,2,False,False,,10,"""People That You Like Want to See You Suffer""","November 16, 2006",Aitutaki,Aitutaki,Candice,"['Rebecca', '6-1']",10th Voted Out2nd Jury MemberDay 24,15.35,5.3/14,Rebecca,['Aitutaki'],0.5
