,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Earl,Cassandra,Dreamz,Yau-Man,Boo,Stacy,Alex,Mookie,Edgardo,Michelle,Lisi,Rocky,Anthony,Rita,Liliana,Gary,Sylvia,Erica,Jessica,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Jessica,6-1-1-1,Jessica,-,-,Jessica,-,-,-,Jessica,-,Jessica,-,Mookie,Jessica,Jessica,-,-,Exiled,Yau-Man,Rita,[],False,{},False,{},True,0,False,False,,1,"""Something Cruel Is About to Happen... Real Soon""","February 8, 2007",Moto,Moto,Sylvia,"['Jessica', '6-1-1-1']",1st Voted OutDay 3,16.44,5.7/15,Jessica,['Moto'],0.5
1,2,Original Tribes,2,Erica,6-2,Exiled,-,-,Erica,-,-,-,Erica,-,Erica,-,Erica,Sylvia,Erica,-,-,Erica,Sylvia,,[],False,{},False,{},True,0,False,False,,2,"""Snakes Are Misunderstood... We Have an Understanding Now""","February 15, 2007",Moto,Moto,Earl,"['Erica', '6-2']",2nd Voted OutDay 6,16.08,5.6/15,Erica,['Moto'],0.5
2,3,Original Tribes,3,Sylvia,4-3-1,Sylvia,-,-,Sylvia,-,-,-,Anthony,-,Sylvia,-,Anthony,Sylvia,Earl,-,-,Anthony,,,[],False,{},False,{},True,0,False,False,,3,"""This Is Not Survival... It's a Thrival""","February 22, 2007",Moto,Moto,Sylvia,"['Sylvia', '4-3-1']",3rd Voted OutDay 8,13.47,4.6/12,Sylvia,['Moto'],0.5
3,4,Original Tribes,4,Gary,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,['Gary'],False,{},False,{},False,0,False,False,,4,"""Let's Just Call Jeff on the Jeff Phone""","March 1, 2007",Moto,Moto,Yau-Man,"['Gary', 'No Vote']",QuitDay 10,14.67,5.0/13,Gary,['Moto'],0.5
4,5,Original Tribes,4,Liliana,6-1-1,-,Lisi,Liliana,-,Liliana,Liliana,Liliana,-,Liliana,-,Liliana,-,-,-,Cassandra,,,,,[],False,{},False,{},True,0,False,False,,4,"""Let's Just Call Jeff on the Jeff Phone""","March 1, 2007",Moto,(Ravu),Yau-Man,"['Liliana', '6-1-1']",4th Voted OutDay 11,14.67,5.0/13,Liliana,[''],0.0
5,6,Original Tribes,5,Rita,5-2,Rita,-,-,Rita,-,-,-,Rita,-,Anthony,-,Rita,Rita,Anthony,,,,,,[],False,{},False,{},True,0,False,False,,5,"""Love Many, Trust Few, Do Wrong to None""","March 8, 2007",Moto,Moto,Earl,"['Rita', '5-2']",5th Voted OutDay 14,13.81,4.6/12,Rita,['Moto'],0.5
6,7,Switched Tribes,6,Anthony,5-1,-,-,Anthony,-,-,-,Anthony,Anthony,Anthony,-,Exiled,Anthony,Rocky,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""I've Got Strength Now to Carry the Flag""","March 21, 2007",None,Moto,Lisi,"['Anthony', '5-1']",6th Voted OutDay 16,12.78,4.2/12,Anthony,['Moto'],0.5
7,8,Switched Tribes,7,Rocky,4-2,-,-,Rocky,-,-,-,Rocky,Lisi,Rocky,-,Rocky,Lisi,,,,,,,,[],False,{},False,{},True,1,False,False,,7,"""An Evil Thought""","March 29, 2007",Ravu,Moto,Earl,"['Rocky', '4-2']",7th Voted Out1st Jury MemberDay 19,13.71,4.5/14,Rocky,['Moto'],0.5
8,9,Switched Tribes,8,Lisi,4-1,-,-,Lisi,-,-,-,Lisi,Lisi,Lisi,-,Dreamz,,,,,,,,,[],False,{},False,{},True,1,False,False,,8,"""So You Think You Can Meke?""","April 5, 2007",Moto,Moto,Lisi,"['Lisi', '4-1']",8th Voted Out2nd Jury MemberDay 21,13.58,4.3/13,Lisi,['Moto'],0.5
9,10,Merged Tribe,9,Michelle,3-2,-,-,Michelle,-,-,Michelle,Michelle,Stacy,-,Stacy,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Are We Gonna Live on Exile Island?!""","April 12, 2007","Boo, Cassandra, Earl,Edgardo, Yau-Man","Boo, Cassandra, Earl,Edgardo, Yau-Man",Bula Bula,"['Michelle', '3-2']",9th Voted Out3rd Jury MemberDay 24,14.25,4.5/13,Michelle,"['Boo, Cassandra, Earl,Edgardo, Yau-Man']",0.0
