,,1,2,3,4,5,6,7,8,9,10,11,12,13
Dave,Ashley,0.0,0.0,,,,,,,,,,,
Peih-Gee,Erik,,1.0,,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,,
Peih-Gee,Frosti,,1.0,,1.0,,,0.0,0.0,0.0,,,,
Peih-Gee,Jaime,,1.0,,1.0,1.0,,1.0,,,,,,
Peih-Gee,Sherea,,1.0,,1.0,,,,,,,,,
Peih-Gee,Dave,,1.0,,0.0,,,,,,,,,
Peih-Gee,Ashley,,0.0,,,,,,,,,,,
Erik,Frosti,,1.0,,1.0,,,0.0,0.0,0.0,,,,
Erik,Jaime,,1.0,,1.0,1.0,,1.0,,,,,,
Erik,Sherea,,1.0,,1.0,,,,,,,,,
Erik,Dave,,1.0,,0.0,,,,,,,,,
Erik,Ashley,,0.0,,,,,,,,,,,
Frosti,Jaime,,1.0,,1.0,,,0.0,,,,,,
Frosti,Sherea,,1.0,,1.0,,0.0,,,,,,,
Frosti,Dave,,1.0,,0.0,,,,,,,,,
Frosti,Ashley,,0.0,,,,,,,,,,,
Jaime,Sherea,,1.0,,1.0,,,,,,,,,
Jaime,Dave,,1.0,,0.0,,,,,,,,,
Jaime,Ashley,,0.0,,,,,,,,,,,
Sherea,Dave,,1.0,,0.0,,,,,,,,,
Sherea,Ashley,,0.0,,,,,,,,,,,
Todd,Courtney,,,0.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Todd,Amanda,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Todd,Denise,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Todd,James,,,1.0,,,,1.0,1.0,1.0,0.0,,,
Todd,Jean-Robert,,,1.0,,,1.0,1.0,0.0,,,,,
Todd,Aaron,,,1.0,,,,,,,,,,
Todd,Leslie,,,0.0,,,,,,,,,,
Courtney,Amanda,,,0.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Courtney,Denise,,,0.0,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Courtney,James,,,0.0,,,,1.0,1.0,1.0,0.0,,,
Courtney,Jean-Robert,,,0.0,,,0.0,1.0,0.0,,,,,
Courtney,Aaron,,,0.0,,,,,,,,,,
Courtney,Leslie,,,1.0,,,,,,,,,,
Amanda,Denise,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Amanda,James,,,1.0,,,,1.0,1.0,1.0,0.0,,,
Amanda,Jean-Robert,,,1.0,,,1.0,1.0,0.0,,,,,
Amanda,Aaron,,,1.0,,,,,,,,,,
Amanda,Leslie,,,0.0,,,,,,,,,,
Denise,James,,,1.0,,,,1.0,1.0,1.0,0.0,,,
Denise,Jean-Robert,,,1.0,,,1.0,1.0,0.0,,,,,
Denise,Aaron,,,1.0,,,,,,,,,,
Denise,Leslie,,,0.0,,,,,,,,,,
James,Jean-Robert,,,1.0,,,,1.0,0.0,,,,,
James,Aaron,,,1.0,,0.0,,,,,,,,
James,Leslie,,,0.0,,,,,,,,,,
Jean-Robert,Aaron,,,1.0,,,,,,,,,,
Jean-Robert,Leslie,,,0.0,,,,,,,,,,
Aaron,Leslie,,,0.0,,,,,,,,,,
Peih-Gee,James,,,,,0.0,,0.0,0.0,1.0,0.0,,,
Peih-Gee,Aaron,,,,,0.0,,,,,,,,
Erik,James,,,,,0.0,,0.0,0.0,1.0,0.0,,,
Erik,Aaron,,,,,0.0,,,,,,,,
James,Jaime,,,,,0.0,,0.0,,,,,,
Jaime,Aaron,,,,,0.0,,,,,,,,
Todd,Frosti,,,,,,1.0,1.0,1.0,0.0,,,,
Todd,Sherea,,,,,,0.0,,,,,,,
Courtney,Frosti,,,,,,0.0,1.0,1.0,0.0,,,,
Courtney,Sherea,,,,,,1.0,,,,,,,
Amanda,Frosti,,,,,,1.0,1.0,1.0,0.0,,,,
Amanda,Sherea,,,,,,0.0,,,,,,,
Denise,Frosti,,,,,,1.0,1.0,1.0,0.0,,,,
Denise,Sherea,,,,,,0.0,,,,,,,
Frosti,Jean-Robert,,,,,,1.0,1.0,0.0,,,,,
Jean-Robert,Sherea,,,,,,0.0,,,,,,,
Todd,Peih-Gee,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,
Todd,Erik,,,,,,,0.0,0.0,1.0,1.0,0.0,,
Todd,Jaime,,,,,,,0.0,,,,,,
Courtney,Peih-Gee,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,
Courtney,Erik,,,,,,,0.0,0.0,1.0,1.0,0.0,,
Courtney,Jaime,,,,,,,0.0,,,,,,
Amanda,Peih-Gee,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,
Amanda,Erik,,,,,,,0.0,0.0,1.0,1.0,0.0,,
Amanda,Jaime,,,,,,,0.0,,,,,,
Denise,Peih-Gee,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,
Denise,Erik,,,,,,,0.0,0.0,1.0,1.0,0.0,,
Denise,Jaime,,,,,,,0.0,,,,,,
Peih-Gee,Jean-Robert,,,,,,,0.0,1.0,,,,,
Erik,Jean-Robert,,,,,,,0.0,1.0,,,,,
James,Frosti,,,,,,,1.0,1.0,0.0,,,,
Jean-Robert,Jaime,,,,,,,0.0,,,,,,
