,Idx,Episode,Air date,Reward,Immunity,Kidnapped,Eliminated(Vote),Finish,Viewers (in millions),Rating/Share (18-49),Immunity_2
0,1,"""A Chicken's a Little Bit Smarter""","September 20, 2007",Fei Long,Fei Long,None,"['Chicken', '5-2-1']",1st Voted OutDay 3,15.35,5.0/N/A,['Fei Long']
1,2,"""My Mom Is Going to Kill Me!""","September 27, 2007",Fei Long,Fei Long,Jaime,"['Ashley', '6-1']",2nd Voted OutDay 6,14.15,4.6/N/A,['Fei Long']
2,3,"""I Lost Two Hands and Possibly a Shoulder""","October 4, 2007",Zhan Hu,Zhan Hu,Leslie,"['Leslie', '6-2']",3rd Voted OutDay 9,14.14,4.5/N/A,['Zhan Hu']
3,4,"""Ride the Workhorse Till the Tail Falls Off""","October 11, 2007",Fei Long,Fei Long,Dave,"['Dave', '5-1']",4th Voted OutDay 12,14.22,4.6/N/A,['Fei Long']
4,5,"""Love Is in the Air""","October 18, 2007",None,Fei Long,None,"['Aaron', '3-1-1']",5th Voted OutDay 15,14.03,4.6/N/A,['Fei Long']
5,6,"""That's Love, Baby! It Makes You Strong!""","October 25, 2007",Fei Long,Zhan Hu,James,"['Sherea', '5-2']",6th Voted OutDay 18,14.19,4.5/N/A,['Zhan Hu']
6,7,"""I'm Not as Dumb as I Look""","November 1, 2007",None,Frosti,,"['Jaime', '7-3']",7th Voted Out1st Jury MemberDay 21,14.44,4.9/N/A,['Frosti']
7,8,"""High School Friend Contest""","November 8, 2007","Amanda,James,Jean-Robert,Todd",Courtney,,"['Jean-Robert', '5-3-1']",8th Voted Out2nd Jury MemberDay 24,14.86,4.8/N/A,['Courtney']
8,9,"""Just Don't Eat the Apple""","November 15, 2007","Amanda,Courtney,Erik, Frosti",Peih-Gee,,"['Frosti', '7-1']",9th Voted Out3rd Jury MemberDay 27,14.68,4.8/N/A,['Peih-Gee']
9,10,"""It's Been Real and It's Been Fun""","November 22, 2007",Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
10,11,"""Ready to Bite the Apple""","November 29, 2007","Peih-Gee[Denise,Erik]",Erik,,"['James', '5-1-1']",10th Voted Out4th Jury MemberDay 30,13.57,4.5/N/A,['Erik']
11,12,"""Going for the Oscar""","December 6, 2007","Denise[Amanda,Todd]",Peih-Gee,,"['Erik', '4-2']",11th Voted Out5th Jury MemberDay 33,13.86,4.5/N/A,['Peih-Gee']
12,13,"""Hello, I'm Still a Person""","December 13, 2007","Denise[Courtney,Todd]",Amanda,,"['Peih-Gee', '4-1']",12th Voted Out6th Jury MemberDay 36,14.49,4.6/N/A,['Amanda']
13,14,"""A Slippery Little Sucker""","December 16, 2007",Amanda[Todd],Amanda,,"['Denise', '3-1']",13th Voted Out7th Jury MemberDay 38,15.18,5.2/N/A,['Amanda']
14,14,"""A Slippery Little Sucker""","December 16, 2007",Jury Vote,Jury Vote,Jury Vote,"['Amanda', '4-2-1']",Second Runner-Up,15.18,5.2/N/A,[]
15,14,"""A Slippery Little Sucker""","December 16, 2007",Jury Vote,Jury Vote,Jury Vote,"['Courtney', '4-2-1']",Runner-Up,15.18,5.2/N/A,[]
16,14,"""A Slippery Little Sucker""","December 16, 2007",Jury Vote,Jury Vote,Jury Vote,"['Todd', '4-2-1']",Sole Survivor,15.18,5.2/N/A,[]
17,15,"""Reunion""","December 16, 2007",,,,,,12.26,4.5/N/A,[]
