,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Todd,Courtney,Amanda,Denise,Peih-Gee,Erik,James,Frosti,Jean-Robert,Jaime,Sherea,Aaron,Dave,Leslie,Ashley,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Kidnapped,Eliminated(Vote),Finish,Viewers (in millions),Rating/Share (18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Chicken,5-2-1,-,-,-,-,Chicken,Chicken,-,Chicken,-,Chicken,Chicken,-,Ashley,-,Peih-Gee,[],False,{},False,{},True,0,False,False,,,,,,,,,,,,,[],0.0
1,2,Original Tribes,2,Ashley,6-1,-,-,-,-,Ashley,Ashley,-,Ashley,-,Ashley,Ashley,-,Ashley,-,Dave,[],False,{},False,{},True,0,False,False,,2,"""My Mom Is Going to Kill Me!""","September 27, 2007",Fei Long,Fei Long,Jaime,"['Ashley', '6-1']",2nd Voted OutDay 6,14.15,4.6/N/A,Ashley,['Fei Long'],0.5
2,3,Original Tribes,3,Leslie,6-2,Leslie,Jean-Robert,Leslie,Leslie,-,-,Leslie,-,Leslie,-,-,Leslie,-,Jean-Robert,,[],False,{},False,{},True,0,False,False,,3,"""I Lost Two Hands and Possibly a Shoulder""","October 4, 2007",Zhan Hu,Zhan Hu,Leslie,"['Leslie', '6-2']",3rd Voted OutDay 9,14.14,4.5/N/A,Leslie,['Zhan Hu'],0.5
3,4,Original Tribes,4,Dave,5-1,-,-,-,-,Dave,Dave,-,Dave,-,Dave,Dave,-,Sherea,,,[],False,{},False,{},True,0,False,False,,4,"""Ride the Workhorse Till the Tail Falls Off""","October 11, 2007",Fei Long,Fei Long,Dave,"['Dave', '5-1']",4th Voted OutDay 12,14.22,4.6/N/A,Dave,['Fei Long'],0.5
4,5,Switched Tribes,5,Aaron,3-1-1,-,-,-,-,Aaron,Aaron,Peih-Gee,-,-,Aaron,-,James,,,,[],False,{},False,{},True,1,False,False,,5,"""Love Is in the Air""","October 18, 2007",None,Fei Long,None,"['Aaron', '3-1-1']",5th Voted OutDay 15,14.03,4.6/N/A,Aaron,['Fei Long'],0.5
5,6,Switched Tribes,6,Sherea,5-2,Sherea,Jean-Robert,Sherea,Sherea,-,-,-,Sherea,Sherea,-,Jean-Robert,,,,,[],False,{},False,{},True,1,False,False,,6,"""That's Love, Baby! It Makes You Strong!""","October 25, 2007",Fei Long,Zhan Hu,James,"['Sherea', '5-2']",6th Voted OutDay 18,14.19,4.5/N/A,Sherea,['Zhan Hu'],0.5
6,7,Merged Tribe,7,Jaime,7-3,Jaime,Jaime,Jaime,Jaime,Jean-Robert,Jean-Robert,Jaime,Jaime,Jaime,Jean-Robert,,,,,,[],False,{},False,{},True,2,True,False,,7,"""I'm Not as Dumb as I Look""","November 1, 2007",None,Frosti,,"['Jaime', '7-3']",7th Voted Out1st Jury MemberDay 21,14.44,4.9/N/A,Jaime,['Frosti'],0.1
7,8,Merged Tribe,8,Jean-Robert,5-3-1,Jean-Robert,Jean-Robert,Jean-Robert,Peih-Gee,James,James,Jean-Robert,Jean-Robert,James,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""High School Friend Contest""","November 8, 2007","Amanda,James,Jean-Robert,Todd",Courtney,,"['Jean-Robert', '5-3-1']",8th Voted Out2nd Jury MemberDay 24,14.86,4.8/N/A,Jean-Robert,['Courtney'],0.1111111111111111
8,9,Merged Tribe,9,Frosti,7-1,Frosti,Frosti,Frosti,Frosti,Frosti,Frosti,Frosti,Erik,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Just Don't Eat the Apple""","November 15, 2007","Amanda,Courtney,Erik, Frosti",Peih-Gee,,"['Frosti', '7-1']",9th Voted Out3rd Jury MemberDay 27,14.68,4.8/N/A,Frosti,['Peih-Gee'],0.125
9,10,Merged Tribe,11,James,5-1-1,James,James,James,James,Todd,James,Peih-Gee,,,,,,,,,[],False,{},False,{},True,2,True,False,,11,"""Ready to Bite the Apple""","November 29, 2007","Peih-Gee[Denise,Erik]",Erik,,"['James', '5-1-1']",10th Voted Out4th Jury MemberDay 30,13.57,4.5/N/A,James,['Erik'],0.14285714285714285
10,11,Merged Tribe,12,Erik,4-2,Erik,Erik,Erik,Erik,Todd,Todd,,,,,,,,,,[],False,{},False,{},True,2,True,False,,12,"""Going for the Oscar""","December 6, 2007","Denise[Amanda,Todd]",Peih-Gee,,"['Erik', '4-2']",11th Voted Out5th Jury MemberDay 33,13.86,4.5/N/A,Erik,['Peih-Gee'],0.16666666666666666
