,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Parvati,Amanda,1.0,,1.0,,,,,,,,1.0,0.0,1.0,,1.0,1.0,1.0,
Parvati,Cirie,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,0.0,1.0,1.0,
Parvati,James,1.0,,1.0,,,,,,,,1.0,0.0,0.0,,,,,
Parvati,Ozzy,1.0,,1.0,,,,,,,,1.0,0.0,,,,,,
Parvati,Eliza,1.0,,1.0,,,,,,,,0.0,,,,,,,
Parvati,Ami,1.0,,0.0,,,,,,,,,,,,,,,
Parvati,Jonathan,1.0,,0.0,,,,,,,,,,,,,,,
Parvati,Yau-Man,1.0,,0.0,,,,,,,,,,,,,,,
Parvati,Jon,0.0,,,,,,,,,,,,,,,,,
Amanda,Cirie,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,
Amanda,James,1.0,,1.0,,,,,,,,1.0,1.0,0.0,,,,,
Amanda,Ozzy,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,
Amanda,Eliza,1.0,,1.0,,,,,,,,0.0,,,,,,,
Amanda,Ami,1.0,,0.0,,1.0,,1.0,,1.0,0.0,,,,,,,,
Amanda,Jonathan,1.0,,0.0,,,,,,,,,,,,,,,
Amanda,Yau-Man,1.0,,0.0,,,,,,,,,,,,,,,
Amanda,Jon,0.0,,,,,,,,,,,,,,,,,
Cirie,James,1.0,,1.0,,,,,,,,1.0,0.0,0.0,,,,,
Cirie,Ozzy,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,0.0,,,,,,
Cirie,Eliza,1.0,,1.0,,,,,,,,0.0,,,,,,,
Cirie,Ami,1.0,,0.0,,1.0,,1.0,,1.0,0.0,,,,,,,,
Cirie,Jonathan,1.0,,0.0,,,,,,,,,,,,,,,
Cirie,Yau-Man,1.0,,0.0,,,,,,,,,,,,,,,
Cirie,Jon,0.0,,,,,,,,,,,,,,,,,
James,Ozzy,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,
James,Eliza,1.0,,1.0,,,,,,,,0.0,,,,,,,
James,Ami,1.0,,0.0,,,,,,,,,,,,,,,
James,Jonathan,1.0,,0.0,,,,,,,,,,,,,,,
James,Yau-Man,1.0,,0.0,,,,,,,,,,,,,,,
James,Jon,0.0,,,,,,,,,,,,,,,,,
Ozzy,Eliza,1.0,,1.0,,,,,,,,0.0,,,,,,,
Ozzy,Ami,1.0,,0.0,,1.0,,1.0,,1.0,0.0,,,,,,,,
Ozzy,Jonathan,1.0,,0.0,,,,,,,,,,,,,,,
Ozzy,Yau-Man,1.0,,0.0,,,,,,,,,,,,,,,
Ozzy,Jon,0.0,,,,,,,,,,,,,,,,,
Eliza,Ami,1.0,,0.0,,,,,,,,,,,,,,,
Eliza,Jonathan,1.0,,0.0,,,,,,,,,,,,,,,
Eliza,Yau-Man,1.0,,0.0,,,,,,,,,,,,,,,
Eliza,Jon,0.0,,,,,,,,,,,,,,,,,
Ami,Jonathan,1.0,,1.0,,,,,,,,,,,,,,,
Ami,Yau-Man,1.0,,1.0,,,,,,,,,,,,,,,
Ami,Jon,0.0,,,,,,,,,,,,,,,,,
Jonathan,Yau-Man,1.0,,1.0,,,,,,,,,,,,,,,
Jonathan,Jon,0.0,,,,,,,,,,,,,,,,,
Yau-Man,Jon,0.0,,,,,,,,,,,,,,,,,
Natalie,Erik,,1.0,,1.0,,,,,,,1.0,0.0,0.0,,1.0,0.0,,
Natalie,Alexis,,1.0,,0.0,,,,,,,1.0,1.0,1.0,,1.0,,,
Natalie,Jason,,0.0,,0.0,,,,,,,0.0,1.0,1.0,,,,,
Natalie,Tracy,,1.0,,1.0,,,,,,,,,,,,,,
Natalie,Kathy,,1.0,,1.0,,,,,,,,,,,,,,
Natalie,Chet,,1.0,,1.0,,,,,,,,,,,,,,
Natalie,Joel,,0.0,,1.0,,,,,,,,,,,,,,
Natalie,Mikey B.,,0.0,,0.0,,,,,,,,,,,,,,
Natalie,Mary,,0.0,,,,,,,,,,,,,,,,
Erik,Alexis,,1.0,,0.0,,,,,,,1.0,0.0,0.0,,1.0,,,
Erik,Jason,,0.0,,0.0,,,,,,,0.0,0.0,0.0,,,,,
Erik,Tracy,,1.0,,1.0,0.0,,0.0,,0.0,,,,,,,,,
Erik,Kathy,,1.0,,1.0,,,,,,,,,,,,,,
Erik,Chet,,1.0,,1.0,0.0,,0.0,,,,,,,,,,,
Erik,Joel,,0.0,,1.0,1.0,,,,,,,,,,,,,
Erik,Mikey B.,,0.0,,0.0,,,,,,,,,,,,,,
Erik,Mary,,0.0,,,,,,,,,,,,,,,,
Alexis,Jason,,0.0,,1.0,,,,,,,0.0,1.0,1.0,,,,,
Alexis,Tracy,,1.0,,0.0,,,,,,,,,,,,,,
Alexis,Kathy,,1.0,,0.0,,,,,,,,,,,,,,
Alexis,Chet,,1.0,,0.0,,,,,,,,,,,,,,
Alexis,Joel,,0.0,,0.0,,,,,,,,,,,,,,
Alexis,Mikey B.,,0.0,,1.0,,,,,,,,,,,,,,
Alexis,Mary,,0.0,,,,,,,,,,,,,,,,
Jason,Tracy,,0.0,,0.0,,,,,,,,,,,,,,
Jason,Kathy,,0.0,,0.0,,,,,,,,,,,,,,
Jason,Chet,,0.0,,0.0,,,,,,,,,,,,,,
Jason,Joel,,1.0,,0.0,,,,,,,,,,,,,,
Jason,Mikey B.,,1.0,,1.0,,,,,,,,,,,,,,
Jason,Mary,,1.0,,,,,,,,,,,,,,,,
Tracy,Kathy,,1.0,,1.0,,,,,,,,,,,,,,
Tracy,Chet,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,
Tracy,Joel,,0.0,,1.0,0.0,,,,,,,,,,,,,
Tracy,Mikey B.,,0.0,,0.0,,,,,,,,,,,,,,
Tracy,Mary,,0.0,,,,,,,,,,,,,,,,
Kathy,Chet,,1.0,,1.0,,,,,,,,,,,,,,
Kathy,Joel,,0.0,,1.0,,,,,,,,,,,,,,
Kathy,Mikey B.,,0.0,,0.0,,,,,,,,,,,,,,
Kathy,Mary,,0.0,,,,,,,,,,,,,,,,
Chet,Joel,,0.0,,1.0,0.0,,,,,,,,,,,,,
Chet,Mikey B.,,0.0,,0.0,,,,,,,,,,,,,,
Chet,Mary,,0.0,,,,,,,,,,,,,,,,
Joel,Mikey B.,,1.0,,0.0,,,,,,,,,,,,,,
Joel,Mary,,1.0,,,,,,,,,,,,,,,,
Mikey B.,Mary,,1.0,,,,,,,,,,,,,,,,
Amanda,Erik,,,,,0.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,
Amanda,Tracy,,,,,1.0,,0.0,,0.0,,,,,,,,,
Amanda,Chet,,,,,1.0,,0.0,,,,,,,,,,,
Amanda,Joel,,,,,0.0,,,,,,,,,,,,,
Cirie,Erik,,,,,0.0,,1.0,,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,,
Cirie,Tracy,,,,,1.0,,0.0,,0.0,,,,,,,,,
Cirie,Chet,,,,,1.0,,0.0,,,,,,,,,,,
Cirie,Joel,,,,,0.0,,,,,,,,,,,,,
Erik,Ozzy,,,,,0.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,
Erik,Ami,,,,,0.0,,1.0,,1.0,0.0,,,,,,,,
Ozzy,Tracy,,,,,1.0,,0.0,,0.0,,,,,,,,,
Ozzy,Chet,,,,,1.0,,0.0,,,,,,,,,,,
Ozzy,Joel,,,,,0.0,,,,,,,,,,,,,
Ami,Tracy,,,,,1.0,,0.0,,0.0,,,,,,,,,
