,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers (in millions),Rating/Share (18-49),Immunity_2
0,1,"""You Guys Are Dumber than You Look""","February 7, 2008","['None', 'Airai']","['Yau-Man', 'Kathy', 'Airai']",None,"['Jon', '9-1']",1st Voted OutDay 3,14.02,4.8/N/A,"['Yau-Man', 'Kathy', 'Airai']"
1,2,"""The Sounds of Jungle Love""","February 14, 2008",Malakal,Malakal,"['Kathy', 'Cirie']","['Mary', '6-2-2']",2nd Voted OutDay 6,13.18,4.6/N/A,['Malakal']
2,3,"""I Should Be Carried on the Chariot-Type Thing!""","February 21, 2008",Malakal,Airai,"['Kathy', 'Ami']","['Yau-Man', '6-2-1']",3rd Voted OutDay 8,12.66,4.1/N/A,['Airai']
3,4,"""That's Baked, Barbecued and Fried!""","February 28, 2008",Malakal,Malakal,"['Kathy', 'Ozzy']","['Mikey B.', '6-3']",4th Voted OutDay 11,12.53,4.2/N/A,['Malakal']
4,5,"""He's a Ball of Goo!""","March 6, 2008",Airai,Airai,None,"['Joel', '6-2']",5th Voted OutDay 14,12.64,4.0/N/A,['Airai']
5,6,"""It Hit Everyone Pretty Hard""","March 13, 2008",Airai,Airai,Chet,"['Jonathan', 'No Vote']",EvacuatedDay 15,13.22,4.3/N/A,['Airai']
6,6,"""It Hit Everyone Pretty Hard""","March 13, 2008",Airai,Airai,Jason,"['Chet', '5-2']",6th Voted OutDay 17,13.22,4.3/N/A,['Airai']
7,7,"""Like a Wide-Eyed Kid in the Candy Store""","March 19, 2008",Malakal,Airai,Jason,"['Kathy', 'No Vote']",QuitDay 19,11.56,3.8/N/A,['Airai']
8,7,"""Like a Wide-Eyed Kid in the Candy Store""","March 19, 2008",Malakal,Airai,Tracy,"['Tracy', '5-1']",7th Voted OutDay 20,11.56,3.8/N/A,['Airai']
9,8,"""A Lost Puppy Dog""","April 3, 2008","['', 'Airai']","['Ozzy', 'Alexis', 'Airai']","['Ozzy', 'Alexis', '']","['Ami', '4-1']",8th Voted OutDay 21,12.87,4.0/N/A,"['Ozzy', 'Alexis', 'Airai']"
10,9,"""I'm in Such a Hot Pickle!""","April 10, 2008",None,Jason,None,"['Eliza', '8-2']",9th Voted Out1st Jury MemberDay 24,11.59,3.9/N/A,['Jason']
11,10,"""I Promise...""","April 17, 2008","Amanda,Erik,Jason,Ozzy",Parvati,Cirie,"['Ozzy', '5-4']",10th Voted Out2nd Jury MemberDay 27,12.01,3.9/N/A,['Parvati']
12,11,"""I'm Ruthless... and Have a Smile on My Face""","April 24, 2008",SurvivorAuction,Erik,Jason,"['Jason', '4-3-1']",11th Voted Out3rd Jury MemberDay 30,12.90,4.3/N/A,['Erik']
13,12,"""I'm Gonna Fix Her!""","May 1, 2008","Alexis[Cirie,Natalie]",Erik,Amanda,"['James', 'No Vote']",Evacuated4th Jury MemberDay 31,12.32,4.0/N/A,['Erik']
14,12,"""I'm Gonna Fix Her!""","May 1, 2008","Alexis[Cirie,Natalie]",Erik,Amanda,"['Alexis', '2-0']",12th Voted Out5th Jury MemberDay 33,12.32,4.0/N/A,['Erik']
15,13,"""If It Smells Like a Rat, Give It Cheese""","May 8, 2008",Erik[Amanda],Erik(Natalie),Parvati,"['Erik', '4-1']",13th Voted Out6th Jury MemberDay 36,12.62,4.1/N/A,['Erik']
16,14,"""Stir the Pot!""","May 11, 2008",None,Amanda,None,"['Natalie', '3-1']",14th Voted Out7th Jury MemberDay 37,12.98,4.1/N/A,['Amanda']
17,14,"""Stir the Pot!""","May 11, 2008",None,Amanda,None,"['Cirie', '1-0']",15th Voted Out8th Jury MemberDay 38,12.98,4.1/N/A,['Amanda']
18,14,"""Stir the Pot!""","May 11, 2008",Jury Vote,Jury Vote,Jury Vote,"['Amanda', '5-3']",Runner-Up,12.98,4.1/N/A,[]
19,14,"""Stir the Pot!""","May 11, 2008",Jury Vote,Jury Vote,Jury Vote,"['Parvati', '5-3']",Sole Survivor,12.98,4.1/N/A,[]
20,15,"""Reunion""","May 11, 2008",,,,,,10.42,3.8/N/A,[]
