,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Parvati,Amanda,Cirie,Natalie,Erik,Alexis,James,Jason,Ozzy,Eliza,Ami,Tracy,Kathy,Chet,Jonathan,Joel,Mikey B.,Yau-Man,Mary,Jon,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers (in millions),Rating/Share (18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Jon,9-1,Jon,Jon,Jon,-,-,-,Jon,-,Jon,Jon,Jon,-,-,-,Jon,-,-,Jon,-,Ozzy,[],False,{},False,{},True,0,False,False,,1,"""You Guys Are Dumber than You Look""","February 7, 2008","['None', 'Airai']","['Yau-Man', 'Kathy', 'Airai']",None,"['Jon', '9-1']",1st Voted OutDay 3,14.02,4.8/N/A,Jon,"['Yau-Man', 'Kathy', 'Airai']",0.7
1,2,Original Tribes,2,Mary,6-2-2,-,-,-,Mary,Mary,Mary,-,Chet,-,-,-,Mary,Mary,Mary,-,Tracy,Chet,-,Tracy,,[],False,{},False,{},True,0,False,False,,2,"""The Sounds of Jungle Love""","February 14, 2008",Malakal,Malakal,"['Kathy', 'Cirie']","['Mary', '6-2-2']",2nd Voted OutDay 6,13.18,4.6/N/A,Mary,['Malakal'],0.5
2,3,Original Tribes,3,Yau-Man,6-2-1,Yau-Man,Yau-Man,Yau-Man,-,-,-,Yau-Man,-,Yau-Man,Yau-Man,Cirie,-,-,-,Parvati,-,-,Parvati,,,[],False,{},False,{},True,0,False,False,,3,"""I Should Be Carried on the Chariot-Type Thing!""","February 21, 2008",Malakal,Airai,"['Kathy', 'Ami']","['Yau-Man', '6-2-1']",3rd Voted OutDay 8,12.66,4.1/N/A,Yau-Man,['Airai'],0.5
3,4,Original Tribes,4,Mikey B.,6-3,-,-,-,Mikey B.,Mikey B.,Chet,-,Chet,-,-,-,Mikey B.,Mikey B.,Mikey B.,-,Mikey B.,Chet,,,,[],False,{},False,{},True,0,False,False,,4,"""That's Baked, Barbecued and Fried!""","February 28, 2008",Malakal,Malakal,"['Kathy', 'Ozzy']","['Mikey B.', '6-3']",4th Voted OutDay 11,12.53,4.2/N/A,Mikey B.,['Malakal'],0.5
4,5,Switched Tribes,5,Joel,6-2,-,Joel,Joel,-,Chet,-,-,-,Joel,-,Joel,Joel,-,Joel,-,Chet,,,,,[],False,{},False,{},True,1,False,False,,5,"""He's a Ball of Goo!""","March 6, 2008",Airai,Airai,None,"['Joel', '6-2']",5th Voted OutDay 14,12.64,4.0/N/A,Joel,['Airai'],0.5
5,6,Switched Tribes,6,Jonathan,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Evacuated,,,,,,[],False,{},False,{},False,1,False,False,,6,"""It Hit Everyone Pretty Hard""","March 13, 2008",Airai,Airai,Chet,"['Jonathan', 'No Vote']",EvacuatedDay 15,13.22,4.3/N/A,Jonathan,['Airai'],0.5
6,7,Switched Tribes,6,Chet,5-2,-,Chet,Chet,-,Chet,-,-,-,Chet,-,Chet,Erik,-,Erik,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""It Hit Everyone Pretty Hard""","March 13, 2008",Airai,Airai,Jason,"['Chet', '5-2']",6th Voted OutDay 17,13.22,4.3/N/A,Chet,['Airai'],0.5
7,8,Switched Tribes,7,Kathy,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,['Kathy'],False,{},False,{},False,1,False,False,,7,"""Like a Wide-Eyed Kid in the Candy Store""","March 19, 2008",Malakal,Airai,Jason,"['Kathy', 'No Vote']",QuitDay 19,11.56,3.8/N/A,Kathy,['Airai'],0.5
8,9,Switched Tribes,7,Tracy,5-1,-,Tracy,Tracy,-,Tracy,-,-,-,Tracy,-,Tracy,Ozzy,,,,,,,,,[],False,{},False,{},True,1,False,False,,7,"""Like a Wide-Eyed Kid in the Candy Store""","March 19, 2008",Malakal,Airai,Tracy,"['Tracy', '5-1']",7th Voted OutDay 20,11.56,3.8/N/A,Tracy,['Airai'],0.5
9,10,Switched Tribes,8,Ami,4-1,-,Ami,Ami,-,Ami,-,-,-,Ami,-,Erik,,,,,,,,,,[],False,{},False,{},True,1,False,False,,8,"""A Lost Puppy Dog""","April 3, 2008","['', 'Airai']","['Ozzy', 'Alexis', 'Airai']","['Ozzy', 'Alexis', '']","['Ami', '4-1']",8th Voted OutDay 21,12.87,4.0/N/A,Ami,"['Ozzy', 'Alexis', 'Airai']",0.8666666666666667
10,11,Merged Tribe,9,Eliza,8-2,Eliza,Eliza,Eliza,Eliza,Eliza,Eliza,Eliza,Ozzy,Eliza,Ozzy,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""I'm in Such a Hot Pickle!""","April 10, 2008",None,Jason,None,"['Eliza', '8-2']",9th Voted Out1st Jury MemberDay 24,11.59,3.9/N/A,Eliza,['Jason'],0.1
11,12,Merged Tribe,10,Ozzy,5-4,Ozzy,Jason,Ozzy,Ozzy,Jason,Ozzy,Jason,Ozzy,Jason,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""I Promise...""","April 17, 2008","Amanda,Erik,Jason,Ozzy",Parvati,Cirie,"['Ozzy', '5-4']",10th Voted Out2nd Jury MemberDay 27,12.01,3.9/N/A,Ozzy,['Parvati'],0.1111111111111111
12,13,Merged Tribe,11,Jason,4-3-1,Jason,Jason,Jason,James,Jason,James,Parvati,James,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,11,"""I'm Ruthless... and Have a Smile on My Face""","April 24, 2008",SurvivorAuction,Erik,Jason,"['Jason', '4-3-1']",11th Voted Out3rd Jury MemberDay 30,12.90,4.3/N/A,Jason,['Erik'],0.125
13,14,Merged Tribe,12,James,No Vote,-,-,-,-,-,-,Evacuated,,,,,,,,,,,,,,[],False,{},False,{},False,2,True,False,,12,"""I'm Gonna Fix Her!""","May 1, 2008","Alexis[Cirie,Natalie]",Erik,Amanda,"['James', 'No Vote']",Evacuated4th Jury MemberDay 31,12.32,4.0/N/A,James,['Erik'],0.14285714285714285
14,15,Merged Tribe,12,Alexis,2-0,Alexis,Alexis,Amanda,Amanda,Amanda,Amanda,,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,12,"""I'm Gonna Fix Her!""","May 1, 2008","Alexis[Cirie,Natalie]",Erik,Amanda,"['Alexis', '2-0']",12th Voted Out5th Jury MemberDay 33,12.32,4.0/N/A,Alexis,['Erik'],0.16666666666666666
15,16,Merged Tribe,13,Erik,4-1,Erik,Erik,Erik,Erik,Parvati,,,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,13,"""If It Smells Like a Rat, Give It Cheese""","May 8, 2008",Erik[Amanda],Erik(Natalie),Parvati,"['Erik', '4-1']",13th Voted Out6th Jury MemberDay 36,12.62,4.1/N/A,Erik,['Erik'],0.2
16,17,Merged Tribe,14,Natalie,3-1,Natalie,Natalie,Natalie,Cirie,,,,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,14,"""Stir the Pot!""","May 11, 2008",None,Amanda,None,"['Natalie', '3-1']",14th Voted Out7th Jury MemberDay 37,12.98,4.1/N/A,Natalie,['Amanda'],0.25
17,18,Merged Tribe,14,Cirie,1-0,None,Cirie,None,,,,,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,14,"""Stir the Pot!""","May 11, 2008",None,Amanda,None,"['Cirie', '1-0']",15th Voted Out8th Jury MemberDay 38,12.98,4.1/N/A,Cirie,['Amanda'],0.3333333333333333
18,19,Merged Tribe,14,Parvati,5-3,Jury Vote,Jury Vote,Parvati,Parvati,Amanda,Parvati,Amanda,Parvati,Amanda,Parvati,,,,,,,,,,,[],False,{},False,{},True,2,True,True,"['Amanda', 'Parvati']",14,"""Stir the Pot!""","May 11, 2008",Jury Vote,Jury Vote,Jury Vote,"['Parvati', '5-3']",Sole Survivor,12.98,4.1/N/A,Parvati,[],
