,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation FirstSwitched Tribe,Tribe Affiliation SecondSwitched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Michelle Chase,Michelle,[],24,Los Angeles,CA,Music Producer,Fang,,,,1st Voted OutDay 3,8,18.0,False
1,Gillian Larson,Gillian,[],61,Temecula,CA,Retired Nurse,Fang,,,,2nd Voted OutDay 6,8,17.0,False
2,Paloma Soto-Castillo,Paloma,[],23,Downey,CA,Student,Kota,,,,3rd Voted OutDay 9,7,16.0,False
3,Jacquie Berg,Jacquie,[],25,Santa Barbara,CA,Medical Saleswoman,Kota,Fang,,,4th Voted OutDay 12,5,15.0,False
4,GC Brown,GC,[],25,Portland,OR,Maintenance Man,Fang,Fang,,,5th Voted OutDay 15,6,14.0,False
5,Kelly Czarnecki,Kelly,[],22,Buffalo Grove,IL,Retail Saleswoman,Kota,Fang,,,6th Voted OutDay 18,8,13.0,False
6,Ace Gordon,Ace,[],27,Naples,FL,Jewelry Salesman/Photographer,Kota,Fang,,,7th Voted OutDay 21,5,12.0,False
7,Dan Kay,Dan,[],31,Boston,MA,Lawyer,Fang,Kota,,,8th Voted OutDay 21,4,11.0,False
8,Marcus Lehman,Marcus,[],28,Atlanta,GA,Doctor,Kota,Kota,Kota,,9th Voted Out1st Jury MemberDay 24,3,10.0,False
9,Charlie Herschel,Charlie,[],29,New York City,NY,Lawyer,Kota,Kota,Fang,Nobag,10th Voted Out2nd Jury MemberDay 27,5,9.0,False
10,Randy Bailey,Randy,[],49,Eagle Rock,MO,Wedding Videographer,Fang,Kota,Fang,Nobag,11th Voted Out3rd Jury MemberDay 30,5,8.0,False
11,Corinne Kaplan,Corinne,[],29,Los Angeles,CA,Pharmaceutical Saleswoman,Kota,Kota,Fang,Nobag,12th Voted Out4th Jury MemberDay 33,4,7.0,False
12,Crystal Cox,Crystal,[],29,Durham,NC,Olympic Gold Medalist,Fang,Fang,Kota,Nobag,13th Voted Out5th Jury MemberDay 36,11,6.0,False
13,Ken Hoang,Ken,[],22,Westminster,CA,Professional Gamer,Fang,Fang,Kota,Nobag,14th Voted Out6th Jury MemberDay 37,7,5.0,False
14,Matty Whitmore,Matty,[],29,Pacific Palisades,CA,Personal Trainer,Fang,Fang,Fang,Nobag,15th Voted Out7th Jury MemberDay 38,7,4.0,False
15,Sugar Kiper,Sugar,[],29,Brooklyn,NY,Pin-up Model,Kota,Fang,Fang,Nobag,SecondRunner-Up,0,3.0,False
16,Susie Smith,Susie,[],47,Charles City,IA,Hairdresser,Fang,Kota,Kota,Nobag,Runner-Up,7,2.0,False
17,Bob Crowley,Bob,[],57,Portland,ME,Physics Teacher,Kota,Kota,Kota,Nobag,Sole Survivor,2,1.0,False
