,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewership (in millions),Rating/Share (18-49),Immunity_2
0,1,"""Want to See the Elephant Dung?""","September 25, 2008",Kota,"['GC', 'Marcus', 'Kota']",None,"['Michelle', '8-1']",1st Voted OutDay 3,13.06,4.5/11,"['GC', 'Marcus', 'Kota']"
1,1,"""Want to See the Elephant Dung?""","September 25, 2008",Kota,Kota,Dan,"['Gillian', '7-1']",2nd Voted OutDay 6,13.06,4.5/11,['Kota']
2,2,"""She Obviously Is Post-Op!""","October 2, 2008",Fang,Fang,Sugar,"['Paloma', '7-2']",3rd Voted OutDay 9,13.08,4.5/12,['Fang']
3,3,"""It Was Like Christmas Morning!""","October 9, 2008",None,Kota,Sugar,"['Jacquie', '5-2']",4th Voted OutDay 12,13.28,4.4/12,['Kota']
4,4,"""This Camp Is Cursed""","October 16, 2008",Kota,Kota,Sugar,"['GC', '6-1']",5th Voted OutDay 15,12.81,4.2/12,['Kota']
5,5,"""He's a Snake, but He's My Snake""","October 23, 2008",Kota,Kota,Sugar,"['Kelly', '5-1']",6th Voted OutDay 18,13.31,4.4/12,['Kota']
6,6,"""It All Depends on the Pin-Up Girl""","October 30, 2008",Kota,Marcus,Sugar,"['Ace', '3-2']",7th Voted OutDay 21,13.02,4.1/12,['Marcus']
7,6,"""It All Depends on the Pin-Up Girl""","October 30, 2008",Kota,[Sugar],Sugar,"['Dan', '4-3']",8th Voted OutDay 21,13.02,4.1/12,['']
8,7,"""Apple in the Garden of Eden""","November 6, 2008",None,Fang,None,"['Marcus', '3-2']",9th Voted Out1st Jury MemberDay 24,12.01,3.8/10,['Fang']
9,8,"""The Brains Behind Everything""","November 13, 2008",Fang,Susie,Bob,"['Charlie', '5-4']",10th Voted Out2nd Jury MemberDay 27,12.88,4.1/11,['Susie']
10,9,"""Nothing Tastes Better than Five Hundred Dollars""","November 20, 2008",SurvivorAuction,Ken,Bob,"['Randy', '5-3']",11th Voted Out3rd Jury MemberDay 30,12.50,4.0/11,['Ken']
11,10,"""I Was Put on the Planet for This Show""","November 27, 2008",Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
12,11,"""The Good Things in Life Aren't Easy""","December 4, 2008",Bob,Bob,None,"['Corinne', '4-3']",12th Voted Out4th Jury MemberDay 33,12.73,3.9/11,['Bob']
13,12,"""The Good Guys Should Win in the End""","December 11, 2008","Bob[Crystal,Ken]",Bob,Susie,"['Crystal', '4-0']",13th Voted Out5th Jury MemberDay 36,13.05,4.0/11,['Bob']
14,13,"""Say Goodbye to Gabon""","December 14, 2008",None,Bob,None,"['Ken', '4-1']",14th Voted Out6th Jury MemberDay 37,13.77,4.4/10,['Bob']
15,13,"""Say Goodbye to Gabon""","December 14, 2008",None,Susie,None,"['Matty', '2-2;Tiebreaker']",15th Voted Out7th Jury MemberDay 38,13.77,4.4/10,['Susie']
16,13,"""Say Goodbye to Gabon""","December 14, 2008",Jury Vote,Jury Vote,Jury Vote,"['Sugar', '4-3-0']",SecondRunner-Up,13.77,4.4/10,[]
17,13,"""Say Goodbye to Gabon""","December 14, 2008",Jury Vote,Jury Vote,Jury Vote,"['Susie', '4-3-0']",Runner-Up,13.77,4.4/10,[]
18,13,"""Say Goodbye to Gabon""","December 14, 2008",Jury Vote,Jury Vote,Jury Vote,"['Bob', '4-3-0']",Sole Survivor,13.77,4.4/10,[]
19,14,"""Reunion""","December 14, 2008",,,,,,11.74,3.8/10,[]
