,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation FirstSwitched Tribe,Tribe Affiliation SecondSwitched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Michelle Chase,Michelle,[],24,Los Angeles,CA,Music Producer,Fang,,,,1st Voted OutDay 3,8,18.0,False,False,False,1,False,1,0,1,0,2,1,0,1,0,0,1,0.0,,0,8
1,Gillian Larson,Gillian,[],61,Temecula,CA,Retired Nurse,Fang,,,,2nd Voted OutDay 6,8,17.0,False,False,False,2,False,2,0,1,0,3,2,0,2,0,1,1,0.0,,0,8
2,Paloma Soto-Castillo,Paloma,[],23,Downey,CA,Student,Kota,,,,3rd Voted OutDay 9,7,16.0,False,False,False,3,False,3,2,1,0,4,3,2,1,0,0,1,0.34615384615384615,,0,7
3,Jacquie Berg,Jacquie,[],25,Santa Barbara,CA,Medical Saleswoman,Kota,Fang,,,4th Voted OutDay 12,5,15.0,False,False,False,4,False,4,2,1,0,5,4,2,2,0,1,1,0.27692307692307694,,0,5
4,GC Brown,GC,[],25,Portland,OR,Maintenance Man,Fang,Fang,,,5th Voted OutDay 15,6,14.0,False,False,False,5,False,5,1,1,1,6,5,1,4,0,3,1,0.23076923076923075,,0,6
5,Kelly Czarnecki,Kelly,[],22,Buffalo Grove,IL,Retail Saleswoman,Kota,Fang,,,6th Voted OutDay 18,8,13.0,False,False,False,6,False,6,2,1,0,7,6,2,4,0,2,2,0.1978021978021978,,0,8
6,Ace Gordon,Ace,[],27,Naples,FL,Jewelry Salesman/Photographer,Kota,Fang,,,7th Voted OutDay 21,5,12.0,False,False,False,7,False,6,2,2,0,8,7,2,5,0,3,2,0.17307692307692307,,0,5
7,Dan Kay,Dan,[],31,Boston,MA,Lawyer,Fang,Kota,,,8th Voted OutDay 21,4,11.0,False,False,False,8,False,6,4,2,0,9,8,5,3,0,2,1,0.5,,0,4
8,Marcus Lehman,Marcus,[],28,Atlanta,GA,Doctor,Kota,Kota,Kota,,9th Voted Out1st Jury MemberDay 24,3,10.0,False,False,False,9,False,7,5,2,2,10,9,6,3,0,1,2,1.1965811965811968,,0,3
9,Charlie Herschel,Charlie,[],29,New York City,NY,Lawyer,Kota,Kota,Fang,Nobag,10th Voted Out2nd Jury MemberDay 27,5,9.0,False,False,False,10,True,7,6,3,0,11,10,7,3,0,2,1,0.5384615384615385,0.0,0,5
10,Randy Bailey,Randy,[],49,Eagle Rock,MO,Wedding Videographer,Fang,Kota,Fang,Nobag,11th Voted Out3rd Jury MemberDay 30,5,8.0,False,False,False,11,True,7,5,4,0,12,11,6,5,0,2,3,0.45454545454545453,0.0,0,5
11,Corinne Kaplan,Corinne,[],29,Los Angeles,CA,Pharmaceutical Saleswoman,Kota,Kota,Fang,Nobag,12th Voted Out4th Jury MemberDay 33,4,7.0,False,False,False,12,True,7,6,5,0,13,12,7,5,0,2,3,0.44871794871794873,0.0,0,4
12,Crystal Cox,Crystal,[],29,Durham,NC,Olympic Gold Medalist,Fang,Fang,Kota,Nobag,13th Voted Out5th Jury MemberDay 36,11,6.0,False,False,False,13,True,7,1,6,0,14,13,2,11,0,10,1,0.07692307692307693,0.0,0,11
13,Ken Hoang,Ken,[],22,Westminster,CA,Professional Gamer,Fang,Fang,Kota,Nobag,14th Voted Out6th Jury MemberDay 37,7,5.0,False,False,False,14,True,7,1,7,1,15,14,2,12,0,9,3,0.5714285714285714,1.4,0,7
14,Matty Whitmore,Matty,[],29,Pacific Palisades,CA,Personal Trainer,Fang,Fang,Fang,Nobag,15th Voted Out7th Jury MemberDay 38,7,4.0,False,False,False,15,True,7,2,8,0,16,15,3,12,0,10,2,0.13333333333333333,0.0,0,7
15,Sugar Kiper,Sugar,[],29,Brooklyn,NY,Pin-up Model,Kota,Fang,Fang,Nobag,SecondRunner-Up,0,3.0,False,False,True,16,True,7,3,8,0,17,15,4,10,1,10,0,0.15897435897435896,0.0,0,0
16,Susie Smith,Susie,[],47,Charles City,IA,Hairdresser,Fang,Kota,Kota,Nobag,Runner-Up,7,2.0,False,False,True,16,True,7,4,8,2,17,15,5,10,0,9,1,1.0,1.8333333333333333,3,7
17,Bob Crowley,Bob,[],57,Portland,ME,Physics Teacher,Kota,Kota,Kota,Nobag,Sole Survivor,2,1.0,False,True,True,16,True,7,5,8,3,17,15,6,9,0,5,4,1.2923076923076924,2.5,4,2
