,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Bob,Susie,Sugar,Matty,Ken,Crystal,Corinne,Randy,Charlie,Marcus,Dan,Ace,Kelly,GC,Jacquie,Paloma,Gillian,Michelle,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewership (in millions),Rating/Share (18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Michelle,8-1,-,Michelle,-,Michelle,Michelle,Michelle,-,Michelle,-,-,Michelle,-,-,Michelle,-,-,Michelle,Gillian,[],False,{},False,{},True,0,False,False,,1,"""Want to See the Elephant Dung?""","September 25, 2008",Kota,"['GC', 'Marcus', 'Kota']",None,"['Michelle', '8-1']",1st Voted OutDay 3,13.06,4.5/11,Michelle,"['GC', 'Marcus', 'Kota']",0.7222222222222222
1,2,Original Tribes,1,Gillian,7-1,-,Gillian,-,Gillian,Gillian,Gillian,-,Gillian,-,-,Gillian,-,-,Gillian,-,-,Ken,,[],False,{},False,{},True,0,False,False,,1,"""Want to See the Elephant Dung?""","September 25, 2008",Kota,Kota,Dan,"['Gillian', '7-1']",2nd Voted OutDay 6,13.06,4.5/11,Gillian,['Kota'],0.5
2,3,Original Tribes,2,Paloma,7-2,Paloma,-,Paloma,-,-,-,Paloma,-,Paloma,Paloma,-,Paloma,Ace,-,Paloma,Ace,,,[],False,{},False,{},True,0,False,False,,2,"""She Obviously Is Post-Op!""","October 2, 2008",Fang,Fang,Sugar,"['Paloma', '7-2']",3rd Voted OutDay 9,13.08,4.5/12,Paloma,['Fang'],0.5
3,4,First Switched Tribes,3,Jacquie,5-2,-,-,Exiled,Jacquie,Jacquie,Jacquie,-,-,-,-,-,Kelly,Jacquie,Jacquie,Kelly,,,,[],False,{},False,{},True,1,False,False,,3,"""It Was Like Christmas Morning!""","October 9, 2008",None,Kota,Sugar,"['Jacquie', '5-2']",4th Voted OutDay 12,13.28,4.4/12,Jacquie,['Kota'],0.5
4,5,First Switched Tribes,4,GC,6-1,-,-,GC,GC,GC,GC,-,-,-,-,-,GC,GC,Kelly,,,,,[],False,{},False,{},True,1,False,False,,4,"""This Camp Is Cursed""","October 16, 2008",Kota,Kota,Sugar,"['GC', '6-1']",5th Voted OutDay 15,12.81,4.2/12,GC,['Kota'],0.5
5,6,First Switched Tribes,5,Kelly,5-1,-,-,Kelly,Kelly,Kelly,Kelly,-,-,-,-,-,Kelly,Crystal,,,,,,[],False,{},False,{},True,1,False,False,,5,"""He's a Snake, but He's My Snake""","October 23, 2008",Kota,Kota,Sugar,"['Kelly', '5-1']",6th Voted OutDay 18,13.31,4.4/12,Kelly,['Kota'],0.5
6,7,First Switched Tribes,6,Ace,3-2,-,-,Ace,Crystal,Ace,Ace,-,-,-,-,-,Crystal,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""It All Depends on the Pin-Up Girl""","October 30, 2008",Kota,Marcus,Sugar,"['Ace', '3-2']",7th Voted OutDay 21,13.02,4.1/12,Ace,['Marcus'],0.14285714285714285
7,8,First Switched Tribes,6,Dan,4-3,Dan,Dan,-,-,-,-,Dan,Susie,Dan,Susie,Susie,,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""It All Depends on the Pin-Up Girl""","October 30, 2008",Kota,[Sugar],Sugar,"['Dan', '4-3']",8th Voted OutDay 21,13.02,4.1/12,Dan,[''],0.0
8,9,Second Switched Tribes,7,Marcus,3-2,Ken,Marcus,-,-,Marcus,Marcus,-,-,-,Ken,,,,,,,,,[],False,{},False,{},True,2,False,False,,7,"""Apple in the Garden of Eden""","November 6, 2008",None,Fang,None,"['Marcus', '3-2']",9th Voted Out1st Jury MemberDay 24,12.01,3.8/10,Marcus,['Fang'],0.5
9,10,Merged Tribe,8,Charlie,5-4,Crystal,Charlie,Charlie,Charlie,Charlie,Charlie,Crystal,Crystal,Crystal,,,,,,,,,,[],False,{},False,{},True,3,True,False,,8,"""The Brains Behind Everything""","November 13, 2008",Fang,Susie,Bob,"['Charlie', '5-4']",10th Voted Out2nd Jury MemberDay 27,12.88,4.1/11,Charlie,['Susie'],0.1111111111111111
10,11,Merged Tribe,9,Randy,5-3,Susie,Randy,Randy,Randy,Randy,Randy,Susie,Susie,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,9,"""Nothing Tastes Better than Five Hundred Dollars""","November 20, 2008",SurvivorAuction,Ken,Bob,"['Randy', '5-3']",11th Voted Out3rd Jury MemberDay 30,12.50,4.0/11,Randy,['Ken'],0.125
11,12,Merged Tribe,11,Corinne,4-3,Matty,Corinne,Corinne,Corinne,Matty,Corinne,Matty,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,11,"""The Good Things in Life Aren't Easy""","December 4, 2008",Bob,Bob,None,"['Corinne', '4-3']",12th Voted Out4th Jury MemberDay 33,12.73,3.9/11,Corinne,['Bob'],0.14285714285714285
12,13,Merged Tribe,12,Crystal,4-0,Crystal,Crystal,Crystal,Crystal,Matty,Matty,,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,12,"""The Good Guys Should Win in the End""","December 11, 2008","Bob[Crystal,Ken]",Bob,Susie,"['Crystal', '4-0']",13th Voted Out5th Jury MemberDay 36,13.05,4.0/11,Crystal,['Bob'],0.16666666666666666
13,14,Merged Tribe,13,Ken,4-1,Ken,Ken,Ken,Ken,Susie,,,,,,,,,,,,,,[],False,{},False,{},True,3,True,False,,13,"""Say Goodbye to Gabon""","December 14, 2008",None,Bob,None,"['Ken', '4-1']",14th Voted Out6th Jury MemberDay 37,13.77,4.4/10,Ken,['Bob'],0.2
14,15,Merged Tribe,13,Matty,2-2,Matty,Bob,Matty,Bob,,,,,,,,,,,,,,,[],True,"{'Bob': 'Matty', 'Susie': 'Bob', 'Sugar': 'Matty', 'Matty': 'Bob'}",False,{},True,3,True,False,,13,"""Say Goodbye to Gabon""","December 14, 2008",None,Susie,None,"['Matty', '2-2;Tiebreaker']",15th Voted Out7th Jury MemberDay 38,13.77,4.4/10,Matty,['Susie'],0.25
15,16,Merged Tribe,13,Bob,4-3-0,Jury Vote,Jury Vote,Jury Vote,Susie,Susie,Susie,Bob,Bob,Bob,Bob,,,,,,,,,[],False,{},False,{},True,3,True,True,"['Sugar', 'Susie', 'Bob']",13,"""Say Goodbye to Gabon""","December 14, 2008",Jury Vote,Jury Vote,Jury Vote,"['Bob', '4-3-0']",Sole Survivor,13.77,4.4/10,Bob,[],
