,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Carolina Eastwood,Carolina,[],27,West Hollywood,CA,Bartender,Jalapao,,1st Voted OutDay 3,7,16.0,False
1,Candace Smith,Candace,[],31,Los Angeles,CA,Attorney,Timbira,,2nd Voted OutDay 6,7,15.0,False
2,Jerry Sims,Jerry,[],49,Rock Hill,SC,U.S. Army Sergeant,Timbira,,3rd Voted OutDay 9,6,14.0,False
3,Sandy Burgin,Sandy,[],53,Louisville,KY,Bus Driver,Jalapao,,4th Voted OutDay 12,6,13.0,False
4,Spencer Duhm,Spencer,[],18,Gainesville,FL,Student,Jalapao,,5th Voted OutDay 15,5,12.0,False
5,Sydney Wheeler,Sydney,[],24,San Diego,CA,Model,Jalapao,,6th Voted OutDay 18,4,11.0,False
6,Joe Dowdle,Joe,[],26,Austin,TX,Real Estate Salesman,Jalapao,Forza,EvacuatedDay 20,1,10.0,False
7,Brendan Synnott,Brendan,[],30,Vail,CO,Entrepreneur,Timbira,Forza,7th Voted Out1st Jury MemberDay 24,4,9.0,False
8,Tyson Apostol,Tyson,[],29,Heber City,UT,Professional Cyclist,Timbira,Forza,8th Voted Out2nd Jury MemberDay 27,5,8.0,False
9,Sierra Reed,Sierra,[],23,Los Angeles,CA,Model,Timbira,Forza,9th Voted Out3rd Jury MemberDay 30,11,7.0,False
10,Debbie Beebe,Debbie,[],46,Auburn,AL,School Principal,Timbira,Forza,10th Voted Out4th Jury MemberDay 33,6,6.0,False
11,Coach Wade,Coach,[],37,Bolivar,MO,Soccer Coach,Timbira,Forza,11th Voted Out5th Jury MemberDay 36,6,5.0,False
12,Taj Johnson-George,Taj,[],37,Nashville,TN,Former Pop Star,Jalapao,Forza,12th Voted Out6th Jury MemberDay 37,7,4.0,False
13,Erinn Lobdell,Erinn,[],26,Milwaukee,WI,Hairstylist,Timbira,Forza,13th Voted Out7th Jury MemberDay 38,5,3.0,False
14,Stephen Fishbach,Stephen,[],29,New York City,NY,Corporate Consultant,Jalapao,Forza,Runner-Up,1,2.0,False
15,J.T. Thomas,J.T.,[],24,Mobile,AL,Cattle Rancher,Jalapao,Forza,Sole Survivor,0,1.0,False
