,Idx,Episode,Air Date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewership (in millions),Rating/Share (18-49),Immunity_2
0,1,"""Let's Get Rid of the Weak Players Before We Even Start""","February 12, 2009",Timbira,Timbira,None,"['Carolina', '7-1']",1st Voted OutDay 3,13.63,4.4/13,['Timbira']
1,2,"""The Poison Apple Needs to Go""","February 19, 2009",Jalapao,Jalapao,"['Brendan', 'Taj']","['Candace', '7-1']",2nd Voted OutDay 6,13.59,4.5/12,['Jalapao']
2,3,"""Mama Said There'd Be Days Like This""","February 26, 2009",Jalapao,Jalapao,"['Brendan', 'Taj']","['Jerry', '6-1']",3rd Voted OutDay 9,12.05,3.9/11,['Jalapao']
3,4,"""The Strongest Man Alive""","March 5, 2009",Jalapao,Timbira,"['Sierra', 'Taj']","['Sandy', '5-1-1']",4th Voted OutDay 12,11.85,3.8/10,['Timbira']
4,5,"""You're Going to Want That Tooth""","March 12, 2009",Jalapao,Timbira,"['Brendan', 'Stephen']","['Spencer', '5-1']",5th Voted OutDay 15,12.82,4.1/12,['Timbira']
5,6,"""The First 15 Days""","March 25, 2009",Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
6,7,"""One of Those 'Coach Moments'""","April 2, 2009",Timbira,Timbira,"['Joe', 'Erinn']","['Sydney', '3-2']",6th Voted OutDay 18,11.27,3.6/11,['Timbira']
7,8,"""The Dragon Slayer""","April 9, 2009",None,Tyson,None,"['Joe', 'No Vote']",EvacuatedDay 20,11.24,3.5/11,['Tyson']
8,9,"""The Biggest Fraud in the Game""","April 16, 2009","Brendan,Debbie,J.T.",Tyson,Stephen,"['Brendan', '4-3-2']",7th Voted Out1st Jury MemberDay 24,11.64,3.6/11,['Tyson']
9,10,"""It's Funny When People Cry""","April 23, 2009","Debbie,Erinn, J.T.,Tyson",Debbie,Stephen,"['Tyson', '5-3']",8th Voted Out2nd Jury MemberDay 27,11.30,3.5/11,['Debbie']
10,11,"""They Both Went Bananas""","April 30, 2009","Stephen[J.T.,Taj]",Coach,Erinn,"['Sierra', '4-2-1']",9th Voted Out3rd Jury MemberDay 30,11.73,3.6/11,['Coach']
11,12,"""The Ultimate Sacrifice""","May 7, 2009",SurvivorAuction,Stephen,Taj,"['Debbie', '4-1-1']",10th Voted Out4th Jury MemberDay 33,11.99,3.8/12,['Stephen']
12,13,"""The Martyr Approach""","May 14, 2009",J.T.[Stephen],J.T.,Coach,"['Coach', '3-2']",11th Voted Out5th Jury MemberDay 36,12.18,3.8/12,['J.T.']
13,14,"""I Trust You but I Trust Me More""","May 17, 2009",None,J.T.,None,"['Taj', '3-1']",12th Voted Out6th Jury MemberDay 37,12.94,4.2/11,['J.T.']
14,14,"""I Trust You but I Trust Me More""","May 17, 2009",None,J.T.,None,"['Erinn', '1-0']",13th Voted Out7th Jury MemberDay 38,12.94,4.2/11,['J.T.']
15,14,"""I Trust You but I Trust Me More""","May 17, 2009",Jury Vote,Jury Vote,Jury Vote,"['Stephen', '7-0']",Runner-Up,12.94,4.2/11,[]
16,14,"""I Trust You but I Trust Me More""","May 17, 2009",Jury Vote,Jury Vote,Jury Vote,"['J.T.', '7-0']",Sole Survivor,12.94,4.2/11,[]
17,1,"""Reunion""","May 17, 2009",,,,,,11.59,4.1/10,[]
