,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,J.T.,Stephen,Erinn,Taj,Coach,Debbie,Sierra,Tyson,Brendan,Joe,Sydney,Spencer,Sandy,Jerry,Candace,Carolina,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air Date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewership (in millions),Rating/Share (18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Carolina,7-1,Carolina,Carolina,-,Carolina,-,-,-,-,-,Carolina,Carolina,Carolina,Carolina,-,-,Sandy,[],False,{},False,{},True,0,False,False,,1,"""Let's Get Rid of the Weak Players Before We Even Start""","February 12, 2009",Timbira,Timbira,None,"['Carolina', '7-1']",1st Voted OutDay 3,13.63,4.4/13,Carolina,['Timbira'],0.5
1,2,Original Tribes,2,Candace,7-1,-,-,Candace,-,Candace,Candace,Candace,Candace,Candace,-,-,-,-,Candace,Sierra,,[],False,{},False,{},True,0,False,False,,2,"""The Poison Apple Needs to Go""","February 19, 2009",Jalapao,Jalapao,"['Brendan', 'Taj']","['Candace', '7-1']",2nd Voted OutDay 6,13.59,4.5/12,Candace,['Jalapao'],0.5
2,3,Original Tribes,3,Jerry,6-1,-,-,Jerry,-,Jerry,Jerry,Jerry,Jerry,Jerry,-,-,-,-,Erinn,,,[],False,{},False,{},True,0,False,False,,3,"""Mama Said There'd Be Days Like This""","February 26, 2009",Jalapao,Jalapao,"['Brendan', 'Taj']","['Jerry', '6-1']",3rd Voted OutDay 9,12.05,3.9/11,Jerry,['Jalapao'],0.5
3,4,Original Tribes,4,Sandy,5-1-1,Sandy,Sandy,-,Joe,-,-,-,-,-,Sandy,Sandy,Sandy,Sydney,,,,[],False,{},False,{},True,0,False,False,,4,"""The Strongest Man Alive""","March 5, 2009",Jalapao,Timbira,"['Sierra', 'Taj']","['Sandy', '5-1-1']",4th Voted OutDay 12,11.85,3.8/10,Sandy,['Timbira'],0.5
4,5,Original Tribes,5,Spencer,5-1,Spencer,Spencer,-,Spencer,-,-,-,-,-,Spencer,Spencer,Taj,,,,,[],False,{},False,{},True,0,False,False,,5,"""You're Going to Want That Tooth""","March 12, 2009",Jalapao,Timbira,"['Brendan', 'Stephen']","['Spencer', '5-1']",5th Voted OutDay 15,12.82,4.1/12,Spencer,['Timbira'],0.5
5,6,Original Tribes,7,Sydney,3-2,Sydney,Sydney,-,Sydney,-,-,-,-,-,Taj,Taj,,,,,,[],False,{},False,{},True,0,False,False,,7,"""One of Those 'Coach Moments'""","April 2, 2009",Timbira,Timbira,"['Joe', 'Erinn']","['Sydney', '3-2']",6th Voted OutDay 18,11.27,3.6/11,Sydney,['Timbira'],0.5
6,7,Merged Tribe,8,Joe,No Vote,-,-,-,-,-,-,-,-,-,Evacuated,,,,,,,[],False,{},False,{},False,1,True,False,,8,"""The Dragon Slayer""","April 9, 2009",None,Tyson,None,"['Joe', 'No Vote']",EvacuatedDay 20,11.24,3.5/11,Joe,['Tyson'],0.1
7,8,Merged Tribe,9,Brendan,4-3-2,Sierra,Brendan,Sierra,Brendan,Brendan,Brendan,Coach,Sierra,Coach,,,,,,,,[],False,{},False,{},True,1,True,False,,9,"""The Biggest Fraud in the Game""","April 16, 2009","Brendan,Debbie,J.T.",Tyson,Stephen,"['Brendan', '4-3-2']",7th Voted Out1st Jury MemberDay 24,11.64,3.6/11,Brendan,['Tyson'],0.1111111111111111
8,9,Merged Tribe,10,Tyson,5-3,Tyson,Tyson,Tyson,Tyson,Sierra,Sierra,Tyson,Sierra,,,,,,,,,[],False,{},False,{},True,1,True,False,,10,"""It's Funny When People Cry""","April 23, 2009","Debbie,Erinn, J.T.,Tyson",Debbie,Stephen,"['Tyson', '5-3']",8th Voted Out2nd Jury MemberDay 27,11.30,3.5/11,Tyson,['Debbie'],0.125
9,10,Merged Tribe,11,Sierra,4-2-1,Sierra,Sierra,Stephen,Debbie,Sierra,Sierra,Debbie,,,,,,,,,,[],False,{},False,{},True,1,True,False,,11,"""They Both Went Bananas""","April 30, 2009","Stephen[J.T.,Taj]",Coach,Erinn,"['Sierra', '4-2-1']",9th Voted Out3rd Jury MemberDay 30,11.73,3.6/11,Sierra,['Coach'],0.14285714285714285
10,11,Merged Tribe,12,Debbie,4-1-1,Debbie,Debbie,Debbie,Debbie,Taj,Coach,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,12,"""The Ultimate Sacrifice""","May 7, 2009",SurvivorAuction,Stephen,Taj,"['Debbie', '4-1-1']",10th Voted Out4th Jury MemberDay 33,11.99,3.8/12,Debbie,['Stephen'],0.16666666666666666
11,12,Merged Tribe,13,Coach,3-2,Erinn,Coach,Coach,Coach,Erinn,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,13,"""The Martyr Approach""","May 14, 2009",J.T.[Stephen],J.T.,Coach,"['Coach', '3-2']",11th Voted Out5th Jury MemberDay 36,12.18,3.8/12,Coach,['J.T.'],0.2
12,13,Merged Tribe,14,Taj,3-1,Taj,Taj,Taj,Erinn,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,14,"""I Trust You but I Trust Me More""","May 17, 2009",None,J.T.,None,"['Taj', '3-1']",12th Voted Out6th Jury MemberDay 37,12.94,4.2/11,Taj,['J.T.'],0.25
13,14,Merged Tribe,14,Erinn,1-0,Erinn,None,None,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,14,"""I Trust You but I Trust Me More""","May 17, 2009",None,J.T.,None,"['Erinn', '1-0']",13th Voted Out7th Jury MemberDay 38,12.94,4.2/11,Erinn,['J.T.'],0.3333333333333333
