,Idx,Episode,Air date,Reward,Immunity,Observer,Eliminated(Vote),Finish,Viewership (in millions),Rating/Share (18-49),Immunity_2
0,1,"""The Puppet Master""","September 17, 2009",Foa Foa,Galu,None,"['Marisa', '7-3']",1st Voted OutDay 3,11.66,3.6/11,['Galu']
1,2,"""Taking Candy from a Baby""","September 24, 2009",Galu,Galu,Yasmin,"['Mike', 'No Vote']",EvacuatedDay 5,11.66,3.7/11,['Galu']
2,2,"""Taking Candy from a Baby""","September 24, 2009",Galu,Galu,Yasmin,"['Betsy', '7-1']",2nd Voted OutDay 6,11.66,3.7/11,['Galu']
3,3,"""It's Called a Russell Seed""","October 1, 2009",Galu,Galu,Shambo,"['Ben', '6-1']",3rd Voted OutDay 8,11.54,3.7/11,['Galu']
4,4,"""Hungry for a Win""","October 8, 2009",Galu,Foa Foa,None,"['Yasmin', '8-2']",4th Voted OutDay 11,11.69,3.4/10,['Foa Foa']
5,5,"""Walking on Thin Ice""","October 15, 2009",Galu,Galu,Shambo,"['Ashley', '5-1']",5th Voted OutDay 14,11.78,3.5/10,['Galu']
6,6,"""This Is the Man Test""","October 22, 2009",Neither,None,None,"['Russell S.', 'No Vote']",EvacuatedDay 15,12.90,4.0/12,[]
7,7,"""Houdini Magic""","October 29, 2009",Galu,Galu,Laura,"['Liz', '4-1']",6th Voted OutDay 18,12.19,3.7/10,['Galu']
8,8,"""All Hell Breaks Loose""","November 5, 2009",None,"['John', 'Laura']",,"['Erik', '10-2']",7th Voted Out1st Jury MemberDay 21,12.44,3.7/10,"['John', 'Laura']"
9,9,"""Tastes Like Chicken""","November 12, 2009","Dave, John,Kelly,Monica,Shambo",Laura,,"['Kelly', '4-0']",8th Voted Out2nd Jury MemberDay 24,12.94,4.0/10,['Laura']
10,10,"""The Day of Reckoning""","November 19, 2009","Brett, Dave,Laura,Natalie,Russell H.",Mick,,"['Laura', '5-5;5-3']",9th Voted Out3rd Jury MemberDay 27,12.33,3.8/11,['Mick']
11,11,"""The First 27 Days""","November 26, 2009",Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
12,12,"""Off with Their Heads!""","December 3, 2009",SurvivorAuction,Jaison,,"['John', '7-1-1']",10th Voted Out4th Jury MemberDay 30,12.82,3.9/11,['Jaison']
13,13,"""Damage Control""","December 10, 2009",None,Jaison,,"['Dave', '7-1']",11th Voted Out5th Jury MemberDay 31,13.25,4.2/12,['Jaison']
14,13,"""Damage Control""","December 10, 2009",None,Brett,,"['Monica', '5-2']",12th Voted Out6th Jury MemberDay 33,13.25,4.2/12,['Brett']
15,14,"""Two Brains Are Better than One""","December 17, 2009","Jaison,Russell H.,Shambo",Brett,,"['Shambo', '5-1']",13th Voted Out7th Jury MemberDay 36,12.56,3.9/12,['Brett']
16,15,"""This Game Ain't Over""","December 20, 2009",None,Brett,,"['Jaison', '4-1']",14th Voted Out8th Jury MemberDay 37,13.97,4.4/11,['Brett']
17,15,"""This Game Ain't Over""","December 20, 2009",None,Russell H.,,"['Brett', '3-1']",15th Voted Out9th Jury MemberDay 38,13.97,4.4/11,['Russell H.']
18,15,"""This Game Ain't Over""","December 20, 2009",Jury Vote,Jury Vote,Jury Vote,"['Mick', '7-2-0']",Second Runner-Up,13.97,4.4/11,[]
19,15,"""This Game Ain't Over""","December 20, 2009",Jury Vote,Jury Vote,Jury Vote,"['Russell H.', '7-2-0']",Runner-Up,13.97,4.4/11,[]
20,15,"""This Game Ain't Over""","December 20, 2009",Jury Vote,Jury Vote,Jury Vote,"['Natalie', '7-2-0']",Sole Survivor,13.97,4.4/11,[]
21,16,"""Reunion""","December 20, 2009",,,,,,11.68,3.8/10,[]
