,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Natalie,Russell H.,Mick,Brett,Jaison,Shambo,Monica,Dave,John,Laura,Kelly,Erik,Liz,Russell S.,Ashley,Yasmin,Ben,Betsy,Mike,Marisa,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Observer,Eliminated(Vote),Finish,Viewership (in millions),Rating/Share (18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Marisa,7-3,Marisa,Marisa,Ashley,-,Marisa,-,-,-,-,-,-,-,Marisa,-,Marisa,-,Marisa,Ashley,Marisa,Ashley,[],False,{},False,{},True,0,False,False,,1,"""The Puppet Master""","September 17, 2009",Foa Foa,Galu,None,"['Marisa', '7-3']",1st Voted OutDay 3,11.66,3.6/11,Marisa,['Galu'],0.5
1,2,Original Tribes,2,Mike,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Evacuated,,[],False,{},False,{},False,0,False,False,,2,"""Taking Candy from a Baby""","September 24, 2009",Galu,Galu,Yasmin,"['Mike', 'No Vote']",EvacuatedDay 5,11.66,3.7/11,Mike,['Galu'],0.5
2,3,Original Tribes,2,Betsy,7-1,Betsy,Betsy,Betsy,-,Betsy,-,-,-,-,-,-,-,Betsy,-,Betsy,-,Betsy,Ben,,,[],False,{},False,{},True,0,False,False,,2,"""Taking Candy from a Baby""","September 24, 2009",Galu,Galu,Yasmin,"['Betsy', '7-1']",2nd Voted OutDay 6,11.66,3.7/11,Betsy,['Galu'],0.5
3,4,Original Tribes,3,Ben,6-1,Ben,Ben,Ben,-,Ben,-,-,-,-,-,-,-,Ben,-,Ben,-,Ashley,,,,[],False,{},False,{},True,0,False,False,,3,"""It's Called a Russell Seed""","October 1, 2009",Galu,Galu,Shambo,"['Ben', '6-1']",3rd Voted OutDay 8,11.54,3.7/11,Ben,['Galu'],0.5
4,5,Original Tribes,4,Yasmin,8-2,-,-,-,Yasmin,-,Monica,Yasmin,Yasmin,Yasmin,Yasmin,Yasmin,Yasmin,-,Yasmin,-,Monica,,,,,[],False,{},False,{},True,0,False,False,,4,"""Hungry for a Win""","October 8, 2009",Galu,Foa Foa,None,"['Yasmin', '8-2']",4th Voted OutDay 11,11.69,3.4/10,Yasmin,['Foa Foa'],0.5
5,6,Original Tribes,5,Ashley,5-1,Ashley,Ashley,Ashley,-,Ashley,-,-,-,-,-,-,-,Ashley,-,Liz,,,,,,[],False,{},False,{},True,0,False,False,,5,"""Walking on Thin Ice""","October 15, 2009",Galu,Galu,Shambo,"['Ashley', '5-1']",5th Voted OutDay 14,11.78,3.5/10,Ashley,['Galu'],0.5
6,7,Original Tribes,6,Russell S.,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,Evacuated,,,,,,,[],False,{},False,{},False,0,False,False,,6,"""This Is the Man Test""","October 22, 2009",Neither,None,None,"['Russell S.', 'No Vote']",EvacuatedDay 15,12.90,4.0/12,Russell S.,[],0.0
7,8,Original Tribes,7,Liz,4-1,Liz,Liz,Liz,-,Liz,-,-,-,-,-,-,-,Jaison,,,,,,,,[],False,{},False,{},True,0,False,False,,7,"""Houdini Magic""","October 29, 2009",Galu,Galu,Laura,"['Liz', '4-1']",6th Voted OutDay 18,12.19,3.7/10,Liz,['Galu'],0.5
8,9,Merged Tribe,8,Erik,10-2-0,Erik,Erik,Erik,Erik,Erik,Jaison,Erik,Erik,Erik,Erik,Erik,Jaison,,,,,,,,,[],False,{},False,{},True,1,True,False,,8,"""All Hell Breaks Loose""","November 5, 2009",None,"['John', 'Laura']",,"['Erik', '10-2']",7th Voted Out1st Jury MemberDay 21,12.44,3.7/10,Erik,"['John', 'Laura']",0.16666666666666666
9,10,Merged Tribe,9,Kelly,4-0,Kelly,Kelly,Kelly,Russell H.,Kelly,Russell H.,Russell H.,Russell H.,Russell H.,Russell H.,Russell H.,,,,,,,,,,[],False,{},False,{},True,1,True,False,,9,"""Tastes Like Chicken""","November 12, 2009","Dave, John,Kelly,Monica,Shambo",Laura,,"['Kelly', '4-0']",8th Voted Out2nd Jury MemberDay 24,12.94,4.0/10,Kelly,['Laura'],0.09090909090909091
10,11,Merged Tribe,10,Laura,5-5,Laura,Laura,Laura,Natalie,Laura,Laura,Natalie,Natalie,Natalie,Natalie,,,,,,,,,,,[],True,"{'Natalie': 'Laura', 'Russell H.': 'Laura', 'Mick': 'Laura', 'Brett': 'Natalie', 'Jaison': 'Laura', 'Shambo': 'Laura', 'Monica': 'Natalie', 'Dave': 'Natalie', 'John': 'Natalie', 'Laura': 'Natalie'}",False,{},True,1,True,False,,10,"""The Day of Reckoning""","November 19, 2009","Brett, Dave,Laura,Natalie,Russell H.",Mick,,"['Laura', '5-5;5-3']",9th Voted Out3rd Jury MemberDay 27,12.33,3.8/11,Laura,['Mick'],0.1
11,12,Merged Tribe,12,John,7-1-1,John,John,John,John,John,Dave,John,John,Mick,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,12,"""Off with Their Heads!""","December 3, 2009",SurvivorAuction,Jaison,,"['John', '7-1-1']",10th Voted Out4th Jury MemberDay 30,12.82,3.9/11,John,['Jaison'],0.1111111111111111
12,13,Merged Tribe,13,Dave,7-1,Dave,Dave,Dave,Dave,Dave,Dave,Dave,Shambo,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,13,"""Damage Control""","December 10, 2009",None,Jaison,,"['Dave', '7-1']",11th Voted Out5th Jury MemberDay 31,13.25,4.2/12,Dave,['Jaison'],0.125
13,14,Merged Tribe,13,Monica,5-2,Monica,Monica,Monica,Russell H.,Monica,Monica,Russell H.,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,13,"""Damage Control""","December 10, 2009",None,Brett,,"['Monica', '5-2']",12th Voted Out6th Jury MemberDay 33,13.25,4.2/12,Monica,['Brett'],0.14285714285714285
14,15,Merged Tribe,14,Shambo,5-1,Shambo,Shambo,Shambo,Shambo,Shambo,Mick,,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,14,"""Two Brains Are Better than One""","December 17, 2009","Jaison,Russell H.,Shambo",Brett,,"['Shambo', '5-1']",13th Voted Out7th Jury MemberDay 36,12.56,3.9/12,Shambo,['Brett'],0.16666666666666666
15,16,Merged Tribe,15,Jaison,4-1,Jaison,Jaison,Jaison,Jaison,Mick,,,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,15,"""This Game Ain't Over""","December 20, 2009",None,Brett,,"['Jaison', '4-1']",14th Voted Out8th Jury MemberDay 37,13.97,4.4/11,Jaison,['Brett'],0.2
16,17,Merged Tribe,15,Brett,3-1,Brett,Brett,Brett,Mick,,,,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,15,"""This Game Ain't Over""","December 20, 2009",None,Russell H.,,"['Brett', '3-1']",15th Voted Out9th Jury MemberDay 38,13.97,4.4/11,Brett,['Russell H.'],0.25
17,18,Merged Tribe,15,Natalie,7-2-0,Jury Vote,Jury Vote,Jury Vote,Natalie,Natalie,Russell H.,Natalie,Natalie,Russell H.,Natalie,Natalie,Natalie,,,,,,,,,[],False,{},False,{},True,1,True,True,"['Mick', 'Russell H.', 'Natalie']",15,"""This Game Ain't Over""","December 20, 2009",Jury Vote,Jury Vote,Jury Vote,"['Natalie', '7-2-0']",Sole Survivor,13.97,4.4/11,Natalie,[],
