,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Sandra,Parvati,Russell,Jerri,Colby,Rupert,Danielle,Candice,Amanda,J.T.,Courtney,Coach,Rob,James,Tyson,Tom,Cirie,Randy,Stephenie,Sugar,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewership(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Sugar,9-1,-,-,-,-,Sugar,Sugar,-,Sugar,Sugar,Sugar,-,-,-,Sugar,-,Sugar,Sugar,-,Sugar,Amanda,[],False,{},False,{},True,0,False,False,,1,"""Slay Everyone, Trust No One""","February 11, 2010",Heroes,Villains,"['Sugar', '9-1']",1st Voted OutDay 3,14.15,4.5/12,Sugar,['Villains'],0.5
1,2,Original Tribes,2,Stephenie,6-3,-,-,-,-,Amanda,Stephenie,-,Stephenie,Stephenie,Stephenie,-,-,-,Stephenie,-,Amanda,Stephenie,-,Amanda,,[],False,{},False,{},True,0,False,False,,2,"""It's Getting the Best of Me""","February 18, 2010",Villains,Villains,"['Stephenie', '6-3']",2nd Voted OutDay 6,11.97,3.9/11,Stephenie,['Villains'],0.5
2,3,Original Tribes,3,Randy,9-1,Randy,Randy,Randy,Randy,-,-,Randy,-,-,-,Randy,Randy,Randy,-,Randy,-,-,Rob,,,[],False,{},False,{},True,0,False,False,,3,"""That Girl Is Like a Virus""","February 25, 2010",Heroes,Heroes,"['Randy', '9-1']",3rd Voted OutDay 8,11.60,3.7/10,Randy,['Heroes'],0.5
3,4,Original Tribes,4,Cirie,3-2-0,-,-,-,-,Cirie,Colby,-,Tom,Tom,Cirie,-,-,-,Colby,-,Cirie,Tom,,,,[],False,{},False,{},True,0,False,False,,4,"""Tonight, We Make Our Move""","March 4, 2010",Villains,Villains,"['Cirie', '3-2-0']",4th Voted OutDay 11,12.72,3.8/11,Cirie,['Villains'],0.5
4,5,Original Tribes,5,Tom,5-2,-,-,-,-,James,Tom,-,Tom,Tom,Tom,-,-,-,Tom,-,James,,,,,[],False,{},False,{},True,0,False,False,,5,"""Knights of the Round Table""","March 11, 2010",Villains,Villains,"['Tom', '5-2']",5th Voted OutDay 14,12.12,3.6/11,Tom,['Villains'],0.5
5,6,Original Tribes,6,Tyson,3-2-0,Russell,Tyson,Tyson,Parvati,-,-,Tyson,-,-,-,Parvati,Parvati,Russell,-,Parvati,,,,,,[],False,{},False,{},True,0,False,False,,6,"""Banana Etiquette""","March 24, 2010",Villains,Rob,"['Tyson', '3-2-0']",6th Voted OutDay 15,11.15,3.4/11,Tyson,['Rob'],0.1111111111111111
6,7,Original Tribes,6,James,5-1,-,-,-,-,James,James,-,James,James,James,-,-,-,Colby,,,,,,,[],False,{},False,{},True,0,False,False,,6,"""Banana Etiquette""","March 24, 2010",Villains,Candice,"['James', '5-1']",7th Voted OutDay 15,11.15,3.4/11,James,['Candice'],0.16666666666666666
7,8,Original Tribes,7,Rob,4-3-1,Russell,Rob,Rob,Rob,-,-,Rob,-,-,-,Russell,Courtney,Russell,,,,,,,,[],False,{},False,{},True,0,False,False,,7,"""I'm Not a Good Villain""","April 1, 2010",Heroes,Heroes,"['Rob', '4-3-1']",8th Voted OutDay 18,11.26,3.5/13,Rob,['Heroes'],0.5
8,9,Original Tribes,8,Coach,4-3,Coach,Coach,Courtney,Courtney,-,-,Coach,-,-,-,Coach,Courtney,,,,,,,,,[],False,{},False,{},True,0,False,False,,8,"""Expectations""","April 8, 2010",Heroes,Heroes,"['Coach', '4-3']",9th Voted Out1st Jury MemberDay 21,11.28,3.8/12,Coach,['Heroes'],0.5
9,10,Original Tribes,9,Courtney,5-1,Courtney,Courtney,Courtney,Courtney,-,-,Courtney,-,-,-,Jerri,,,,,,,,,,[],False,{},False,{},True,0,False,False,,9,"""Survivor History""","April 15, 2010",Villains,Heroes,"['Courtney', '5-1']",10th Voted Out2nd Jury MemberDay 24,12.31,3.8/12,Courtney,['Heroes'],0.5
10,11,Merged Tribe,10,J.T.,5-0,J.T.,J.T.,J.T.,J.T.,Jerri,Jerri,J.T.,Jerri,Jerri,Jerri,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,10,"""Going Down in Flames""","April 22, 2010",None,Danielle,"['J.T.', '5-0']",11th Voted Out3rd Jury MemberDay 27,11.89,3.6/11,J.T.,['Danielle'],0.1
11,12,Merged Tribe,11,Amanda,6-3,Amanda,Amanda,Amanda,Amanda,Parvati,Parvati,Amanda,Amanda,Parvati,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,11,"""Jumping Ship""","April 29, 2010","Amanda,Colby,Danielle",Jerri,"['Amanda', '6-3']",12th Voted Out4th Jury MemberDay 30,12.74,4.1/13,Amanda,['Jerri'],0.1111111111111111
12,13,Merged Tribe,12,Candice,5-3,Candice,Rupert,Candice,Candice,Candice,Candice,Rupert,Rupert,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,12,"""A Sinking Ship""","May 6, 2010",None,Parvati,"['Candice', '5-3']",13th Voted Out5th Jury MemberDay 31,13.06,4.1/14,Candice,['Parvati'],0.125
13,14,Merged Tribe,12,Danielle,4-3,Rupert,Rupert,Danielle,Danielle,Danielle,Danielle,Rupert,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,12,"""A Sinking Ship""","May 6, 2010",None,Russell,"['Danielle', '4-3']",14th Voted Out6th Jury MemberDay 33,13.06,4.1/14,Danielle,['Russell'],0.14285714285714285
14,15,Merged Tribe,13,Rupert,4-0,Rupert,Rupert,Rupert,Rupert,Sandra,Sandra,,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,13,"""Loose Lips Sink Ships""","May 13, 2010","Jerri[Parvati,Sandra]",Parvati,"['Rupert', '4-0']",15th Voted Out7th Jury MemberDay 36,13.28,4.1/13,Rupert,['Parvati'],0.16666666666666666
15,16,Merged Tribe,14,Colby,4-1,Colby,Colby,Colby,Colby,Sandra,,,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,14,"""Anything Could Happen""","May 16, 2010",None,Parvati,"['Colby', '4-1']",16th Voted Out8th Jury MemberDay 37,13.46,4.2/11,Colby,['Parvati'],0.2
16,17,Merged Tribe,14,Jerri,3-1,Jerri,Jerri,Jerri,Parvati,,,,,,,,,,,,,,,,,[],False,{},False,{},True,1,True,False,,14,"""Anything Could Happen""","May 16, 2010",None,Russell,"['Jerri', '3-1']",17th Voted Out9th Jury MemberDay 38,13.46,4.2/11,Jerri,['Russell'],0.25
17,18,Merged Tribe,14,Sandra,6-3-0,Jury Vote,Jury Vote,Jury Vote,Parvati,Sandra,Sandra,Parvati,Sandra,Sandra,Sandra,Sandra,Parvati,,,,,,,,,[],False,{},False,{},True,1,True,True,"['Russell', 'Parvati', 'Sandra']",14,"""Anything Could Happen""","May 16, 2010",Jury Vote,Jury Vote,"['Sandra', '6-3-0']",Sole Survivor,13.46,4.2/11,Sandra,[],
