Voter,Tribal_1,Tribal_2,Tribal_3,Tribal_4,Tribal_5,Tribal_6,Tribal_7,Tribal_8,Tribal_9,Tribal_10,Tribal_11,Tribal_12,Tribal_13,Tribal_14,Tribal_15,Tribal_16,Tribal_17,Final Tribal,Final Tribal,Final Tribal
Tribal #:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18
Tribe Status:,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe
Episode #:,1,2,3,4,5,6,6,7,8,9,10,11,12,12,13,14,14,14,14,14
Voted out:,Sugar,Stephenie,Randy,Cirie,Tom,Tyson,James,Rob,Coach,Courtney,J.T.,Amanda,Candice,Danielle,Rupert,Colby,Jerri,Russell,Parvati,Sandra
Vote:,9-1,6-3,9-1,3-2-0,5-2,3-2-0,5-1,4-3-1,4-3,5-1,5-0,6-3,5-3,4-3,4-0,4-1,3-1,6-3-0,6-3-0,6-3-0
Sandra,-,-,Randy,-,-,Russell,-,Russell,Coach,Courtney,J.T.,Amanda,Candice,Rupert,Rupert,Colby,Jerri,Jury Vote,Jury Vote,Jury Vote
Parvati,-,-,Randy,-,-,Tyson,-,Rob,Coach,Courtney,J.T.,Amanda,Rupert,Rupert,Rupert,Colby,Jerri,Jury Vote,Jury Vote,Jury Vote
Russell,-,-,Randy,-,-,Tyson,-,Rob,Courtney,Courtney,J.T.,Amanda,Candice,Danielle,Rupert,Colby,Jerri,Jury Vote,Jury Vote,Jury Vote
Jerri,-,-,Randy,-,-,Parvati,-,Rob,Courtney,Courtney,J.T.,Amanda,Candice,Danielle,Rupert,Colby,Parvati,,Parvati,
Colby,Sugar,Amanda,-,Cirie,James,-,James,-,-,-,Jerri,Parvati,Candice,Danielle,Sandra,Sandra,,,,Sandra
Rupert,Sugar,Stephenie,-,Colby,Tom,-,James,-,-,-,Jerri,Parvati,Candice,Danielle,Sandra,,,,,Sandra
Danielle,-,-,Randy,-,-,Tyson,-,Rob,Coach,Courtney,J.T.,Amanda,Rupert,Rupert,,,,,Parvati,
Candice,Sugar,Stephenie,-,Tom,Tom,-,James,-,-,-,Jerri,Amanda,Rupert,,,,,,,Sandra
Amanda,Sugar,Stephenie,-,Tom,Tom,-,James,-,-,-,Jerri,Parvati,,,,,,,,Sandra
J.T.,Sugar,Stephenie,-,Cirie,Tom,-,James,-,-,-,Jerri,,,,,,,,,Sandra
Courtney,-,-,Randy,-,-,Parvati,-,Russell,Coach,Jerri,,,,,,,,,,Sandra
Coach,-,-,Randy,-,-,Parvati,-,Courtney,Courtney,,,,,,,,,,Parvati,
Rob,-,-,Randy,-,-,Russell,-,Russell,,,,,,,,,,,,
James,Sugar,Stephenie,-,Colby,Tom,-,Colby,,,,,,,,,,,,,
Tyson,-,-,Randy,-,-,Parvati,,,,,,,,,,,,,,
Tom,Sugar,Amanda,-,Cirie,James,,,,,,,,,,,,,,,
Cirie,Sugar,Stephenie,-,Tom,,,,,,,,,,,,,,,,
Randy,-,-,Rob,,,,,,,,,,,,,,,,,
Stephenie,Sugar,Amanda,,,,,,,,,,,,,,,,,,
Sugar,Amanda,,,,,,,,,,,,,,,,,,,
