,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Fabio,Chase,Sash,Holly,Dan,Jane,Benry,Kelly S.,NaOnka,Brenda,Marty,Alina,Jill,Yve,Kelly B.,Tyrone,Jimmy T.,Jimmy J.,Shannon,Wendy,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Medallion of Power,Eliminated(Vote),Finish,Viewership (in millions),Rating/Share (18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Wendy,9-1,-,-,-,Wendy,Wendy,Wendy,-,-,-,-,Wendy,-,Wendy,Wendy,-,Wendy,Wendy,Wendy,-,Yve,[],False,{},False,{},True,0,False,False,,1,"""Young at Heart""","September 15, 2010",La Flor,La Flor,✘,"['Wendy', '9-1']",1st Voted OutDay 3,12.23,4.0/13,Wendy,['La Flor'],0.5
1,2,Original Tribes,2,Shannon,7-3,Brenda,Shannon,Shannon,-,-,-,Shannon,Shannon,Shannon,Shannon,-,Brenda,-,-,Shannon,-,-,-,Brenda,,[],False,{},False,{},True,0,False,False,,2,"""Fatigue Makes Cowards of Us All""","September 22, 2010",Espada,Espada,✔,"['Shannon', '7-3']",2nd Voted OutDay 6,12.59,4.0/12,Shannon,['Espada'],0.5
2,3,Original Tribes,3,Jimmy J.,8-1,-,-,-,Jimmy J.,Jimmy J.,Jimmy J.,-,-,-,-,Jimmy J.,-,Jimmy J.,Jimmy J.,-,Jimmy J.,Jimmy J.,Dan,,,[],False,{},False,{},True,0,False,False,,3,"""Glitter in Their Eyes""","September 29, 2010",La Flor,La Flor,✘,"['Jimmy J.', '8-1']",3rd Voted OutDay 8,12.26,3.5/11,Jimmy J.,['La Flor'],0.5
3,4,Original Tribes,4,Jimmy T.,5-3,-,-,-,Dan,Jimmy T.,Dan,-,-,-,-,Jimmy T.,-,Jimmy T.,Jimmy T.,-,Jimmy T.,Dan,,,,[],False,{},False,{},True,0,False,False,,4,"""Pulling the Trigger""","October 6, 2010",La Flor,La Flor,✔,"['Jimmy T.', '5-3']",4th Voted OutDay 11,12.05,3.8/11,Jimmy T.,['La Flor'],0.5
4,5,Switched Tribes,5,Tyrone,6-2,-,Tyrone,-,Tyrone,Tyrone,-,Tyrone,-,Tyrone,-,-,Tyrone,-,NaOnka,-,NaOnka,,,,,[],False,{},False,{},True,1,False,False,,5,"""Turf Wars""","October 13, 2010",Espada,La Flor,,"['Tyrone', '6-2']",5th Voted OutDay 14,12.32,3.8/11,Tyrone,['La Flor'],0.5
5,6,Switched Tribes,6,Kelly B.,3-3-2,Kelly B.,-,Marty,-,-,Marty,-,Kelly B.,-,Kelly B.,Brenda,-,Brenda,-,Marty,,,,,,[],True,"{'Fabio': 'Kelly B.', 'Chase': '-', 'Sash': 'Marty', 'Holly': '-', 'Dan': '-', 'Jane': 'Marty', 'Benry': '-', 'Kelly S.': 'Kelly B.', 'NaOnka': '-', 'Brenda': 'Kelly B.', 'Marty': 'Brenda', 'Alina': '-', 'Jill': 'Brenda', 'Yve': '-', 'Kelly B.': 'Marty'}",False,{},True,1,False,False,,6,"""Worst Case Scenario""","October 20, 2010",La Flor,Jill,,"['Kelly B.', '3-3-2;5-1']",6th Voted OutDay 15,12.26,3.6/11,Kelly B.,['Jill'],0.125
6,7,Switched Tribes,6,Yve,6-1,-,Yve,-,Yve,Yve,-,Yve,-,Yve,-,-,Yve,-,Dan,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Worst Case Scenario""","October 20, 2010",La Flor,Holly,,"['Yve', '6-1']",7th Voted OutDay 15,12.26,3.6/11,Yve,['Holly'],0.14285714285714285
7,8,Switched Tribes,7,Jill,3-2-2,Marty,-,Jill,-,-,Marty,-,Jill,-,Jill,Jane,-,Jane,,,,,,,,[],False,{},False,{},True,1,False,False,,7,"""What Goes Around, Comes Around""","October 27, 2010",Espada,Espada,,"['Jill', '3-2-2']",8th Voted OutDay 18,11.82,3.5/10,Jill,['Espada'],0.5
8,9,Merged Tribe,8,Alina,10-2,Alina,Alina,Alina,Alina,Alina,Marty,Alina,Alina,Alina,Alina,Alina,Marty,,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Company Will Be Arriving Soon""","November 3, 2010",None,"['Jane', 'Fabio']",,"['Alina', '10-2']",9th Voted Out1st Jury MemberDay 22,12.30,3.7/11,Alina,"['Jane', 'Fabio']",0.16666666666666666
9,10,Merged Tribe,9,Marty,7-4,Jane,Marty,Marty,Marty,Jane,Marty,Jane,Marty,Marty,Marty,Jane,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Running the Camp""","November 10, 2010","Benry, Dan,Fabio,Marty, Sash",Brenda,,"['Marty', '7-4']",10th Voted Out2nd Jury MemberDay 24,11.29,3.2/10,Marty,['Brenda'],0.09090909090909091
