,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,RedemptionIsland Status,VotesAgainst,Place,Returnee
0,Francesca Hogi,Francesca,[],36,Washington,D.,Attorney,Ometepe,,1st Voted OutDay 3,1st EliminatedDay 6,4,18.0,False
1,Russell Hantz,Russell,"['Samoa', 'Heroes vs. Villains']",37,Dayton,TX,,Zapatera,,3rd Voted OutDay 8,2nd EliminatedDay 10,8,17.0,True
2,Kristina Kell,Kristina,[],45,Malibu,CA,Law Student,Ometepe,,4th Voted OutDay 11,3rd EliminatedDay 12,9,16.0,False
3,Krista Klumpp,Krista,[],25,Columbia,SC,Pharmaceutical Representative,Zapatera,,5th Voted OutDay 13,4th EliminatedDay 14,6,15.0,False
4,Stephanie Valencia,Stephanie,[],25,Long Beach,CA,Waitress,Zapatera,,6th Voted OutDay 16,5th EliminatedDay 17,8,14.0,False
5,Sarita White,Sarita,[],35,Santa Monica,CA,Visual Effects Producer,Zapatera,,7th Voted OutDay 18,6th EliminatedDay 19,6,13.0,False
6,David Murphy,David,[],31,West Hollywood,CA,Defense Attorney,Zapatera,Murlonio,10th Voted OutDay 24,7th Eliminated1st Jury MemberDay 25,8,12.0,False
7,Julie Wolfe,Julie,[],50,Oceanside,CA,Firefighter,Zapatera,Murlonio,11th Voted OutDay 27,8th Eliminated2nd Jury MemberDay 28,6,11.0,False
8,Steve Wright,Steve,[],51,Huntington Beach,CA,Ex-NFL Player,Zapatera,Murlonio,13th Voted OutDay 30,9th Eliminated3rd Jury MemberDay 31,9,10.0,False
9,Ralph Kiser,Ralph,[],44,Lebanon,VA,Farmer,Zapatera,Murlonio,12th Voted OutDay 30,10th Eliminated4th Jury MemberDay 33,10,9.0,False
10,Grant Mattos,Grant,[],29,West Hollywood,CA,Ex-NFL Player,Ometepe,Murlonio,15th Voted OutDay 35,11th Eliminated5th Jury MemberDay 36,10,8.0,False
11,Matt Elrod,Matt,[],21,Nashville,TN,Pre-Med Student,Ometepe,Murlonio,"['2nd Voted OutDay 5', '8th Voted OutDay 21']","['1st ReturneeDay 19', '12th Eliminated6th Jury MemberDay 36']",10,7.0,False
12,Mike Chiesl,Mike,[],30,Del Mar,CA,Iraq War Veteran,Zapatera,Murlonio,9th Voted OutDay 22,13th Eliminated7th Jury MemberDay 36,6,6.0,False
13,Andrea Boehlke,Andrea,[],21,Random Lake,WI,Student,Ometepe,Murlonio,"['14th Voted OutDay 32', '16th Voted Out8th Jury MemberDay 37']","['2nd ReturneeDay 36', '']",9,5.0,False
14,Ashley Underwood,Ashley,[],25,Benton,ME,Nurse,Ometepe,Murlonio,17th Voted Out9th Jury MemberDay 38,,3,4.0,False
15,Natalie Tenerelli,Natalie,[],19,Acton,CA,Professional Dancer,Ometepe,Murlonio,SecondRunner-Up,,1,3.0,False
16,Phillip Sheppard,Phillip,[],52,Santa Monica,CA,Former Federal Agent,Ometepe,Murlonio,Runner-Up,,17,2.0,False
17,Rob Mariano,Rob,"['Marquesas', 'All-Stars', 'Heroes vs. Villains']",34,Pensacola,FL,,Ometepe,Murlonio,Sole Survivor,,7,1.0,True
