,Idx,Episode,Air Date,Inhabitant,Challenger,Eliminated,Finish,Immunity,Eliminated(Vote),Status,Viewership(in millions),Rating/Share (18-49),,Immunity_2
0,1,"""You're Looking at the New Leader of Your Tribe""","February 16, 2011",,,,,Zapatera,"['Francesca', '4-3-2']",1st Voted OutDay 3,11.16,3.2/9,,['Zapatera']
1,2,"""You Own My Vote""","February 23, 2011",Francesca,,,,Zapatera,"['Matt', '4-2-0']",2nd Voted OutDay 5,10.93,3.1/9,,['Zapatera']
2,3,"""Keep Hope Alive""","March 2, 2011",Francesca,Matt,Francesca,1st EliminatedDay 6,Ometepe,"['Russell', '3-3-3;5-1-0']",3rd Voted OutDay 8,11.32,3.3/10,,['Ometepe']
3,4,"""Don't You Work for Me?""","March 9, 2011",Matt,Russell,Russell,2nd EliminatedDay 10,Zapatera,"['Kristina', '4-3']",4th Voted OutDay 11,10.96,3.2/9,,['Zapatera']
4,5,"""We Hate Our Tribe""","March 16, 2011",Matt,Kristina,Kristina,3rd EliminatedDay 12,Ometepe,"['Krista', '6-2']",5th Voted OutDay 13,10.73,3.2/10,,['Ometepe']
5,6,"""Their Red-Headed Stepchild""","March 23, 2011",Matt,Krista,Krista,4th EliminatedDay 14,Ometepe,"['Stephanie', '5-2']",6th Voted OutDay 16,11.00,3.1/9,,['Ometepe']
6,7,"""It Don't Take a Smart One""","March 30, 2011",Matt,Stephanie,Stephanie,5th EliminatedDay 17,Ometepe,"['Sarita', '4-2']",7th Voted OutDay 18,11.01,3.1/9,,['Ometepe']
7,8,"""This Game Respects Big Moves""","April 6, 2011",Matt,Sarita,"['Sarita', 'Matt']","['6th EliminatedDay 19', '1st ReturneeDay 19']",Natalie,"['Matt', '6-5-1']",8th Voted OutDay 21,10.94,3.2/10,,['Natalie']
8,9,"""The Buddy System""","April 13, 2011",Matt,,,,Grant,"['Mike', '6-5']",9th Voted OutDay 22,11.09,3.1/9,,['Grant']
9,9,"""The Buddy System""","April 13, 2011",Matt,,,,Andrea,"['David', '6-4']",10th Voted OutDay 24,11.09,3.1/9,,['Andrea']
10,10,"""Rice Wars""","April 20, 2011",Matt,"['Mike', 'David']",David,7th Eliminated1st Jury MemberDay 25,Rob,"['Julie', '6-3']",11th Voted OutDay 27,11.02,3.1/9,,['Rob']
11,11,"""A Mystery Package""","April 27, 2011",Matt,Julie,Julie,8th Eliminated2nd Jury MemberDay 28,"Grant[Andrea,Rob]",Ralph6-2,12th Voted OutDay 30,11.34,3.2/9,,['Grant']
12,11,"""A Mystery Package""","April 27, 2011",Mike,Julie,Julie,8th Eliminated2nd Jury MemberDay 28,Rob,"['Steve', '6-1']",13th Voted OutDay 30,11.34,3.2/9,,['Rob']
13,12,"""You Mangled My Nets""","May 4, 2011","['Matt', 'Mike']","['Ralph', 'Steve']",Steve,9th Eliminated3rd Jury MemberDay 31,Rob,"['Andrea', '5-1']",14th Voted OutDay 32,10.99,3.1/9,,['Rob']
14,13,"""Too Close for Comfort""","May 11, 2011","['Matt', 'Mike', 'Ralph']",Andrea,Ralph,10th Eliminated4th Jury MemberDay 33,Ashley[Natalie],"['Grant', '4-1']",15th Voted OutDay 35,10.77,3.1/9,,['Ashley']
15,14,"""Seems Like a No Brainer""","May 15, 2011","['Matt', 'Mike', 'Andrea']",Grant,"['Grant', 'Matt', 'Mike', 'Andrea']","['11th Eliminated5th Jury MemberDay 36', '12th Eliminated6th Jury MemberDay 36', '13th Eliminated7th Jury MemberDay 36', '2nd ReturneeDay 36']",Ashley,"['Andrea', '4-0']",16th Voted Out8th Jury MemberDay 37,13.30,4.0/10,,['Ashley']
16,14,"""Seems Like a No Brainer""","May 15, 2011",,,,,Rob,"['Ashley', '3-1']",17th Voted Out9th Jury MemberDay 38,13.30,4.0/10,,['Rob']
17,"['14', '15']","['""Seems Like a No Brainer""', '""Reunion""']","May 15, 2011","['Jury Vote', '']","['Jury Vote', '']","['Jury Vote', '']","['Jury Vote', '']","['Jury Vote', '']",,,"['13.30', '']","['4.0/10', '10.91']","['', '3.4/8']",[]
18,14,"""Seems Like a No Brainer""","May 15, 2011",Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Natalie', '8-1-0']",SecondRunner-Up,13.30,4.0/10,,[]
19,14,"""Seems Like a No Brainer""","May 15, 2011",Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Phillip', '8-1-0']",Runner-Up,13.30,4.0/10,,[]
20,14,"""Seems Like a No Brainer""","May 15, 2011",Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Rob', '8-1-0']",Sole Survivor,13.30,4.0/10,,[]
