,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Rob,Phillip,Natalie,Ashley,Andrea,Grant,Steve,Ralph,Julie,David,Mike,Matt,Sarita,Stephanie,Krista,Kristina,Russell,Francesca,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air Date,Inhabitant,Challenger,Eliminated,Finish,Immunity,Eliminated(Vote),Status,Viewership(in millions),Rating/Share (18-49),,Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Francesca,4-3-2,Francesca,Francesca,Kristina,Kristina,Kristina,Francesca,-,-,-,-,-,Francesca,-,-,-,Phillip,-,Phillip,[],False,{},False,{},True,0,False,False,,1,"""You're Looking at the New Leader of Your Tribe""","February 16, 2011",,,,,Zapatera,"['Francesca', '4-3-2']",1st Voted OutDay 3,11.16,3.2/9,,Francesca,['Zapatera'],0.5
1,2,Original Tribes,2,Matt,4-2-0,Matt,Kristina,Matt,Matt,Kristina,Matt,-,-,-,-,-,Phillip,-,-,-,Phillip,-,,[],False,{},False,{},True,0,False,False,,2,"""You Own My Vote""","February 23, 2011",Francesca,,,,Zapatera,"['Matt', '4-2-0']",2nd Voted OutDay 5,10.93,3.1/9,,Matt,['Zapatera'],0.5
2,3,Original Tribes,3,Russell,3-3-3,-,-,-,-,-,-,Russell,Russell,Stephanie,Stephanie,Russell,,Stephanie,Ralph,Ralph,-,Ralph,,['Francesca'],True,"{'Rob': '-', 'Phillip': '-', 'Natalie': '-', 'Ashley': '-', 'Andrea': '-', 'Grant': '-', 'Steve': 'Russell', 'Ralph': 'Russell', 'Julie': 'Stephanie', 'David': 'Stephanie', 'Mike': 'Russell', 'Sarita': 'Stephanie', 'Stephanie': 'Ralph', 'Krista': 'Ralph', 'Kristina': '-', 'Russell': 'Ralph'}",False,{},True,0,False,False,,3,"""Keep Hope Alive""","March 2, 2011",Francesca,Matt,Francesca,1st EliminatedDay 6,Ometepe,"['Russell', '3-3-3;5-1-0']",3rd Voted OutDay 8,11.32,3.3/10,,Russell,['Ometepe'],0.5
3,4,Original Tribes,4,Kristina,4-3,Phillip,Kristina,Kristina,Kristina,Kristina,Phillip,-,-,-,-,-,,-,-,-,Phillip,,,['Russell'],False,{},False,{},True,0,False,False,,4,"""Don't You Work for Me?""","March 9, 2011",Matt,Russell,Russell,2nd EliminatedDay 10,Zapatera,"['Kristina', '4-3']",4th Voted OutDay 11,10.96,3.2/9,,Kristina,['Zapatera'],0.5
4,5,Original Tribes,5,Krista,6-2,-,-,-,-,-,-,Krista,Krista,Krista,Krista,Krista,,Krista,Steve,Steve,,,,['Kristina'],False,{},False,{},True,0,False,False,,5,"""We Hate Our Tribe""","March 16, 2011",Matt,Kristina,Kristina,3rd EliminatedDay 12,Ometepe,"['Krista', '6-2']",5th Voted OutDay 13,10.73,3.2/10,,Krista,['Ometepe'],0.5
5,6,Original Tribes,6,Stephanie,5-2,-,-,-,-,-,-,Stephanie,Stephanie,Stephanie,Sarita,Stephanie,,Stephanie,Sarita,,,,,['Krista'],False,{},False,{},True,0,False,False,,6,"""Their Red-Headed Stepchild""","March 23, 2011",Matt,Krista,Krista,4th EliminatedDay 14,Ometepe,"['Stephanie', '5-2']",6th Voted OutDay 16,11.00,3.1/9,,Stephanie,['Ometepe'],0.5
6,7,Original Tribes,7,Sarita,4-2,-,-,-,-,-,-,Sarita,David,Sarita,Sarita,Sarita,,David,,,,,,['Stephanie'],False,{},False,{},True,0,False,False,,7,"""It Don't Take a Smart One""","March 30, 2011",Matt,Stephanie,Stephanie,5th EliminatedDay 17,Ometepe,"['Sarita', '4-2']",7th Voted OutDay 18,11.01,3.1/9,,Sarita,['Ometepe'],0.5
7,8,Merged Tribe,8,Matt,6-5-1,Matt,Matt,Matt,Matt,Matt,Matt,Grant,Grant,Grant,Grant,Grant,Steve,,,,,,,['Sarita'],False,{},False,{},True,1,True,False,,8,"""This Game Respects Big Moves""","April 6, 2011",Matt,Sarita,"['Sarita', 'Matt']","['6th EliminatedDay 19', '1st ReturneeDay 19']",Natalie,"['Matt', '6-5-1']",8th Voted OutDay 21,10.94,3.2/10,,Matt,['Natalie'],0.08333333333333333
8,9,Merged Tribe,9,Mike,6-5,Mike,Mike,Mike,Mike,Mike,Mike,Phillip,Phillip,Phillip,Phillip,Phillip,,,,,,,,[],False,{},False,{},True,1,True,False,,9,"""The Buddy System""","April 13, 2011",Matt,,,,Grant,"['Mike', '6-5']",9th Voted OutDay 22,11.09,3.1/9,,Mike,['Grant'],0.09090909090909091
9,10,Merged Tribe,9,David,6-4,David,David,David,David,David,David,Rob,Rob,Rob,Rob,,,,,,,,,[],False,{},False,{},True,1,True,False,,9,"""The Buddy System""","April 13, 2011",Matt,,,,Andrea,"['David', '6-4']",10th Voted OutDay 24,11.09,3.1/9,,David,['Andrea'],0.1
