Voter,Tribal_1,Tribal_2,Tiebreak_3,Tribal_3,Tribal_4,Tribal_5,Tribal_6,Tribal_7,Tribal_8,Tribal_9,Tribal_10,Tribal_11,Tribal_12,Tribal_13,Tribal_14,Tribal_15,Tribal_16,Tribal_17,Final Tribal,Final Tribal,Final Tribal
Tribal #:,1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,18
Tribe Status:,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Original Tribes,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe,Merged Tribe
Episode #:,1,2,3,3,4,5,6,7,8,9,9,10,11,11,12,13,14,14,14,14,14
Voted out:,Francesca,Matt,Tie,Russell,Kristina,Krista,Stephanie,Sarita,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,Natalie,Phillip,Rob
Vote:,4-3-2,4-2-0,3-3-3,5-1-0,4-3,6-2,5-2,4-2,6-5-1,6-5,6-4,6-3,6-2,6-1,5-1,4-1,4-0,3-1,8-1-0,8-1-0,8-1-0
Rob,Francesca,Matt,-,-,Phillip,-,-,-,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,Jury Vote,Jury Vote,Jury Vote
Phillip,Francesca,Kristina,-,-,Kristina,-,-,-,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,Jury Vote,Jury Vote,Jury Vote
Natalie,Kristina,Matt,-,-,Kristina,-,-,-,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Ashley,Jury Vote,Jury Vote,Jury Vote
Ashley,Kristina,Matt,-,-,Kristina,-,-,-,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Grant,Andrea,Phillip,,,Rob
Andrea,Kristina,Kristina,-,-,Kristina,-,-,-,Matt,Mike,David,Julie,Ralph,Steve,Phillip,,Rob,,,,Rob
Grant,Francesca,Matt,-,-,Phillip,-,-,-,Matt,Mike,David,Julie,Ralph,Steve,Andrea,Natalie,Eliminated,,,,Rob
Steve,-,-,Russell,Russell,-,Krista,Stephanie,Sarita,Grant,Phillip,Rob,Phillip,Rob,Grant,Eliminated,,,,,,Rob
Ralph,-,-,Russell,None,-,Krista,Stephanie,David,Grant,Phillip,Rob,Phillip,Rob,,,Eliminated,,,,Phillip,
Julie,-,-,Stephanie,Russell,-,Krista,Stephanie,Sarita,Grant,Phillip,Rob,Phillip,Eliminated,,,,,,,,Rob
David,-,-,Stephanie,Russell,-,Krista,Sarita,Sarita,Grant,Phillip,Rob,Eliminated,,,,,,,,,Rob
Mike,-,-,Russell,Russell,-,Krista,Stephanie,Sarita,Grant,Phillip,,,,,,,Eliminated,,,,Rob
Matt,Francesca,Phillip,,,,,,,Steve,,,,,,,,Eliminated,,,,Rob
Sarita,-,-,Stephanie,Russell,-,Krista,Stephanie,David,Eliminated,,,,,,,,,,,,
Stephanie,-,-,Ralph,None,-,Steve,Sarita,Eliminated,,,,,,,,,,,,,
Krista,-,-,Ralph,Ralph,-,Steve,Eliminated,,,,,,,,,,,,,,
Kristina,Phillip,Phillip,-,-,Phillip,Eliminated,,,,,,,,,,,,,,,
Russell,-,-,Ralph,None,Eliminated,,,,,,,,,,,,,,,,
Francesca,Phillip,,Eliminated,Eliminated,,,,,,,,,,,,,,,,,
