,Idx,Episode,Air Date,Inhabitant,Challenger,Eliminated,Finish,Reward,Immunity,Eliminated(Vote),Status,Viewership (in millions),Rating/Share (18-49),Immunity_2
0,1,"""I Need Redemption""","September 14, 2011",,,,,Savaii,Upolu,"['Semhar', '8-1']",1st Voted OutDay 3,10.74,3.4/10,['Upolu']
1,2,"""He Has Demons""","September 21, 2011",Semhar,,,,Savaii,Savaii,"['Christine', '4-3-1-1']",2nd Voted OutDay 5,10.46,3.2/9,['Savaii']
2,3,"""Reap What You Sow""","September 28, 2011",Semhar,Christine,Semhar,1st EliminatedDay 6,Upolu,Upolu,"['Mark', '6-1-1']",3rd Voted OutDay 8,10.71,3.2/9,['Upolu']
3,4,"""Survivalism""","October 5, 2011",Christine,Mark,Mark,2nd EliminatedDay 9,Savaii,Savaii,"['Stacey', '7-1']",4th Voted OutDay 11,10.72,3.1/9,['Savaii']
4,5,"""Taste the Victory""","October 12, 2011",Christine,Stacey,Stacey,3rd EliminatedDay 12,Upolu,Upolu,"['Elyse', '3-2-2']",5th Voted OutDay 14,10.69,3.2/9,['Upolu']
5,6,"""Free Agent""","October 19, 2011",Christine,Elyse,Elyse,4th EliminatedDay 15,Savaii,Savaii,"['Mikayla', '4-3']",6th Voted OutDay 16,11.24,3.3/9,['Savaii']
6,7,"""Trojan Horse""","October 26, 2011",Christine,Mikayla,Mikayla,5th EliminatedDay 17,Upolu,Upolu,"['Ozzy', '5-1']",7th Voted OutDay 18,11.79,3.5/10,['Upolu']
7,8,"""Double Agent""","November 2, 2011",Christine,Ozzy,"['Christine', 'Ozzy']","['6th EliminatedDay 19', '1st ReturneeDay 19']",None,"['Dawn', 'Ozzy']","['Keith', '6-6;6-4']",8th Voted OutDay 21,11.95,3.6/10,"['Dawn', 'Ozzy']"
8,9,"""Cut Throat""","November 9, 2011",Keith,,,,None,Jim,"['Ozzy', '9-2']",9th Voted OutDay 22,10.80,3.2/9,['Jim']
9,9,"""Cut Throat""","November 9, 2011",Keith,,,,None,Whitney,"['Jim', '7-3']",10th Voted OutDay 24,10.80,3.2/9,['Whitney']
10,10,"""Running the Show""","November 16, 2011",Keith,Ozzy,Jim,7th Eliminated1st Jury MemberDay 25,None,Sophie,"['Dawn', '7-2']",11th Voted OutDay 27,11.66,3.3/9,['Sophie']
11,10,"""Running the Show""","November 16, 2011",Keith,Jim,Keith,8th Eliminated2nd Jury MemberDay 25,None,Sophie,"['Whitney', '7-1']",12th Voted OutDay 27,11.66,3.3/9,['Sophie']
12,11,"""A Closer Look""","November 23, 2011",Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
13,12,"""Cult Like""","November 30, 2011",Ozzy,"['Dawn', 'Whitney']","['Dawn', 'Whitney']","['9th Eliminated3rd Jury MemberDay 28', '10th Eliminated4th Jury MemberDay 28']","['Albert', '[Coach](Cochran)']","['Albert', '']","['Cochran', '5-2']",13th Voted OutDay 30,11.05,3.1/9,['Albert']
14,13,"""Ticking Time Bomb""","December 7, 2011",Ozzy,Cochran,Cochran,11th Eliminated5th Jury MemberDay 31,None,Coach,"['Edna', '5-1']",14th Voted OutDay 32,11.59,3.3/9,['Coach']
15,14,"""Then There Were Five""","December 14, 2011",Ozzy,Edna,Edna,12th Eliminated6th Jury MemberDay 33,"['Brandon', '[Rick]']","['Brandon', '(Albert)']","['Brandon', '3-2']",15th Voted OutDay 35,10.87,3.1/9,"['Brandon', '']"
16,15,"""Loyalties Will Be Broken""","December 18, 2011",Ozzy,Brandon,"['Brandon', 'Ozzy']","['13th Eliminated7th Jury MemberDay 36', '2nd ReturneeDay 36']",None,Ozzy,"['Rick', '3-2']",16th Voted Out8th Jury MemberDay 37,13.07,4.0/10,['Ozzy']
17,15,"""Loyalties Will Be Broken""","December 18, 2011",,,,,None,Sophie,"['Ozzy', '3-1']",17th Voted Out9th Jury MemberDay 38,13.07,4.0/10,['Sophie']
18,15,"""Loyalties Will Be Broken""","December 18, 2011",Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Albert', '6-3-0']",SecondRunner-Up,13.07,4.0/10,[]
19,15,"""Loyalties Will Be Broken""","December 18, 2011",Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Coach', '6-3-0']",Runner-Up,13.07,4.0/10,[]
20,15,"""Loyalties Will Be Broken""","December 18, 2011",Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Sophie', '6-3-0']",Sole Survivor,13.07,4.0/10,[]
21,16,"""Reunion""","December 18, 2011",,,,,,,,,9.92,3.1/9,[]
