,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,RedemptionIsland Status,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Semhar Tadesse,Semhar,[],24,Los Angeles,CA,Spoken Word Artist,Savaii,,1st Voted OutDay 3,1st EliminatedDay 6,8,18.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,8
1,Mark Caruso,Mark,[],47,Forest Hills,NY,Retired NYPD Detective,Savaii,,3rd Voted OutDay 8,2nd EliminatedDay 9,6,17.0,False,False,False,3,False,3,1,0,0,4,3,1,2,0,1,1,0.3333333333333333,,0,6
2,Stacey Powell,Stacey,[],43,Grand Prairie,TX,Mortician,Upolu,,4th Voted OutDay 11,3rd EliminatedDay 12,10,16.0,False,False,False,4,False,4,2,0,0,5,4,2,2,0,0,2,0.5,,0,10
3,Elyse Umemoto,Elyse,[],27,Las Vegas,NV,Dance Team Manager,Savaii,,5th Voted OutDay 14,4th EliminatedDay 15,3,15.0,False,False,False,5,False,5,2,0,0,6,5,2,3,0,2,1,0.4,,0,3
4,Mikayla Wingle,Mikayla,[],21,Tampa,FL,Lingerie Football Player,Upolu,,6th Voted OutDay 16,5th EliminatedDay 17,4,14.0,False,False,False,6,False,6,3,0,0,7,6,3,3,0,2,1,0.5,,0,4
5,Christine Shields Markoski,Christine,[],39,Merrick,NY,Teacher,Upolu,,2nd Voted OutDay 5,6th EliminatedDay 19,4,13.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,4
6,Jim Rice,Jim,[],35,Denver,CO,Medical Marijuana Dispenser,Savaii,Te Tuna,10th Voted OutDay 24,7th Eliminated1st Jury MemberDay 25,8,12.0,False,False,False,10,True,7,3,3,1,11,10,3,7,0,3,4,1.3,3.3333333333333335,0,8
7,Keith Tollefson,Keith,[],25,Edina,MN,Water Treatment Technician,Savaii,Te Tuna,8th Voted OutDay 21,8th Eliminated2nd Jury MemberDay 25,12,11.0,False,False,False,8,True,7,3,1,0,9,8,3,5,0,3,2,0.375,0.0,0,6
8,Dawn Meehan,Dawn,[],40,South Jordan,UT,English Professor,Savaii,Te Tuna,11th Voted OutDay 27,9th Eliminated3rd Jury MemberDay 28,9,10.0,False,False,False,11,True,7,3,4,1,12,11,3,8,0,5,3,0.7272727272727273,1.25,0,9
9,Whitney Duncan,Whitney,[],26,Nashville,TN,Country Music Singer,Savaii,Te Tuna,12th Voted OutDay 27,10th Eliminated4th Jury MemberDay 28,7,9.0,False,False,False,12,True,7,3,5,1,13,12,3,9,0,4,5,1.0,1.8,0,7
10,John Cochran,Cochran,[],24,Washington,D.,Harvard Law Student,Savaii,Te Tuna,13th Voted OutDay 30,11th Eliminated5th Jury MemberDay 31,13,8.0,False,False,False,13,True,7,3,6,0,14,13,3,10,0,8,2,0.23076923076923078,0.0,0,13
11,Edna Ma,Edna,[],35,Los Angeles,CA,Anesthesiologist,Upolu,Te Tuna,14th Voted OutDay 32,12th Eliminated6th Jury MemberDay 33,15,7.0,False,False,False,14,True,7,4,7,0,15,14,4,10,0,7,3,0.2857142857142857,0.0,0,15
12,Brandon Hantz,Brandon,[],19,Katy,TX,Oil Tanker Crewman,Upolu,Te Tuna,15th Voted OutDay 35,13th Eliminated7th Jury MemberDay 36,4,6.0,False,False,False,15,True,7,4,8,1,16,15,4,11,0,10,1,0.5333333333333333,0.5,0,4
13,Rick Nelson,Rick,[],51,Aurora,UT,Rancher,Upolu,Te Tuna,16th Voted Out8th Jury MemberDay 37,,15,5.0,False,False,False,16,True,7,4,9,0,17,16,4,12,0,10,2,0.25,0.0,0,11
14,Ozzy Lusth,Ozzy,"['Cook Islands', 'Micronesia']",29,Venice,CA,,Savaii,Te Tuna,"['7th Voted OutDay 18', '9th Voted OutDay 22', '17th Voted Out9th Jury MemberDay 38']","['1st ReturneeDay 19', '2nd ReturneeDay 36', '']",17,4.0,True,False,False,"[7, 9, 17]",True,7,3,4,2,12,11,3,8,0,2,6,1.0909090909090908,2.25,0,17
15,Albert Destrade,Albert,[],26,Plantation,FL,Baseball/Dating Coach,Upolu,Te Tuna,SecondRunner-Up,,1,3.0,False,False,True,18,True,7,4,10,1,19,17,4,13,0,11,2,0.5882352941176471,0.6,0,1
16,Coach Wade,Coach,"['Tocantins', 'Heroes vs. Villains']",39,Susanville,CA,,Upolu,Te Tuna,Runner-Up,,0,2.0,True,False,True,18,True,7,4,10,1,19,17,4,13,0,13,0,0.5294117647058824,0.5,3,0
17,Sophie Clarke,Sophie,[],21,Willsboro,NY,Medical Student,Upolu,Te Tuna,Sole Survivor,,5,1.0,False,True,True,18,True,7,4,10,3,19,17,4,13,0,11,2,1.2941176470588236,1.8,6,5
