,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Sophie,Coach,Albert,Ozzy,Rick,Brandon,Edna,Cochran,Whitney,Dawn,Jim,Keith,Mikayla,Elyse,Stacey,Mark,Christine,Semhar,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air Date,Inhabitant,Challenger,Eliminated,Finish,Reward,Immunity,Eliminated(Vote),Status,Viewership (in millions),Rating/Share (18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Semhar,8-1,-,-,-,Semhar,-,-,-,Semhar,Semhar,Semhar,Semhar,Semhar,-,Semhar,-,Semhar,-,Cochran,[],False,{},False,{},True,0,False,False,,1,"""I Need Redemption""","September 14, 2011",,,,,Savaii,Upolu,"['Semhar', '8-1']",1st Voted OutDay 3,10.74,3.4/10,Semhar,['Upolu'],0.5
1,2,Original Tribes,2,Christine,4-3-1-1,Stacey,Christine,Christine,-,Stacey,Christine,Stacey,-,-,-,-,-,Christine,-,Sophie,-,Edna,,[],False,{},False,{},True,0,False,False,,2,"""He Has Demons""","September 21, 2011",Semhar,,,,Savaii,Savaii,"['Christine', '4-3-1-1']",2nd Voted OutDay 5,10.46,3.2/9,Christine,['Savaii'],0.5
2,3,Original Tribes,3,Mark,6-1-1,-,-,-,Mark,-,-,-,Mark,Mark,Mark,Cochran,Mark,-,Mark,-,Jim,,,['Semhar'],False,{},False,{},True,0,False,False,,3,"""Reap What You Sow""","September 28, 2011",Semhar,Christine,Semhar,1st EliminatedDay 6,Upolu,Upolu,"['Mark', '6-1-1']",3rd Voted OutDay 8,10.71,3.2/9,Mark,['Upolu'],0.5
3,4,Original Tribes,4,Stacey,7-1,Stacey,Stacey,Stacey,-,Stacey,Stacey,Stacey,-,-,-,-,-,Stacey,-,Edna,,,,['Mark'],False,{},False,{},True,0,False,False,,4,"""Survivalism""","October 5, 2011",Christine,Mark,Mark,2nd EliminatedDay 9,Savaii,Savaii,"['Stacey', '7-1']",4th Voted OutDay 11,10.72,3.1/9,Stacey,['Savaii'],0.5
4,5,Original Tribes,5,Elyse,3-2-2,-,-,-,Cochran,-,-,-,Elyse,Dawn,Elyse,Elyse,Dawn,-,Cochran,,,,,['Stacey'],False,{},False,{},True,0,False,False,,5,"""Taste the Victory""","October 12, 2011",Christine,Stacey,Stacey,3rd EliminatedDay 12,Upolu,Upolu,"['Elyse', '3-2-2']",5th Voted OutDay 14,10.69,3.2/9,Elyse,['Upolu'],0.5
5,6,Original Tribes,6,Mikayla,4-3,Edna,Mikayla,Edna,-,Mikayla,Mikayla,Mikayla,-,-,-,-,-,Edna,,,,,,['Elyse'],False,{},False,{},True,0,False,False,,6,"""Free Agent""","October 19, 2011",Christine,Elyse,Elyse,4th EliminatedDay 15,Savaii,Savaii,"['Mikayla', '4-3']",6th Voted OutDay 16,11.24,3.3/9,Mikayla,['Savaii'],0.5
6,7,Original Tribes,7,Ozzy,5-1,-,-,-,Cochran,-,-,-,Ozzy,Ozzy,Ozzy,Ozzy,Ozzy,,,,,,,['Mikayla'],False,{},False,{},True,0,False,False,,7,"""Trojan Horse""","October 26, 2011",Christine,Mikayla,Mikayla,5th EliminatedDay 17,Upolu,Upolu,"['Ozzy', '5-1']",7th Voted OutDay 18,11.79,3.5/10,Ozzy,['Upolu'],0.5
7,8,Merged Tribe,8,Keith,6-6,Keith,Keith,Keith,Rick,Keith,Keith,Keith,Rick,Rick,Rick,Rick,Rick,,,,,,,['Christine'],True,"{'Sophie': 'Keith', 'Coach': 'Keith', 'Albert': 'Keith', 'Ozzy': 'Rick', 'Rick': 'Keith', 'Brandon': 'Keith', 'Edna': 'Keith', 'Cochran': 'Rick', 'Whitney': 'Rick', 'Dawn': 'Rick', 'Jim': 'Rick', 'Keith': 'Rick'}",False,{},True,1,True,False,,8,"""Double Agent""","November 2, 2011",Christine,Ozzy,"['Christine', 'Ozzy']","['6th EliminatedDay 19', '1st ReturneeDay 19']",None,"['Dawn', 'Ozzy']","['Keith', '6-6;6-4']",8th Voted OutDay 21,11.95,3.6/10,Keith,"['Dawn', 'Ozzy']",0.16666666666666666
8,9,Merged Tribe,9,Ozzy,9-2,Ozzy,Ozzy,Ozzy,Cochran,Ozzy,Ozzy,Ozzy,Ozzy,Ozzy,Ozzy,Cochran,,,,,,,,[],False,{},False,{},True,1,True,False,,9,"""Cut Throat""","November 9, 2011",Keith,,,,None,Jim,"['Ozzy', '9-2']",9th Voted OutDay 22,10.80,3.2/9,Ozzy,['Jim'],0.09090909090909091
9,10,Merged Tribe,9,Jim,7-3,Jim,Jim,Jim,,Jim,Jim,Jim,Jim,Edna,Edna,Edna,,,,,,,,[],False,{},False,{},True,1,True,False,,9,"""Cut Throat""","November 9, 2011",Keith,,,,None,Whitney,"['Jim', '7-3']",10th Voted OutDay 24,10.80,3.2/9,Jim,['Whitney'],0.1
10,11,Merged Tribe,10,Dawn,7-2,Dawn,Dawn,Dawn,,Dawn,Dawn,Dawn,Dawn,Edna,Edna,,,,,,,,,"['Jim', 'Keith']",False,{},False,{},True,1,True,False,,10,"""Running the Show""","November 16, 2011",Keith,Ozzy,Jim,7th Eliminated1st Jury MemberDay 25,None,Sophie,"['Dawn', '7-2']",11th Voted OutDay 27,11.66,3.3/9,Dawn,['Sophie'],0.1111111111111111
11,12,Merged Tribe,10,Whitney,7-1,Whitney,Whitney,Whitney,,Whitney,Whitney,Whitney,Whitney,Cochran,,,,,,,,,,[],False,{},False,{},True,1,True,False,,10,"""Running the Show""","November 16, 2011",Keith,Jim,Keith,8th Eliminated2nd Jury MemberDay 25,None,Sophie,"['Whitney', '7-1']",12th Voted OutDay 27,11.66,3.3/9,Whitney,['Sophie'],0.125
12,13,Merged Tribe,12,Cochran,5-2,Cochran,Cochran,Cochran,,Cochran,Cochran,Rick,Rick,,,,,,,,,,,"['Whitney', 'Dawn']",False,{},False,{},True,1,True,False,,12,"""Cult Like""","November 30, 2011",Ozzy,"['Dawn', 'Whitney']","['Dawn', 'Whitney']","['9th Eliminated3rd Jury MemberDay 28', '10th Eliminated4th Jury MemberDay 28']","['Albert', '[Coach](Cochran)']","['Albert', '']","['Cochran', '5-2']",13th Voted OutDay 30,11.05,3.1/9,Cochran,['Albert'],0.14285714285714285
13,14,Merged Tribe,13,Edna,5-1,Edna,Edna,Edna,,Edna,Edna,Brandon,,,,,,,,,,,,['Cochran'],False,{},False,{},True,1,True,False,,13,"""Ticking Time Bomb""","December 7, 2011",Ozzy,Cochran,Cochran,11th Eliminated5th Jury MemberDay 31,None,Coach,"['Edna', '5-1']",14th Voted OutDay 32,11.59,3.3/9,Edna,['Coach'],0.16666666666666666
