,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewership(in millions),Rating/Share(18-49),Immunity_2
0,1,"""Two Tribes, One Camp, No Rules""","February 15, 2012",Manono,Manono,"['Kourtney', 'No Vote']",EvacuatedDay 3,10.79,3.1/9,['Manono']
1,2,"""Total Dysfunction""","February 22, 2012",Manono,Manono,"['Nina', '6-1-1']",1st Voted OutDay 5,10.29,2.8/8,['Manono']
2,3,"""One World Is Out the Window""","February 29, 2012",Salani,Salani,"['Matt', '7-1-1']",2nd Voted OutDay 8,10.65,2.9/8,['Salani']
3,4,"""Bum-Puzzled""","March 7, 2012",Salani,"['Manono', '(Salani)']","['Bill', '7-1']",3rd Voted OutDay 11,10.78,3.2/9,"['Manono', '']"
4,5,"""A Bunch of Idiots""","March 14, 2012",Salani,Salani,"['Monica', '5-2']",4th Voted OutDay 14,10.56,3.0/9,['Salani']
5,6,"""Thanks for the Souvenir""","March 21, 2012",Salani,None,"['Colton', 'No Vote']",EvacuatedDay 16,10.47,2.8/9,[]
6,7,"""The Beauty in a Merge""","March 28, 2012","Alicia,Chelsea,Christina,Jay,Troyzan,Sabrina",Troyzan,"['Jonas', '10-2']",5th Voted Out1st Jury MemberDay 20,9.99,2.9/9,['Troyzan']
7,8,"""Just Annihilate Them""","April 4, 2012","Christina,Kim, Leif,Michael,Sabrina",Jay,"['Michael', '7-2-2']",6th Voted Out2nd Jury MemberDay 22,10.36,2.8/9,['Jay']
8,9,"""Go Out with a Bang""","April 11, 2012","Alicia,Jay, Kat,Tarzan,Troyzan",Chelsea,"['Jay', '5-2-1-0']",7th Voted Out3rd Jury MemberDay 25,9.91,2.7/8,['Chelsea']
9,10,"""I'm No Dummy""","April 18, 2012",SurvivorAuction,Troyzan,"['Leif', '4-3-2']",8th Voted Out4th Jury MemberDay 27,9.96,2.8/9,['Troyzan']
10,11,"""Never Say Die""","April 25, 2012","Kim[Alicia,Chelsea]",Kim,"['Troyzan', '4-3-1']",9th Voted Out5th Jury MemberDay 30,9.81,2.7/8,['Kim']
11,12,"""It's Gonna Be Chaos""","May 2, 2012","Kat[Alicia,Kim]",Kim,"['Kat', '6-1']",10th Voted Out6th Jury MemberDay 33,9.43,2.6/8,['Kim']
12,13,"""It's Human Nature""","May 9, 2012","Chelsea[Kim,Sabrina]",Alicia,"['Tarzan', '5-1']",11th Voted Out7th Jury MemberDay 36,9.97,2.8/9,['Alicia']
13,14,"""Perception Is Not Always Reality""","May 13, 2012",None,Kim,"['Alicia', '3-2']",12th Voted Out8th Jury MemberDay 37,10.43,2.9/8,['Kim']
14,14,"""Perception Is Not Always Reality""","May 13, 2012",None,Kim,"['Christina', '3-1']",13th Voted Out9th Jury MemberDay 38,10.43,2.9/8,['Kim']
15,14,"""Perception Is Not Always Reality""","May 13, 2012",Jury Vote,Jury Vote,"['Chelsea', '7-2-0']",SecondRunner-Up,10.43,2.9/8,[]
16,14,"""Perception Is Not Always Reality""","May 13, 2012",Jury Vote,Jury Vote,"['Sabrina', '7-2-0']",Runner-Up,10.43,2.9/8,[]
17,14,"""Perception Is Not Always Reality""","May 13, 2012",Jury Vote,Jury Vote,"['Kim', '7-2-0']",Sole Survivor,10.43,2.9/8,[]
18,15,"""Reunion""","May 13, 2012",,,,,7.72,2.3/6,[]
