,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Kim,Sabrina,Chelsea,Christina,Alicia,Tarzan,Kat,Troyzan,Leif,Jay,Michael,Jonas,Colton,Monica,Bill,Matt,Nina,Kourtney,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewership(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Kourtney,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Evacuated,[],False,{},False,{},False,0,False,False,,1,"""Two Tribes, One Camp, No Rules""","February 15, 2012",Manono,Manono,"['Kourtney', 'No Vote']",EvacuatedDay 3,10.79,3.1/9,Kourtney,['Manono'],0.5
1,2,Original Tribes,2,Nina,6-1-1,Nina,Nina,Nina,Nina,Nina,-,Nina,-,-,-,-,-,-,Christina,-,-,Kat,,[],False,{},False,{},True,0,False,False,,2,"""Total Dysfunction""","February 22, 2012",Manono,Manono,"['Nina', '6-1-1']",1st Voted OutDay 5,10.29,2.8/8,Nina,['Manono'],0.5
2,3,Original Tribes,3,Matt,7-1-1,-,-,-,-,-,Matt,-,Matt,Matt,Matt,Bill,Matt,Matt,-,Matt,Colton,,,[],False,{},False,{},True,0,False,False,,3,"""One World Is Out the Window""","February 29, 2012",Salani,Salani,"['Matt', '7-1-1']",2nd Voted OutDay 8,10.65,2.9/8,Matt,['Salani'],0.5
3,4,Original Tribes,4,Bill,7-1,-,-,-,-,-,Bill,-,Bill,Bill,Bill,Bill,Bill,Bill,-,Leif,,,,[],False,{},False,{},True,0,False,False,,4,"""Bum-Puzzled""","March 7, 2012",Salani,"['Manono', '(Salani)']","['Bill', '7-1']",3rd Voted OutDay 11,10.78,3.2/9,Bill,"['Manono', '']",0.5
4,5,Switched Tribes,5,Monica,5-2,-,-,-,Tarzan,Monica,Monica,-,-,Monica,-,-,Monica,Monica,Tarzan,,,,,[],False,{},False,{},True,1,False,False,,5,"""A Bunch of Idiots""","March 14, 2012",Salani,Salani,"['Monica', '5-2']",4th Voted OutDay 14,10.56,3.0/9,Monica,['Salani'],0.5
5,6,Switched Tribes,6,Colton,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,Evacuated,,,,,,[],False,{},False,{},False,1,False,False,,6,"""Thanks for the Souvenir""","March 21, 2012",Salani,None,"['Colton', 'No Vote']",EvacuatedDay 16,10.47,2.8/9,Colton,[],0.0
6,7,Merged Tribe,7,Jonas,10-2,Jonas,Jonas,Jonas,Jonas,Jonas,Jonas,Jonas,Jonas,Michael,Jonas,Jonas,Michael,,,,,,,[],False,{},False,{},True,2,True,False,,7,"""The Beauty in a Merge""","March 28, 2012","Alicia,Chelsea,Christina,Jay,Troyzan,Sabrina",Troyzan,"['Jonas', '10-2']",5th Voted Out1st Jury MemberDay 20,9.99,2.9/9,Jonas,['Troyzan'],0.08333333333333333
7,8,Merged Tribe,8,Michael,7-2-2,Michael,Michael,Michael,Tarzan,Tarzan,Christina,Michael,Michael,Michael,Michael,Christina,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Just Annihilate Them""","April 4, 2012","Christina,Kim, Leif,Michael,Sabrina",Jay,"['Michael', '7-2-2']",6th Voted Out2nd Jury MemberDay 22,10.36,2.8/9,Michael,['Jay'],0.09090909090909091
8,9,Merged Tribe,9,Jay,5-2-1-0,Jay,Jay,Troyzan,Jay,Jay,Jay,Troyzan,Kim,Alicia,Alicia,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Go Out with a Bang""","April 11, 2012","Alicia,Jay, Kat,Tarzan,Troyzan",Chelsea,"['Jay', '5-2-1-0']",7th Voted Out3rd Jury MemberDay 25,9.91,2.7/8,Jay,['Chelsea'],0.1
9,10,Merged Tribe,10,Leif,4-3-2,Tarzan,Leif,Leif,Tarzan,Tarzan,Leif,Leif,Kim,Kim,,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""I'm No Dummy""","April 18, 2012",SurvivorAuction,Troyzan,"['Leif', '4-3-2']",8th Voted Out4th Jury MemberDay 27,9.96,2.8/9,Leif,['Troyzan'],0.1111111111111111
