,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Denise,Malcolm,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Denise,Russell,1.0,1.0,1.0,0.0,,,,,,,,,,,
Denise,Angie,1.0,1.0,0.0,,,,,,,,,,,,
Denise,Roxy,1.0,0.0,,,,,,,,,,,,,
Denise,Zane,0.0,,,,,,,,,,,,,,
Malcolm,Russell,1.0,1.0,1.0,0.0,,,,,,,,,,,
Malcolm,Angie,1.0,1.0,0.0,,,,,,,,,,,,
Malcolm,Roxy,1.0,0.0,,,,,,,,,,,,,
Malcolm,Zane,0.0,,,,,,,,,,,,,,
Russell,Angie,1.0,1.0,0.0,,,,,,,,,,,,
Russell,Roxy,1.0,0.0,,,,,,,,,,,,,
Russell,Zane,0.0,,,,,,,,,,,,,,
Angie,Roxy,1.0,0.0,,,,,,,,,,,,,
Angie,Zane,0.0,,,,,,,,,,,,,,
Roxy,Zane,0.0,,,,,,,,,,,,,,
Denise,Carter,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
Denise,Jonathan,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,
Denise,Jeff,,,,,,1.0,1.0,1.0,1.0,,,,,,
Denise,Katie,,,,,,1.0,0.0,,,,,,,,
Denise,Dawson,,,,,,0.0,,,,,,,,,
Carter,Jonathan,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,
Carter,Jeff,,,,,,1.0,1.0,1.0,1.0,,,,,,
Carter,Katie,,,,,,1.0,0.0,,,,,,,,
Carter,Dawson,,,,,,0.0,,,,,,,,,
Jonathan,Jeff,,,,,,1.0,1.0,0.0,1.0,,,,,,
Jonathan,Katie,,,,,,1.0,0.0,,,,,,,,
Jonathan,Dawson,,,,,,0.0,,,,,,,,,
Jeff,Katie,,,,,,1.0,0.0,,,,,,,,
Jeff,Dawson,,,,,,0.0,,,,,,,,,
Katie,Dawson,,,,,,0.0,,,,,,,,,
Denise,Lisa,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Denise,Michael,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Denise,Abi-Maria,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
Denise,Pete,,,,,,,,1.0,0.0,0.0,0.0,,,,
Denise,Artis,,,,,,,,1.0,0.0,0.0,,,,,
Denise,RC,,,,,,,,0.0,,,,,,,
Lisa,Michael,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Lisa,Malcolm,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Lisa,Abi-Maria,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
Lisa,Carter,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,
Lisa,Jonathan,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,
Lisa,Pete,,,,,,,,1.0,1.0,1.0,0.0,,,,
Lisa,Artis,,,,,,,,1.0,1.0,1.0,,,,,
Lisa,Jeff,,,,,,,,1.0,0.0,,,,,,
Lisa,RC,,,,,,,,0.0,,,,,,,
Michael,Malcolm,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
Michael,Abi-Maria,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,
Michael,Carter,,,,,,,,1.0,0.0,1.0,1.0,0.0,0.0,,
Michael,Jonathan,,,,,,,,0.0,0.0,1.0,1.0,0.0,,,
Michael,Pete,,,,,,,,1.0,1.0,0.0,0.0,,,,
Michael,Artis,,,,,,,,1.0,1.0,0.0,,,,,
Michael,Jeff,,,,,,,,1.0,0.0,,,,,,
Michael,RC,,,,,,,,0.0,,,,,,,
Malcolm,Abi-Maria,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
Malcolm,Carter,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,
Malcolm,Jonathan,,,,,,,,0.0,1.0,1.0,1.0,0.0,,,
Malcolm,Pete,,,,,,,,1.0,0.0,0.0,0.0,,,,
Malcolm,Artis,,,,,,,,1.0,0.0,0.0,,,,,
Malcolm,Jeff,,,,,,,,1.0,1.0,,,,,,
Malcolm,RC,,,,,,,,0.0,,,,,,,
Abi-Maria,Carter,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,,
Abi-Maria,Jonathan,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,
Abi-Maria,Pete,,,,,,,,1.0,1.0,1.0,1.0,,,,
Abi-Maria,Artis,,,,,,,,1.0,1.0,1.0,,,,,
Abi-Maria,Jeff,,,,,,,,1.0,0.0,,,,,,
Abi-Maria,RC,,,,,,,,0.0,,,,,,,
Carter,Pete,,,,,,,,1.0,0.0,0.0,0.0,,,,
Carter,Artis,,,,,,,,1.0,0.0,0.0,,,,,
Carter,RC,,,,,,,,0.0,,,,,,,
Jonathan,Pete,,,,,,,,0.0,0.0,0.0,0.0,,,,
Jonathan,Artis,,,,,,,,0.0,0.0,0.0,,,,,
Jonathan,RC,,,,,,,,1.0,,,,,,,
Pete,Artis,,,,,,,,1.0,1.0,1.0,,,,,
Pete,Jeff,,,,,,,,1.0,0.0,,,,,,
Pete,RC,,,,,,,,0.0,,,,,,,
Artis,Jeff,,,,,,,,1.0,0.0,,,,,,
Artis,RC,,,,,,,,0.0,,,,,,,
Jeff,RC,,,,,,,,0.0,,,,,,,
