,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Denise,Lisa,Michael,Malcolm,Abi-Maria,Carter,Jonathan,Pete,Artis,Jeff,RC,Katie,Dawson,Dana,Russell,Angie,Roxy,Zane,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewership(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Zane,5-1,Zane,-,-,Zane,-,-,-,-,-,-,-,-,-,-,Zane,Zane,Zane,Russell,[],False,{},False,{},True,0,False,False,,1,"""Survivor Smacked Me in the Chops""","September 19, 2012","['Kalabaw', 'Tandang']","['Kalabaw', 'Tandang']","['Zane', '5-1']",1st Voted OutDay 3,11.37,3.2/10,Zane,"['Kalabaw', 'Tandang']",0.6666666666666666
1,2,Original Tribes,2,Roxy,4-1,Roxy,-,-,Roxy,-,-,-,-,-,-,-,-,-,-,Roxy,Roxy,Angie,,[],False,{},False,{},True,0,False,False,,2,"""Don't Be Blinded by the Headlights""","September 26, 2012","['Tandang', 'Kalabaw']","['Tandang', 'Kalabaw']","['Roxy', '4-1']",2nd Voted OutDay 6,10.31,3.1/9,Roxy,"['Tandang', 'Kalabaw']",0.6666666666666666
2,3,Original Tribes,3,Angie,3-1,Angie,-,-,Angie,-,-,-,-,-,-,-,-,-,-,Angie,Russell,,,[],False,{},False,{},True,0,False,False,,3,"""This Isn't a 'We' Game""","October 3, 2012","['Kalabaw', 'Tandang']","['Kalabaw', 'Tandang']","['Angie', '3-1']",3rd Voted OutDay 8,10.38,3.0/9,Angie,"['Kalabaw', 'Tandang']",0.6666666666666666
3,4,Original Tribes,4,Russell,2-1,Russell,-,-,Russell,-,-,-,-,-,-,-,-,-,-,Malcolm,,,,[],False,{},False,{},True,0,False,False,,4,"""Create a Little Chaos""","October 10, 2012","['Tandang', 'Kalabaw']","['Tandang', 'Kalabaw']","['Russell', '2-1']",4th Voted OutDay 10,9.82,2.8/8,Russell,"['Tandang', 'Kalabaw']",0.6666666666666666
4,5,Absorbed Tribes,5,Dana,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,['Dana'],False,{},False,{},False,1,False,False,,5,"""Got My Swag Back""","October 17, 2012",Tandang,Tandang,"['Dana', 'No Vote']",QuitDay 12,10.43,2.8/8,Dana,['Tandang'],0.5
5,6,Absorbed Tribes,5,Dawson,5-1,Dawson,-,-,-,-,Dawson,Dawson,-,-,Dawson,-,Dawson,Denise,,,,,,[],False,{},False,{},True,1,False,False,,5,"""Got My Swag Back""","October 17, 2012",Tandang,Tandang,"['Dawson', '5-1']",5th Voted OutDay 13,10.43,2.8/8,Dawson,['Tandang'],0.5
6,7,Absorbed Tribes,6,Katie,4-1,Katie,-,-,-,-,Katie,Katie,-,-,Katie,-,Jonathan,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Down and Dirty""","October 24, 2012",Kalabaw,Tandang,"['Katie', '4-1']",6th Voted OutDay 16,10.23,2.8/8,Katie,['Tandang'],0.5
7,8,Merged Tribe,7,RC,4-2-0,Jonathan,Jonathan,Jonathan,Jonathan,Jonathan,RC,Pete,RC,RC,RC,Pete,,,,,,,,[],False,{},False,{},True,2,True,False,,7,"""Not the Only Actor on This Island""","October 31, 2012",None,"['Denise', 'Carter']","['RC', '4-2-0']",7th Voted Out1st Jury MemberDay 19,9.83,2.5/8,RC,"['Denise', 'Carter']",0.18181818181818182
8,9,Merged Tribe,8,Jeff,5-4-1,Pete,Jeff,Jeff,Pete,Jeff,Pete,Abi-Maria,Jeff,Jeff,Pete,,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Dead Man Walking""","November 7, 2012","Denise,Jeff,Jonathan,Lisa,Malcolm",Jonathan,"['Jeff', '5-4-1']",8th Voted Out2nd Jury MemberDay 22,10.31,2.8/8,Jeff,['Jonathan'],0.1
9,10,Merged Tribe,9,Artis,5-4,Artis,Jonathan,Artis,Artis,Jonathan,Artis,Artis,Jonathan,Jonathan,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Little Miss Perfect""","November 14, 2012","Carter,Denise,Jonathan,Malcolm",Michael,"['Artis', '5-4']",9th Voted Out3rd Jury MemberDay 25,10.06,2.6/8,Artis,['Michael'],0.1111111111111111
10,11,Merged Tribe,10,Pete,3-2-0,Abi-Maria,Abi-Maria,Abi-Maria,Pete,Malcolm,Pete,Pete,Malcolm,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,10,"""Whiners Are Wieners""","November 21, 2012","Abi-Maria,Carter,Malcolm,Pete",Carter,"['Pete', '3-2-0']",10th Voted Out4th Jury MemberDay 27,9.37,2.3/8,Pete,['Carter'],0.125
11,12,Merged Tribe,11,Jonathan,4-3,Jonathan,Jonathan,Jonathan,Jonathan,Denise,Denise,Denise,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,11,"""Hell Hath Frozen Over""","November 28, 2012",SurvivorAuction,Abi-Maria,"['Jonathan', '4-3']",11th Voted Out5th Jury MemberDay 30,10.37,2.7/8,Jonathan,['Abi-Maria'],0.14285714285714285
12,13,Merged Tribe,12,Carter,5-1,Carter,Carter,Carter,Carter,Carter,Abi-Maria,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,12,"""Shot into Smithereens""","December 5, 2012","Malcolm[Lisa,Michael]",Malcolm,"['Carter', '5-1']",12th Voted Out6th Jury MemberDay 33,10.64,2.9/8,Carter,['Malcolm'],0.16666666666666666
13,14,Merged Tribe,13,Abi-Maria,4-1,Abi-Maria,Abi-Maria,Abi-Maria,Abi-Maria,Denise,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,13,"""Gouge My Eyes Out""","December 12, 2012","Michael[Lisa,Malcolm]",Malcolm,"['Abi-Maria', '4-1']",13th Voted Out7th Jury MemberDay 36,10.37,2.8/8,Abi-Maria,['Malcolm'],0.2
14,15,Merged Tribe,14,Malcolm,3-1,Malcolm,Malcolm,Malcolm,Denise,,,,,,,,,,,,,,,[],False,{},False,{},True,2,True,False,,14,"""Million Dollar Question""","December 16, 2012",Malcolm,Michael,"['Malcolm', '3-1']",14th Voted Out8th Jury MemberDay 38,11.46,3.2/8,Malcolm,['Michael'],0.25
15,16,Merged Tribe,14,Denise,6-1-1,Jury Vote,Jury Vote,Jury Vote,Denise,Denise,Michael,Denise,Denise,Denise,Denise,Lisa,,,,,,,,[],False,{},False,{},True,2,True,True,"['Michael', 'Lisa', 'Denise']",14,"""Million Dollar Question""","December 16, 2012",Jury Vote,Jury Vote,"['Denise', '6-1-1']",Sole Survivor,11.46,3.2/8,Denise,[],
