,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Cochran,Dawn,Sherri,Eddie,Erik,Brenda,Andrea,Reynold,Malcolm,Phillip,Michael,Corinne,Julia,Matt,Brandon,Laura,Shamar,Hope,Allie,Francesca,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewership(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Francesca,6-4,Francesca,Francesca,-,-,Andrea,Andrea,Francesca,-,Francesca,Francesca,-,Francesca,-,-,Andrea,-,-,-,-,Andrea,[],False,{},False,{},True,0,False,False,,1,"""She Annoys Me Greatly""","February 13, 2013",Bikal,Gota,"['Francesca', '6-4']",1st Voted OutDay 3,8.94,2.4/7,Francesca,['Gota'],0.5
1,2,Original Tribes,2,Allie,6-4,-,-,Allie,Shamar,-,-,-,Shamar,-,-,Allie,-,Allie,Allie,-,Allie,Allie,Shamar,Shamar,,[],False,{},False,{},True,0,False,False,,2,"""Honey Badger""","February 20, 2013",Bikal,Bikal,"['Allie', '6-4']",2nd Voted OutDay 5,9.32,2.4/7,Allie,['Bikal'],0.5
2,3,Original Tribes,3,Hope,3-3-3,-,-,Hope,Shamar,-,-,-,Shamar,-,-,Eddie,-,Hope,Eddie,-,Hope,Eddie,Shamar,,,[],True,"{'Cochran': '-', 'Dawn': '-', 'Sherri': 'Hope', 'Eddie': 'Shamar', 'Erik': '-', 'Brenda': '-', 'Andrea': '-', 'Reynold': 'Shamar', 'Malcolm': '-', 'Phillip': '-', 'Michael': 'Eddie', 'Corinne': '-', 'Julia': 'Hope', 'Matt': 'Eddie', 'Brandon': '-', 'Laura': 'Hope', 'Shamar': 'Eddie', 'Hope': 'Shamar'}",False,{},True,0,False,False,,3,"""There's Gonna Be Hell to Pay""","February 27, 2013",Bikal,Bikal,"['Hope', '3-3-3;5-1-0']",3rd Voted OutDay 7,9.17,2.6/8,Hope,['Bikal'],0.5
3,4,Original Tribes,4,Shamar,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Evacuated,,,,[],False,{},False,{},False,0,False,False,,4,"""Kill or Be Killed""","March 6, 2013",Bikal,Bikal,"['Shamar', 'No Vote']",EvacuatedDay 10,9.58,2.6/7,Shamar,['Bikal'],0.5
4,5,Original Tribes,4,Laura,6-0,-,-,Laura,Laura,-,-,-,Laura,-,-,Laura,-,Laura,Laura,-,Reynold,,,,,[],False,{},False,{},True,0,False,False,,4,"""Kill or Be Killed""","March 6, 2013",Bikal,Bikal,"['Laura', '6-0']",4th Voted OutDay 10,9.58,2.6/7,Laura,['Bikal'],0.5
5,6,Original Tribes,5,Brandon,8-1,Brandon,Brandon,-,-,Brandon,Brandon,Brandon,-,Brandon,Brandon,-,Brandon,-,-,Phillip,,,,,,[],False,{},False,{},True,0,False,False,,5,"""Persona Non Grata""","March 13, 2013",Bikal,(Gota),"['Brandon', '8-1']",5th Voted OutDay 13,9.89,2.7/8,Brandon,[''],0.0
6,7,Switched Tribes,6,Matt,4-2-1,Matt,Matt,-,-,-,-,-,-,-,Matt,Julia,Matt,Dawn,Julia,,,,,,,[],False,{},False,{},True,1,False,False,,6,"""Operation Thunder Dome""","March 20, 2013",None,Gota,"['Matt', '4-2-1']",6th Voted OutDay 16,9.79,2.6/8,Matt,['Gota'],0.5
7,8,Switched Tribes,7,Julia,3-3,Michael,Julia,-,-,-,-,-,-,-,Michael,Julia,Julia,Michael,,,,,,,,[],True,"{'Cochran': 'Michael', 'Dawn': 'Julia', 'Sherri': '-', 'Eddie': '-', 'Erik': '-', 'Brenda': '-', 'Andrea': '-', 'Reynold': '-', 'Malcolm': '-', 'Phillip': 'Michael', 'Michael': 'Julia', 'Corinne': 'Julia', 'Julia': 'Michael'}",False,{},True,1,False,False,,7,"""Tubby Lunchbox""","March 27, 2013",Gota,Gota,"['Julia', '3-3;4-0']",7th Voted OutDay 19,9.43,2.5/7,Julia,['Gota'],0.5
8,9,Merged Tribe,8,Corinne,7-5,Corinne,Corinne,Corinne,Sherri,Corinne,Corinne,Corinne,Sherri,Sherri,Corinne,Sherri,Sherri,,,,,,,,,[],False,{},False,{},True,2,True,False,,8,"""Blindside Time""","April 3, 2013",None,Cochran,"['Corinne', '7-5']",8th Voted OutDay 22,9.25,2.5/7,Corinne,['Cochran'],0.08333333333333333
9,10,Merged Tribe,9,Michael,7-3-1,Michael,Michael,Michael,Andrea,Michael,Michael,Michael,Andrea,Reynold,Michael,Andrea,,,,,,,,,,[],False,{},False,{},True,2,True,False,,9,"""Cut Off the Head of the Snake""","April 10, 2013","Cochran,Eddie, Erik,Michael,Reynold",Brenda,"['Michael', '7-3-1']",9th Voted Out1st Jury MemberDay 25,9.38,2.6/8,Michael,['Brenda'],0.09090909090909091
