,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Ciera,Hayden,1.0,,,1.0,0.0,,1.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,,1.0,,
Ciera,Katie,0.0,,,1.0,1.0,,1.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,,,,
Ciera,Caleb,1.0,,,1.0,0.0,,1.0,1.0,,,,1.0,0.0,1.0,1.0,0.0,,,,
Ciera,Vytas,1.0,,,1.0,0.0,,1.0,0.0,,,,0.0,1.0,,,,,,,
Ciera,Laura B.,0.0,,,,,,,,,,,,,,,,,,,
Ciera,Brad,1.0,,,1.0,0.0,,1.0,0.0,,,,,,,,,,,,
Ciera,John,1.0,,,1.0,0.0,,0.0,,,,,,,,,,,,,
Ciera,Rachel,1.0,,,1.0,0.0,,,,,,,,,,,,,,,
Ciera,Marissa,0.0,,,0.0,,,,,,,,,,,,,,,,
Hayden,Katie,0.0,,,1.0,0.0,,1.0,0.0,,,,0.0,1.0,0.0,1.0,1.0,,,,
Hayden,Caleb,1.0,,,1.0,1.0,,1.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,,,,
Hayden,Vytas,1.0,,,1.0,1.0,,1.0,1.0,,,,0.0,0.0,,,,,,,
Hayden,Laura B.,0.0,,,,,,,,,,,,,,,,,,,
Hayden,Brad,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
Hayden,John,1.0,,,1.0,1.0,,0.0,,,,,,,,,,,,,
Hayden,Rachel,1.0,,,1.0,0.0,,,,,,,,,,,,,,,
Hayden,Marissa,0.0,,,0.0,,,,,,,,,,,,,,,,
Katie,Caleb,0.0,,,1.0,0.0,,1.0,1.0,,,,0.0,1.0,0.0,1.0,1.0,,,,
Katie,Vytas,0.0,,,1.0,0.0,,1.0,0.0,,1.0,1.0,1.0,0.0,,,,,,,
Katie,Laura B.,1.0,,,,,,,,,1.0,0.0,,,,,,,,,
Katie,Brad,0.0,,,1.0,0.0,,1.0,0.0,,,,,,,,,,,,
Katie,John,0.0,,,1.0,0.0,,0.0,,,,,,,,,,,,,
Katie,Rachel,0.0,,,1.0,0.0,,,,,,,,,,,,,,,
Katie,Marissa,0.0,,,0.0,,,,,,,,,,,,,,,,
