,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe #1,Tribe Affiliation Switched Tribe #2,Tribe Affiliation Merged Tribe,Finish,RedemptionIsland Status,VotesAgainst,Place,Returnee
0,Rupert Boneham,Rupert,"['Pearl Islands', 'All-Stars', 'Heroes vs. Villains']",49,Indianapolis,IN,,Galang,,,,SwitchedDay 1,1st EliminatedDay 4,0,20.0,True
1,Colton Cumbie,Colton,['One World'],22,Collinsville,AL,,Galang,Galang,,,QuitDay 7,,0,19.0,True
2,Rachel Foulger,Rachel,[],33,Provo,UT,Tyson's girlfriend,Tadhana,Tadhana,,,4th Voted OutDay 6,2nd EliminatedDay 7,5,18.0,False
3,Marissa Peterson,Marissa,[],21,Chapel Hill,NC,Gervase's niece,Tadhana,Tadhana,,,3rd Voted OutDay 3,3rd EliminatedDay 9,10,17.0,False
4,Candice Cody,Candice,"['Cook Islands', 'Heroes vs. Villains']",30,Washington,D.,,Galang,,,,2nd Voted OutDay 1,4th EliminatedDay 11,6,16.0,True
5,Brad Culpepper,Brad,[],44,Tampa,FL,Monica's husband,Tadhana,Tadhana,,,6th Voted OutDay 10,5th EliminatedDay 14,7,15.0,False
6,Kat Edorsson,Kat,['One World'],23,Orlando,FL,,Galang,Galang,Galang,,8th Voted OutDay 16,6th EliminatedDay 17,5,14.0,True
7,John Cody,John,[],30,Washington,D.,Candice's husband,Tadhana,Tadhana,,,5th Voted OutDay 8,7th EliminatedDay 19,8,13.0,False
8,Laura Boneham,Laura B.,[],44,Indianapolis,IN,Rupert's wife,Tadhana,Galang,Galang,,"['1st Voted OutDay 1', '9th Voted OutDay 18']","['SwitchedDay 1', '8th EliminatedDay 19']",11,12.0,False
9,Aras Baskauskas,Aras,['Panama'],31,Santa Monica,CA,,Galang,Galang,Tadhana,Kasama,10th Voted OutDay 21,9th Eliminated1st Jury MemberDay 25,7,11.0,True
10,Vytas Baskauskas,Vytas,[],33,Santa Monica,CA,Aras's brother,Tadhana,Tadhana,Galang,Kasama,11th Voted OutDay 22,10th Eliminated2nd Jury MemberDay 27,10,10.0,False
11,Caleb Bankston,Caleb,[],26,Collinsville,AL,Colton's fiancé,Tadhana,Tadhana,Tadhana,Kasama,14th Voted OutDay 29,11th Eliminated3rd Jury MemberDay 30,4,9.0,False
12,Katie Collins,Katie,[],25,New York City,NY,Tina's daughter,Tadhana,Tadhana,Galang,Kasama,EliminatedDay 32,12th Eliminated4th Jury MemberDay 33,4,8.0,False
13,Hayden Moss,Hayden,[],26,Springtown,TX,Kat's boyfriend,Tadhana,Tadhana,Tadhana,Kasama,15th Voted OutDay 35,13th Eliminated5th Jury MemberDay 36,8,7.0,False
14,Laura Morett,Laura M.,['Samoa'],43,Salem,OR,,Galang,Galang,,Kasama,"['7th Voted OutDay 13', '13th Voted OutDay 26']","['1st ReturneeDay 19', '14th Eliminated6th Jury MemberDay 36']",19,6.0,True
15,Ciera Eastin,Ciera,[],24,Salem,OR,Laura M.'s daughter,Tadhana,Tadhana,Tadhana,Kasama,16th Voted Out7th Jury MemberDay 37,,14,5.0,False
16,Tina Wesson,Tina,"['The Australian Outback', 'All-Stars']",52,Robbinsville,NC,,Galang,Galang,Galang,Kasama,"['12th Voted OutDay 24', '17th Voted Out8th Jury MemberDay 38']","['2nd ReturneeDay 36', '']",10,4.0,True
17,Gervase Peterson,Gervase,['Borneo'],43,Philadelphia,PA,,Galang,Galang,Tadhana,Kasama,SecondRunner-Up,,6,3.0,True
18,Monica Culpepper,Monica,['One World'],42,Tampa,FL,,Galang,Galang,Galang,Kasama,Runner-Up,,6,2.0,True
19,Tyson Apostol,Tyson,"['Tocantins', 'Heroes vs. Villains']",33,Provo,UT,,Galang,Galang,Tadhana,Kasama,Sole Survivor,,2,1.0,True
