,Idx,Episode,Air Date,Inhabitant,Challenger,Eliminated,Finish,Immunity,Eliminated(Vote),Status,Viewership(in millions),Rating/Share(18-49),Immunity_2
0,1,"""Blood Is Thicker than Anything""","September 18, 2013",,,,,None,"['Laura B.', '6-2-1-1']",1st Voted OutDay 1,9.73,2.6/8,[]
1,1,"""Blood Is Thicker than Anything""","September 18, 2013",,,,,None,"['Candice', '6-3-1']",2nd Voted OutDay 1,9.73,2.6/8,[]
2,1,"""Blood Is Thicker than Anything""","September 18, 2013",,,,,None,"['Rupert', 'No Vote']",SwitchedDay 1,9.73,2.6/8,[]
3,1,"""Blood Is Thicker than Anything""","September 18, 2013","['Rupert', 'Candice']",,,,Galang,"['Marissa', '8-1']",3rd Voted OutDay 3,9.73,2.6/8,['Galang']
4,2,"""Rule in Chaos""","September 25, 2013","['Rupert', 'Candice']",Marissa,Rupert,1st EliminatedDay 4,Galang,"['Rachel', '5-2-1']",4th Voted OutDay 6,9.54,2.4/7,['Galang']
5,3,"""Opening Pandora's Box""","October 2, 2013",Candice,Rachel,Rachel,2nd EliminatedDay 7,Galang,"['Colton', 'No Vote']",QuitDay 7,10.16,2.7/8,['Galang']
6,3,"""Opening Pandora's Box""","October 2, 2013",Marissa,Rachel,Rachel,2nd EliminatedDay 7,Galang,"['John', '6-1']",5th Voted OutDay 8,10.16,2.7/8,['Galang']
7,4,"""One Armed Dude and Three Moms""","October 9, 2013","['Candice', 'Marissa']",John,Marissa,3rd EliminatedDay 9,Galang,"['Brad', '3-3;3-1']",6th Voted OutDay 10,9.60,2.5/7,['Galang']
8,5,"""The Dead Can Still Talk""","October 16, 2013","['Candice', 'John']",Brad,Candice,4th EliminatedDay 11,Tadhana,"['Laura M.', '7-1']",7th Voted OutDay 13,10.11,2.6/8,['Tadhana']
9,6,"""One-Man Wrecking Ball""","October 23, 2013","['John', 'Brad']",Laura M.,Brad,5th EliminatedDay 14,Tadhana,"['Kat', '5-1']",8th Voted OutDay 16,9.52,2.4/7,['Tadhana']
10,7,"""Swoop In for the Kill""","October 30, 2013","['John', 'Laura M.']",Kat,Kat,6th EliminatedDay 17,Tadhana,"['Laura B.', '4-1']",9th Voted OutDay 18,9.00,2.3/7,['Tadhana']
11,8,"""Skin of My Teeth""","November 6, 2013","['John', 'Laura M.']",Laura B.,"['John', 'Laura B.', 'Laura M.']","['7th EliminatedDay 19', '8th EliminatedDay 19', '1st ReturneeDay 19']",Vytas,"['Aras', '7-2-2']",10th Voted Out Day 21,9.29,2.5/7,['Vytas']
12,9,"""My Brother's Keeper""","November 13, 2013",Aras,,,,Monica,"['Vytas', '8-1-1']",11th Voted OutDay 22,9.87,2.5/7,['Monica']
13,9,"""My Brother's Keeper""","November 13, 2013",Aras,,,,Katie,"['Tina', '7-1-1']",12th Voted OutDay 24,9.87,2.5/7,['Katie']
14,10,"""Big Bad Wolf""","November 20, 2013",Aras,"['Vytas', 'Tina']",Aras,9th Eliminated1st Jury MemberDay 25,Monica(All),"['Laura M.', '7-1']",13th Voted OutDay 26,10.18,2.5/7,['Monica']
15,11,"""Gloves Come Off""","November 27, 2013","['Vytas', 'Tina']",Laura M.,Vytas,10th Eliminated2nd Jury MemberDay 27,Monica,"['Caleb', '4-3']",14th Voted OutDay 29,8.81,2.2/7,['Monica']
16,12,"""Rustle Feathers""","December 4, 2013","['Tina', 'Laura M.']",Caleb,Caleb,11th Eliminated3rd Jury MemberDay 30,"Gervase[Monica,Tyson]","['Katie', '3-3;2-2;Tiebreaker']",EliminatedDay 32,10.63,2.6/8,['Gervase']
17,13,"""Out on a Limb""","December 11, 2013","['Tina', 'Laura M.']",Katie,Katie,12th Eliminated4th Jury MemberDay 33,Ciera[Hayden],"['Hayden', '3-2']",15th Voted OutDay 35,9.92,2.5/8,['Ciera']
18,14,"""It's My Night""","December 15, 2013","['Tina', 'Laura M.']",Hayden,"['Hayden', 'Laura M.', 'Tina']","['13th Eliminated5th Jury MemberDay 36', '14th Eliminated6th Jury MemberDay 36', '2nd ReturneeDay 36']",Tyson,"['Ciera', '3-0']",16th Voted Out7th Jury MemberDay 37,10.19,2.6/7,['Tyson']
19,14,"""It's My Night""","December 15, 2013",,,,,Tyson,"['Tina', '3-1']",17th Voted Out8th Jury MemberDay 38,10.19,2.6/7,['Tyson']
20,14,"""It's My Night""","December 15, 2013",Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Gervase', '7-1-0']",SecondRunner-Up,10.19,2.6/7,[]
21,14,"""It's My Night""","December 15, 2013",Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Monica', '7-1-0']",Runner-Up,10.19,2.6/7,[]
22,14,"""It's My Night""","December 15, 2013",Jury Vote,Jury Vote,Jury Vote,Jury Vote,Jury Vote,"['Tyson', '7-1-0']",Sole Survivor,10.19,2.6/7,[]
23,15,"""Reunion""","December 15, 2013",,,,,,,,7.46,1.9/5,[]
