,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe #1,Tribe Affiliation Switched Tribe #2,Tribe Affiliation Merged Tribe,Finish,RedemptionIsland Status,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Rupert Boneham,Rupert,"['Pearl Islands', 'All-Stars', 'Heroes vs. Villains']",49,Indianapolis,IN,,Galang,,,,SwitchedDay 1,1st EliminatedDay 4,0,20.0,True,False,False,3,False,0,0,0,0,3,2,1,1,0,0,1,,,0,0
1,Colton Cumbie,Colton,['One World'],22,Collinsville,AL,,Galang,Galang,,,QuitDay 7,,0,19.0,True,False,False,6,False,2,2,0,0,6,4,3,1,0,1,0,1.0,,0,0
2,Rachel Foulger,Rachel,[],33,Provo,UT,Tyson's girlfriend,Tadhana,Tadhana,,,4th Voted OutDay 6,2nd EliminatedDay 7,5,18.0,False,False,False,5,False,2,0,0,0,6,4,1,3,0,1,2,0.0,,0,5
3,Marissa Peterson,Marissa,[],21,Chapel Hill,NC,Gervase's niece,Tadhana,Tadhana,,,3rd Voted OutDay 3,3rd EliminatedDay 9,10,17.0,False,False,False,4,False,1,0,0,0,5,3,1,2,0,0,2,0.0,,0,10
4,Candice Cody,Candice,"['Cook Islands', 'Heroes vs. Villains']",30,Washington,D.,,Galang,,,,2nd Voted OutDay 1,4th EliminatedDay 11,6,16.0,True,False,False,2,False,0,0,0,0,4,2,1,1,0,0,1,,,0,6
5,Brad Culpepper,Brad,[],44,Tampa,FL,Monica's husband,Tadhana,Tadhana,,,6th Voted OutDay 10,5th EliminatedDay 14,7,15.0,False,False,False,8,False,5,0,0,0,9,6,1,5,0,4,1,0.0,,0,4
6,Kat Edorsson,Kat,['One World'],23,Orlando,FL,,Galang,Galang,Galang,,8th Voted OutDay 16,6th EliminatedDay 17,5,14.0,True,False,False,10,False,7,5,0,0,11,8,5,3,0,2,1,0.7142857142857143,,0,5
7,John Cody,John,[],30,Washington,D.,Candice's husband,Tadhana,Tadhana,,,5th Voted OutDay 8,7th EliminatedDay 19,8,13.0,False,False,False,7,False,4,0,0,0,8,5,1,4,0,3,1,0.0,,0,8
8,Laura Boneham,Laura B.,[],44,Indianapolis,IN,Rupert's wife,Tadhana,Galang,Galang,,"['1st Voted OutDay 1', '9th Voted OutDay 18']","['SwitchedDay 1', '8th EliminatedDay 19']",11,12.0,False,False,False,"[1, 11]",False,8,5,0,0,10,8,4,4,0,2,2,0.625,,0,11
9,Aras Baskauskas,Aras,['Panama'],31,Santa Monica,CA,,Galang,Galang,Tadhana,Kasama,10th Voted OutDay 21,9th Eliminated1st Jury MemberDay 25,7,11.0,True,False,False,12,True,8,7,1,0,13,10,7,3,0,1,2,0.7777777777777778,0.0,0,7
10,Vytas Baskauskas,Vytas,[],33,Santa Monica,CA,Aras's brother,Tadhana,Tadhana,Galang,Kasama,11th Voted OutDay 22,10th Eliminated2nd Jury MemberDay 27,10,10.0,False,False,False,13,True,8,1,2,1,14,11,2,9,0,6,3,1.1,5.0,0,10
11,Caleb Bankston,Caleb,[],26,Collinsville,AL,Colton's fiancé,Tadhana,Tadhana,Tadhana,Kasama,14th Voted OutDay 29,11th Eliminated3rd Jury MemberDay 30,4,9.0,False,False,False,16,True,8,3,5,0,17,14,4,10,0,9,1,0.23076923076923078,0.0,0,4
12,Katie Collins,Katie,[],25,New York City,NY,Tina's daughter,Tadhana,Tadhana,Galang,Kasama,EliminatedDay 32,12th Eliminated4th Jury MemberDay 33,4,8.0,False,False,False,17,True,8,1,6,1,18,14,2,12,0,7,5,0.6428571428571429,1.3333333333333333,0,4
13,Hayden Moss,Hayden,[],26,Springtown,TX,Kat's boyfriend,Tadhana,Tadhana,Tadhana,Kasama,15th Voted OutDay 35,13th Eliminated5th Jury MemberDay 36,8,7.0,False,False,False,18,True,8,3,7,0,19,15,4,11,0,8,3,0.2,0.0,0,6
14,Laura Morett,Laura M.,['Samoa'],43,Salem,OR,,Galang,Galang,,Kasama,"['7th Voted OutDay 13', '13th Voted OutDay 26']","['1st ReturneeDay 19', '14th Eliminated6th Jury MemberDay 36']",19,6.0,True,False,False,"[9, 15]",True,6,5,4,0,14,11,5,6,0,4,2,0.5,0.0,0,19
15,Ciera Eastin,Ciera,[],24,Salem,OR,Laura M.'s daughter,Tadhana,Tadhana,Tadhana,Kasama,16th Voted Out7th Jury MemberDay 37,,14,5.0,False,False,False,19,True,8,3,8,1,20,16,4,12,0,8,4,0.4375,0.5,0,13
16,Tina Wesson,Tina,"['The Australian Outback', 'All-Stars']",52,Robbinsville,NC,,Galang,Galang,Galang,Kasama,"['12th Voted OutDay 24', '17th Voted Out8th Jury MemberDay 38']","['2nd ReturneeDay 36', '']",10,4.0,True,False,False,"[14, 20]",True,8,5,5,0,17,14,5,9,0,5,4,0.38461538461538464,0.0,0,10
17,Gervase Peterson,Gervase,['Borneo'],43,Philadelphia,PA,,Galang,Galang,Tadhana,Kasama,SecondRunner-Up,,6,3.0,True,False,True,21,True,8,7,9,1,22,17,7,10,0,10,0,0.7058823529411765,0.5555555555555556,0,6
18,Monica Culpepper,Monica,['One World'],42,Tampa,FL,,Galang,Galang,Galang,Kasama,Runner-Up,,6,2.0,True,False,True,21,True,8,5,9,3,22,17,5,12,0,12,0,1.588235294117647,2.4444444444444446,1,4
19,Tyson Apostol,Tyson,"['Tocantins', 'Heroes vs. Villains']",33,Provo,UT,,Galang,Galang,Tadhana,Kasama,Sole Survivor,,2,1.0,True,True,True,21,True,8,7,9,2,22,17,7,10,0,9,1,0.8235294117647058,0.7777777777777778,7,2
