,Tribal #:,Tribe Status:,Episode #:,Voted out:,Vote:,Tyson,Monica,Gervase,Tina,Ciera,Hayden,Katie,Caleb,Laura M.,Vytas,Aras,Laura B.,Kat,Brad,John,Colton,Rachel,Marissa,Candice,Rupert,Eliminate,Tie,Tie_Vote,Deadlock,Deadlock_Vote,Std_Vote,Tribe_Iteration,Merge,Final_Tribal,Final_Players,Idx,Episode,Air Date,Inhabitant,Challenger,Eliminated,Finish,Immunity,Eliminated(Vote),Status,Viewership(in millions),Rating/Share(18-49),Player Voted Off,Immunity_2,IC_Prob
0,1,Original Tribes,1,Laura B.,6-2-1-1,-,-,-,-,Laura B.,Laura B.,Marissa,Laura B.,-,Laura B.,-,Marissa,-,Laura B.,Laura B.,-,Katie,Brad,-,-,[],False,{},False,{},True,0,False,False,,1,"""Blood Is Thicker than Anything""","September 18, 2013",,,,,None,"['Laura B.', '6-2-1-1']",1st Voted OutDay 1,9.73,2.6/8,Laura B.,[],0.0
1,2,Original Tribes,1,Candice,6-3-1,Laura M.,Candice,Candice,Candice,-,-,-,-,Candice,-,Gervase,,Candice,-,-,Candice,-,-,Laura M.,Laura M.,[],False,{},False,{},True,0,False,False,,1,"""Blood Is Thicker than Anything""","September 18, 2013",,,,,None,"['Candice', '6-3-1']",2nd Voted OutDay 1,9.73,2.6/8,Candice,[],0.0
2,3,Original Tribes,1,Rupert,No Vote,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,"['Laura B.', 'Rupert']",False,{},False,{},False,0,False,False,,1,"""Blood Is Thicker than Anything""","September 18, 2013",,,,,None,"['Rupert', 'No Vote']",SwitchedDay 1,9.73,2.6/8,Rupert,[],0.0
3,4,Tribes Post-Rupert Switch,1,Marissa,8-1,-,-,-,-,Marissa,Marissa,Marissa,Marissa,-,Marissa,-,-,-,Marissa,Marissa,-,Marissa,Katie,,,[],False,{},False,{},True,1,False,False,,1,"""Blood Is Thicker than Anything""","September 18, 2013","['Rupert', 'Candice']",,,,Galang,"['Marissa', '8-1']",3rd Voted OutDay 3,9.73,2.6/8,Marissa,['Galang'],0.5
4,5,Tribes Post-Rupert Switch,2,Rachel,5-2-1,-,-,-,-,John,Rachel,John,Rachel,-,Rachel,-,-,-,Rachel,Rachel,-,Ciera,,,,['Rupert'],False,{},False,{},True,1,False,False,,2,"""Rule in Chaos""","September 25, 2013","['Rupert', 'Candice']",Marissa,Rupert,1st EliminatedDay 4,Galang,"['Rachel', '5-2-1']",4th Voted OutDay 6,9.54,2.4/7,Rachel,['Galang'],0.5
5,6,Tribes Post-Rupert Switch,3,Colton,No Vote,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,"['Colton', 'Rachel']",False,{},False,{},False,1,False,False,,3,"""Opening Pandora's Box""","October 2, 2013",Candice,Rachel,Rachel,2nd EliminatedDay 7,Galang,"['Colton', 'No Vote']",QuitDay 7,10.16,2.7/8,Colton,['Galang'],0.5
6,7,Tribes Post-Rupert Switch,3,John,6-1,-,-,-,-,John,John,John,John,-,John,-,-,-,John,Ciera,,,,,,[],False,{},False,{},True,1,False,False,,3,"""Opening Pandora's Box""","October 2, 2013",Marissa,Rachel,Rachel,2nd EliminatedDay 7,Galang,"['John', '6-1']",5th Voted OutDay 8,10.16,2.7/8,John,['Galang'],0.5
7,8,Tribes Post-Rupert Switch,4,Brad,3-3,-,-,-,-,Brad,Ciera,Brad,Brad,-,Ciera,-,-,-,Ciera,,,,,,,['Marissa'],True,"{'Tyson': '-', 'Monica': '-', 'Gervase': '-', 'Tina': '-', 'Ciera': 'Brad', 'Hayden': 'Ciera', 'Katie': 'Brad', 'Caleb': 'Brad', 'Laura M.': '-', 'Vytas': 'Ciera', 'Aras': '-', 'Laura B.': '-', 'Kat': '-', 'Brad': 'Ciera'}",False,{},True,1,False,False,,4,"""One Armed Dude and Three Moms""","October 9, 2013","['Candice', 'Marissa']",John,Marissa,3rd EliminatedDay 9,Galang,"['Brad', '3-3;3-1']",6th Voted OutDay 10,9.60,2.5/7,Brad,['Galang'],0.5
8,9,Tribes Post-Rupert Switch,5,Laura M.,7-1,Laura M.,Laura M.,Laura M.,Laura M.,-,-,-,-,Laura B.,-,Laura M.,Laura M.,Laura M.,,,,,,,,['Candice'],False,{},False,{},True,1,False,False,,5,"""The Dead Can Still Talk""","October 16, 2013","['Candice', 'John']",Brad,Candice,4th EliminatedDay 11,Tadhana,"['Laura M.', '7-1']",7th Voted OutDay 13,10.11,2.6/8,Laura M.,['Tadhana'],0.5
9,10,Switched Tribes,6,Kat,5-1,-,Kat,-,Kat,-,-,Kat,-,,Kat,-,Kat,Vytas,,,,,,,,['Brad'],False,{},False,{},True,2,False,False,,6,"""One-Man Wrecking Ball""","October 23, 2013","['John', 'Brad']",Laura M.,Brad,5th EliminatedDay 14,Tadhana,"['Kat', '5-1']",8th Voted OutDay 16,9.52,2.4/7,Kat,['Tadhana'],0.5
